wavelength[m],n,k
2.1014437500000002e-07,2.44455439,0.0
2.13767554e-07,2.40727247,0.0
2.1751786200000003e-07,2.37198851,0.0
2.21402109e-07,2.33860538,0.0
2.25427602e-07,2.30702923,0.0
2.2960218800000001e-07,2.27716963,0.0
2.33934304e-07,2.2489396,0.0
2.38433041e-07,2.22225567,0.0
2.4310819900000004e-07,2.19703793,0.0
2.47970363e-07,2.17320994,0.0
2.53030982e-07,2.15069882,0.0
2.58302461e-07,2.12943512,0.0
2.63798258e-07,2.1093528,0.0
2.6953300300000005e-07,2.09038917,0.0
2.75522625e-07,2.07248475,0.0
2.81784503e-07,2.05558322,0.0
2.88337631e-07,2.03963128,0.0
2.9520281300000004e-07,2.02457851,0.0
3.02402881e-07,2.01037731,0.0
3.09962953e-07,1.99698268,0.0
3.1791072100000004e-07,1.98435217,0.0
3.26276793e-07,1.97244566,0.0
3.35095085e-07,1.96122529,0.0
3.4440328100000003e-07,1.9506553,0.0
3.5424337500000004e-07,1.94070189,0.0
3.6466229800000006e-07,1.93133311,0.0
3.75712671e-07,1.92251869,0.0
3.87453692e-07,1.91422997,0.0
3.99952198e-07,1.90643978,0.0
4.13283938e-07,1.89912226,0.0
4.27535108e-07,1.89225285,0.0
4.42804219e-07,1.8858081,0.0
4.592043750000001e-07,1.87976563,0.0
4.76866082e-07,1.87410397,0.0
4.95940725e-07,1.86880251,0.0
5.16604922e-07,1.86384139,0.0
5.390660060000001e-07,1.85920132,0.0
5.63569006e-07,1.85486357,0.0
5.904056250000001e-07,1.85080969,0.0
6.19925906e-07,1.84702144,0.0
6.52553586e-07,1.84348049,0.0
6.888065630000001e-07,1.84016814,0.0
7.293245960000001e-07,1.83706487,0.0
7.74907383e-07,1.83414977,0.0
8.26567875e-07,1.83139961,0.0
8.85608438e-07,1.82878754,0.0
9.53732164e-07,1.82628099,0.0
1.03320984e-06,1.82383832,0.0
1.12713801e-06,1.8214033,0.0
1.2398518099999999e-06,1.81889545,0.0
