wavelength[m],n,k
1.8368175e-07,0.44,0.407
1.9222508700000001e-07,0.408,0.46
2.01601921e-07,0.376,0.522
2.1194048100000003e-07,0.342,0.594
2.2339672300000003e-07,0.31,0.688
2.3616225000000003e-07,0.299,0.795
2.50475114e-07,0.302,0.906
2.66634798e-07,0.317,1.01
2.8502340500000006e-07,0.333,1.11
3.0613625e-07,0.346,1.21
3.3062715e-07,0.345,1.32
3.59377337e-07,0.334,1.45
3.9360375000000003e-07,0.304,1.6
4.3503572400000006e-07,0.247,1.82
4.86216397e-07,0.217,2.11
5.5104525e-07,0.206,2.48
6.358214430000001e-07,0.221,2.94
7.51425341e-07,0.265,3.55
9.184087500000002e-07,0.338,4.36
1.1808112500000001e-06,0.448,5.58
