wavelength[m],n,k
2.06641969e-07,1.435,0.0
2.08378456e-07,1.434217,0.0
2.1014437500000002e-07,1.433432,0.0
2.1194048100000003e-07,1.432642,0.0
2.13767554e-07,1.431847,0.0
2.1562640200000003e-07,1.431047,0.0
2.1751786200000003e-07,1.430245,0.0
2.1944279900000003e-07,1.429442,0.0
2.21402109e-07,1.42864,0.0
2.2339672300000003e-07,1.427838,0.0
2.25427602e-07,1.427038,0.0
2.2749574500000002e-07,1.426237,0.0
2.2960218800000001e-07,1.425435,0.0
2.3174800200000003e-07,1.424634,0.0
2.33934304e-07,1.423836,0.0
2.3616225000000003e-07,1.423043,0.0
2.38433041e-07,1.422261,0.0
2.40747925e-07,1.421492,0.0
2.4310819900000004e-07,1.420739,0.0
2.4551521000000003e-07,1.420003,0.0
2.47970363e-07,1.419286,0.0
2.50475114e-07,1.418586,0.0
2.53030982e-07,1.417905,0.0
2.55639549e-07,1.417242,0.0
2.58302461e-07,1.416597,0.0
2.61021434e-07,1.41597,0.0
2.63798258e-07,1.415359,0.0
2.66634798e-07,1.414761,0.0
2.6953300300000005e-07,1.414173,0.0
2.7249490400000003e-07,1.413591,0.0
2.75522625e-07,1.413013,0.0
2.78618385e-07,1.412434,0.0
2.81784503e-07,1.411856,0.0
2.8502340500000006e-07,1.411278,0.0
2.88337631e-07,1.410703,0.0
2.91729838e-07,1.410131,0.0
2.9520281300000004e-07,1.409564,0.0
2.9875947300000006e-07,1.409002,0.0
3.02402881e-07,1.408448,0.0
3.0613625e-07,1.407901,0.0
3.09962953e-07,1.407365,0.0
3.13886535e-07,1.40684,0.0
3.1791072100000004e-07,1.406331,0.0
3.22039432e-07,1.405838,0.0
3.26276793e-07,1.405364,0.0
3.3062715e-07,1.404907,0.0
3.35095085e-07,1.404463,0.0
3.3968542800000003e-07,1.404029,0.0
3.4440328100000003e-07,1.403597,0.0
3.49254032e-07,1.403164,0.0
3.5424337500000004e-07,1.402724,0.0
3.59377337e-07,1.402277,0.0
3.6466229800000006e-07,1.401822,0.0
3.7010501900000006e-07,1.401361,0.0
3.75712671e-07,1.400898,0.0
3.8149286600000003e-07,1.400437,0.0
3.87453692e-07,1.399983,0.0
3.9360375000000003e-07,1.399541,0.0
3.99952198e-07,1.399113,0.0
4.06508791e-07,1.398705,0.0
4.13283938e-07,1.398316,0.0
4.2028875000000003e-07,1.397946,0.0
4.27535108e-07,1.397595,0.0
4.3503572400000006e-07,1.397257,0.0
4.42804219e-07,1.396928,0.0
4.50855205e-07,1.396601,0.0
4.592043750000001e-07,1.396269,0.0
4.67868609e-07,1.395929,0.0
4.76866082e-07,1.395578,0.0
4.86216397e-07,1.395216,0.0
4.95940725e-07,1.394844,0.0
5.06061964e-07,1.394469,0.0
5.16604922e-07,1.394095,0.0
5.27596516e-07,1.393728,0.0
5.390660060000001e-07,1.393372,0.0
5.5104525e-07,1.393031,0.0
5.63569006e-07,1.392706,0.0
5.76675262e-07,1.392394,0.0
5.904056250000001e-07,1.392095,0.0
6.04805762e-07,1.391805,0.0
6.19925906e-07,1.391521,0.0
6.358214430000001e-07,1.391241,0.0
6.52553586e-07,1.390963,0.0
6.70190169e-07,1.390685,0.0
6.888065630000001e-07,1.390407,0.0
7.084867500000001e-07,1.390126,0.0
7.293245960000001e-07,1.389842,0.0
7.51425341e-07,1.389552,0.0
7.74907383e-07,1.389255,0.0
7.999043950000001e-07,1.388949,0.0
8.26567875e-07,1.388634,0.0
8.55070216e-07,1.388309,0.0
8.85608438e-07,1.387976,0.0
9.184087500000002e-07,1.387633,0.0
9.53732164e-07,1.387281,0.0
9.9188145e-07,1.38692,0.0
1.03320984e-06,1.38655,0.0
1.0781320100000002e-06,1.386172,0.0
1.12713801e-06,1.385786,0.0
1.1808112500000001e-06,1.385394,0.0
1.2398518099999999e-06,1.385,0.0
1.3051071700000002e-06,1.384569,0.0
1.3776131300000001e-06,1.384067,0.0
1.4586491900000002e-06,1.38346,0.0
1.54981477e-06,1.38271,0.0
1.65313575e-06,1.381785,0.0
1.7712168800000001e-06,1.380649,0.0
1.90746433e-06,1.379269,0.0
2.0664196900000003e-06,1.377608,0.0
2.25427602e-06,1.375632,0.0
2.47970363e-06,1.373307,0.0
