wavelength[m],n,k
1.9074643300000002e-07,0.783,2.3
1.91482905e-07,0.784383,2.313515
1.9222508700000001e-07,0.785813,2.328125
1.9297304500000002e-07,0.787336,2.343672
1.93726846e-07,0.789,2.36
1.94486559e-07,0.790852,2.376953
1.95252254e-07,0.792938,2.394375
1.9602400200000002e-07,0.795305,2.41211
1.9680187500000001e-07,0.798,2.43
1.9758594600000002e-07,0.801109,2.4475
1.9837629000000002e-07,0.804625,2.465
1.99172982e-07,0.808578,2.4825
1.99976099e-07,0.813,2.5
2.0078571900000002e-07,0.818664,2.5175
2.01601921e-07,0.824562,2.535
2.0242478600000003e-07,0.83043,2.5525
2.0325439600000004e-07,0.836,2.57
2.0409083300000003e-07,0.838948,2.586484
2.04934184e-07,0.841892,2.603375
2.05784533e-07,0.84539,2.621078
2.06641969e-07,0.85,2.64
2.0750658000000002e-07,0.856281,2.660547
2.08378456e-07,0.862125,2.680625
2.0925769000000002e-07,0.867656,2.700391
2.1014437500000002e-07,0.873,2.72
2.11038606e-07,0.878281,2.73961
2.1194048100000003e-07,0.883625,2.759375
2.12850097e-07,0.889156,2.779453
2.13767554e-07,0.895,2.8
2.1469295500000002e-07,0.901633,2.821563
2.1562640200000003e-07,0.908688,2.84375
2.1656800200000002e-07,0.916148,2.866563
2.1751786200000003e-07,0.924,2.89
2.1847609e-07,0.932187,2.914453
2.1944279900000003e-07,0.94075,2.939375
2.2041810000000003e-07,0.949688,2.964609
2.21402109e-07,0.959,2.99
2.2239494400000004e-07,0.96818,3.01461
2.2339672300000003e-07,0.977937,3.039375
2.24407568e-07,0.988477,3.064453
2.25427602e-07,1.0,3.09
2.26456952e-07,1.01357,3.116953
2.2749574500000002e-07,1.028188,3.144375
2.2854411300000002e-07,1.043711,3.172109
2.2960218800000001e-07,1.06,3.2
2.3067010500000002e-07,1.076172,3.2275
2.3174800200000003e-07,1.093125,3.255
2.32836021e-07,1.111016,3.2825
2.33934304e-07,1.13,3.31
2.3504299800000001e-07,1.150625,3.3375
2.3616225000000003e-07,1.1725,3.365
2.37292213e-07,1.195625,3.3925
2.38433041e-07,1.22,3.42
2.3958489100000004e-07,1.245625,3.448281
2.40747925e-07,1.2725,3.47625
2.4192230500000004e-07,1.300625,3.503594
2.4310819900000004e-07,1.33,3.53
2.44305776e-07,1.360625,3.553984
2.4551521000000003e-07,1.3925,3.576875
2.46736679e-07,1.425625,3.598828
2.47970363e-07,1.46,3.62
2.49216445e-07,1.496797,3.641328
2.50475114e-07,1.534375,3.661875
2.5174656100000003e-07,1.572266,3.681484
2.53030982e-07,1.61,3.7
2.54328577e-07,1.645157,3.716485
2.55639549e-07,1.68,3.731875
2.56964106e-07,1.714844,3.746328
2.58302461e-07,1.75,3.76
2.5965483e-07,1.786562,3.773828
2.61021434e-07,1.82375,3.786875
2.624025e-07,1.861562,3.798984
2.63798258e-07,1.9,3.81
2.65208944e-07,1.939843,3.818594
2.66634798e-07,1.979999,3.82625
2.6807606800000003e-07,2.020156,3.833281
2.6953300300000005e-07,2.06,3.84
2.71005861e-07,2.096875,3.848281
2.7249490400000003e-07,2.13375,3.85625
2.74000401e-07,2.17125,3.863594
2.75522625e-07,2.21,3.87
2.77061858e-07,2.252578,3.874766
2.78618385e-07,2.296875,3.878125
2.8019250000000004e-07,2.342734,3.879922
2.81784503e-07,2.39,3.88
2.833947e-07,2.439688,3.879375
2.8502340500000006e-07,2.49,3.87625
2.86670939e-07,2.540313,3.87
2.88337631e-07,2.59,3.86
2.90023816e-07,2.637656,3.841719
2.91729838e-07,2.68375,3.82
2.9345605e-07,2.727969,3.795781
2.9520281300000004e-07,2.77,3.77
2.96970494e-07,2.808749,3.747891
2.9875947300000006e-07,2.845,3.724375
3.00570136e-07,2.87875,3.698672
3.02402881e-07,2.91,3.67
3.04258114e-07,2.939922,3.631328
3.0613625e-07,2.966875,3.590626
3.0803771700000003e-07,2.990391,3.54961
3.09962953e-07,3.01,3.51
3.11912406e-07,3.0225,3.478984
3.13886535e-07,3.03125,3.450625
3.15885812e-07,3.036875,3.424453
3.1791072100000004e-07,3.04,3.4
3.19961758e-07,3.041641,3.374453
3.22039432e-07,3.041875,3.350625
3.2414426500000006e-07,3.041172,3.328984
3.26276793e-07,3.04,3.31
3.28437566e-07,3.039609,3.296875
3.3062715e-07,3.039375,3.28625
3.32846124e-07,3.039453,3.2775
3.35095085e-07,3.04,3.27
3.37374643e-07,3.041953,3.261953
3.3968542800000003e-07,3.044375,3.254375
3.42028086e-07,3.047109,3.247109
3.4440328100000003e-07,3.05,3.24
3.4681169600000003e-07,3.052891,3.23211
3.49254032e-07,3.055625,3.224375
3.5173101100000005e-07,3.058047,3.216953
3.5424337500000004e-07,3.06,3.21
3.5679188900000003e-07,3.060547,3.204062
3.59377337e-07,3.060625,3.19875
3.62000529e-07,3.060391,3.194063
3.6466229800000006e-07,3.06,3.19
3.673635e-07,3.06039,3.186563
3.7010501900000006e-07,3.060625,3.18375
3.7288776300000004e-07,3.060547,3.181563
3.75712671e-07,3.06,3.18
3.7858070600000007e-07,3.058437,3.177891
3.8149286600000003e-07,3.05625,3.176875
3.8445017500000003e-07,3.053437,3.177422
3.87453692e-07,3.05,3.18
3.90504508e-07,3.044375,3.187422
3.9360375000000003e-07,3.03875,3.196875
3.9675258000000004e-07,3.03375,3.207891
3.99952198e-07,3.03,3.22
4.03203842e-07,3.030859,3.231563
4.06508791e-07,3.033125,3.24375
4.09868368e-07,3.036328,3.256562
4.13283938e-07,3.04,3.27
4.16756912e-07,3.041719,3.283281
4.2028875000000003e-07,3.04375,3.2975
4.2388096200000006e-07,3.046406,3.312969
4.27535108e-07,3.05,3.33
4.3125280400000006e-07,3.055625,3.350859
4.3503572400000006e-07,3.0625,3.373125
4.3888559700000005e-07,3.070625,3.396328
4.42804219e-07,3.08,3.42
4.4679344600000005e-07,3.089844,3.442109
4.50855205e-07,3.10125,3.464375
4.5499149100000004e-07,3.114532,3.486953
4.592043750000001e-07,3.13,3.51
4.6349600500000005e-07,3.14836,3.533672
4.67868609e-07,3.169375,3.558125
4.7232450000000005e-07,3.193203,3.583515
4.76866082e-07,3.22,3.61
4.8149585e-07,3.24875,3.64164
4.86216397e-07,3.28125,3.673125
4.910304210000001e-07,3.318125,3.703047
4.95940725e-07,3.36,3.73
5.00950227e-07,3.41375,3.754922
5.06061964e-07,3.47125,3.773125
5.11279098e-07,3.530625,3.782266
5.16604922e-07,3.59,3.78
5.22042869e-07,3.650625,3.750703
5.27596516e-07,3.70625,3.710625
5.33269597e-07,3.75375,3.662735
5.390660060000001e-07,3.79,3.61
5.449898080000001e-07,3.797031,3.552266
5.5104525e-07,3.7925,3.496875
5.5723677e-07,3.779219,3.448047
5.63569006e-07,3.76,3.41
5.700468110000001e-07,3.739609,3.405703
5.76675262e-07,3.718125,3.413125
5.834596770000001e-07,3.697578,3.428984
5.904056250000001e-07,3.68,3.45
5.975189460000001e-07,3.673281,3.46625
6.04805762e-07,3.67125,3.48375
6.122725e-07,3.673594,3.501875
6.19925906e-07,3.68,3.52
6.2777307e-07,3.691328,3.537891
6.358214430000001e-07,3.705625,3.554375
6.44078864e-07,3.722109,3.568672
6.52553586e-07,3.74,3.58
6.612543e-07,3.758516,3.586015
6.70190169e-07,3.776875,3.588125
6.793708560000001e-07,3.794297,3.586172
6.888065630000001e-07,3.81,3.58
6.98508064e-07,3.823594,3.5675
7.084867500000001e-07,3.83375,3.55125
7.18754674e-07,3.839531,3.531875
7.293245960000001e-07,3.84,3.51
7.402100380000001e-07,3.834609,3.487031
7.51425341e-07,3.821875,3.4625
7.629857310000001e-07,3.800703,3.436719
7.74907383e-07,3.77,3.41
7.872075000000001e-07,3.724766,3.374844
7.999043950000001e-07,3.669375,3.3425
8.13017582e-07,3.604297,3.316406
8.26567875e-07,3.53,3.3
8.405775000000001e-07,3.442657,3.304141
8.55070216e-07,3.34875,3.321875
8.700714480000001e-07,3.250469,3.353672
8.85608438e-07,3.15,3.4
9.01710409e-07,3.053047,3.466406
9.184087500000002e-07,2.956875,3.54625
9.35737217e-07,2.862266,3.637969
9.53732164e-07,2.77,3.74
9.72432794e-07,2.682812,3.846484
