wavelength[m],n,k
2.81784503e-07,2.52,3.369
2.88337631e-07,2.502,3.446
2.9520281300000004e-07,2.576,3.503
3.02402881e-07,2.699,3.533
3.09962953e-07,2.84,3.533
3.1791072100000004e-07,2.98,3.507
3.26276793e-07,3.101,3.459
3.35095085e-07,3.216,3.398
3.4440328100000003e-07,3.301,3.33
3.5424337500000004e-07,3.384,3.261
3.6466229800000006e-07,3.453,3.199
3.75712671e-07,3.522,3.144
3.87453692e-07,3.597,3.099
3.99952198e-07,3.684,3.062
4.13283938e-07,3.786,3.027
4.27535108e-07,3.903,2.99
4.42804219e-07,4.033,2.943
4.592043750000001e-07,4.17,2.88
4.76866082e-07,4.308,2.795
4.95940725e-07,4.437,2.686
5.16604922e-07,4.55,2.554
5.390660060000001e-07,4.639,2.405
5.63569006e-07,4.7,2.249
5.904056250000001e-07,4.734,2.1
6.19925906e-07,4.744,1.971
6.52553586e-07,4.739,1.893
6.888065630000001e-07,4.732,1.807
7.293245960000001e-07,4.732,1.741
7.74907383e-07,4.744,1.69
8.26567875e-07,4.765,1.641
8.85608438e-07,4.785,1.577
9.53732164e-07,4.79,1.487
1.03320984e-06,4.787,1.375
1.12713801e-06,4.798,1.269
1.2398518099999999e-06,4.778,1.152
