wavelength[m],n,k
2.81784503e-07,2.557,3.169
2.88337631e-07,2.282,3.059
2.9520281300000004e-07,2.248,3.016
3.02402881e-07,2.254,3.016
3.09962953e-07,2.278,3.041
3.1791072100000004e-07,2.312,3.079
3.26276793e-07,2.355,3.122
3.35095085e-07,2.401,3.164
3.4440328100000003e-07,2.468,3.206
3.5424337500000004e-07,2.54,3.247
3.6466229800000006e-07,2.626,3.292
3.75712671e-07,2.727,3.343
3.87453692e-07,2.848,3.402
3.99952198e-07,2.991,3.469
4.13283938e-07,3.161,3.541
4.27535108e-07,3.358,3.567
4.42804219e-07,3.583,3.584
4.592043750000001e-07,3.825,3.565
4.76866082e-07,4.071,3.499
4.95940725e-07,4.298,3.389
5.16604922e-07,4.485,3.249
5.390660060000001e-07,4.621,3.091
5.63569006e-07,4.707,2.932
5.904056250000001e-07,4.755,2.781
6.19925906e-07,4.781,2.647
6.52553586e-07,4.8,2.533
6.888065630000001e-07,4.822,2.437
7.293245960000001e-07,4.854,2.353
7.74907383e-07,4.898,2.275
8.26567875e-07,4.953,2.195
8.85608438e-07,5.016,2.104
9.53732164e-07,5.082,2.0
1.03320984e-06,5.145,1.881
1.12713801e-06,5.192,1.755
1.2398518099999999e-06,5.212,1.634
