wavelength[m],n,k
2.06641969e-07,1.4,3.2
2.08378456e-07,1.519251,3.113562
2.1014437500000002e-07,1.655,2.996
2.1194048100000003e-07,1.77875,2.874437
2.13767554e-07,1.862,2.776
2.1562640200000003e-07,1.839625,2.752875
2.1751786200000003e-07,1.793,2.757
2.1944279900000003e-07,1.793187,2.754875
2.21402109e-07,1.806,2.755
2.2339672300000003e-07,1.820187,2.75475
2.25427602e-07,1.838,2.754
2.2749574500000002e-07,1.858313,2.75175
2.2960218800000001e-07,1.88,2.748
2.3174800200000003e-07,1.901937,2.741937
2.33934304e-07,1.923,2.735
2.3616225000000003e-07,1.941,2.728437
2.38433041e-07,1.958,2.722
2.40747925e-07,1.97575,2.715937
2.4310819900000004e-07,1.993,2.71
2.4551521000000003e-07,2.009063,2.703938
2.47970363e-07,2.024,2.698
2.50475114e-07,2.03775,2.692188
2.53030982e-07,2.05,2.687
2.55639549e-07,2.060125,2.682875
2.58302461e-07,2.069,2.68
2.61021434e-07,2.0775,2.678438
2.63798258e-07,2.085,2.679
2.66634798e-07,2.090625,2.682562
2.6953300300000005e-07,2.096,2.689
2.7249490400000003e-07,2.102375,2.69875
2.75522625e-07,2.11,2.711
2.78618385e-07,2.119563,2.724937
2.81784503e-07,2.131,2.741
2.8502340500000006e-07,2.144438,2.759875
2.88337631e-07,2.16,2.78
2.91729838e-07,2.177438,2.80025
2.9520281300000004e-07,2.198,2.82
2.9875947300000006e-07,2.224687,2.83775
3.02402881e-07,2.252,2.855
3.0613625e-07,2.273,2.872562
3.09962953e-07,2.295,2.891
3.13886535e-07,2.325125,2.912125
3.1791072100000004e-07,2.357,2.933
3.22039432e-07,2.384625,2.949312
3.26276793e-07,2.414,2.967
3.3062715e-07,2.449563,2.993937
3.35095085e-07,2.49,3.02
3.3968542800000003e-07,2.537375,3.036
3.4440328100000003e-07,2.586,3.047
3.49254032e-07,2.6295,3.054312
3.5424337500000004e-07,2.672,3.06
3.59377337e-07,2.715813,3.067875
3.6466229800000006e-07,2.76,3.074
3.7010501900000006e-07,2.805562,3.075125
3.75712671e-07,2.849,3.073
3.8149286600000003e-07,2.88625,3.067
3.87453692e-07,2.92,3.061
3.9360375000000003e-07,2.952062,3.0585
3.99952198e-07,2.981,3.06
4.06508791e-07,3.004313,3.068187
4.13283938e-07,3.027,3.08
4.2028875000000003e-07,3.053063,3.093063
4.27535108e-07,3.083,3.108
4.3503572400000006e-07,3.120063,3.124625
4.42804219e-07,3.16,3.143
4.50855205e-07,3.197937,3.161875
4.592043750000001e-07,3.239,3.185
4.67868609e-07,3.285375,3.218
4.76866082e-07,3.341,3.254
4.86216397e-07,3.411688,3.2895
4.95940725e-07,3.494,3.32
5.06061964e-07,3.588,3.340188
5.16604922e-07,3.689,3.349
5.27596516e-07,3.79325,3.343562
5.390660060000001e-07,3.898,3.324
5.5104525e-07,4.001062,3.287687
5.63569006e-07,4.097,3.24
5.76675262e-07,4.178125,3.185375
5.904056250000001e-07,4.249,3.124
6.04805762e-07,4.312063,3.054312
6.19925906e-07,4.366,2.986
6.358214430000001e-07,4.408875,2.93175
6.52553586e-07,4.445,2.881
6.70190169e-07,4.47825,2.826125
6.888065630000001e-07,4.508,2.771
7.084867500000001e-07,4.537062,2.716312
7.293245960000001e-07,4.559,2.664
7.51425341e-07,4.564188,2.616437
7.74907383e-07,4.565,2.573
7.999043950000001e-07,4.57375,2.535125
8.26567875e-07,4.581,2.499
8.55070216e-07,4.582562,2.459563
8.85608438e-07,4.575,2.422
9.184087500000002e-07,4.551688,2.388375
9.53732164e-07,4.518,2.363
9.9188145e-07,4.476687,2.35025
1.03320984e-06,4.429,2.352
1.0781320100000002e-06,4.375937,2.37225
1.12713801e-06,4.321,2.409
1.1808112500000001e-06,4.269938,2.465563
1.2398518099999999e-06,4.217,2.53
1.3051071700000002e-06,4.165563,2.583375
1.3776131300000001e-06,4.094,2.65
1.4586491900000002e-06,3.975563,2.731812
1.54981477e-06,3.829,2.877
1.65313575e-06,3.639375,3.142375
1.7712168800000001e-06,3.481,3.504
1.90746433e-06,3.440063,3.96625
2.0664196900000003e-06,3.466,4.501
2.25427602e-06,3.512,5.073312
2.47970363e-06,3.653,5.708
2.7552262500000005e-06,3.969812,6.417
3.0996295300000005e-06,4.398,7.204
3.5424337500000004e-06,4.933375,8.026999
4.132839380000001e-06,5.476,9.035
4.95940725e-06,5.8275,10.24494
6.199259060000001e-06,6.279,12.011
8.26567875e-06,6.999249,14.60306
1.23985181e-05,8.157001,18.291
2.47970363e-05,15.46,37.682
