wavelength[m],n,k
2.06641969e-07,0.976,2.693
2.08378456e-07,1.057001,2.650687
2.1014437500000002e-07,1.158,2.614
2.1194048100000003e-07,1.25875,2.577562
2.13767554e-07,1.339,2.536
2.1562640200000003e-07,1.360563,2.471938
2.1751786200000003e-07,1.357,2.416
2.1944279900000003e-07,1.347875,2.401813
2.21402109e-07,1.337,2.403
2.2339672300000003e-07,1.336563,2.403063
2.25427602e-07,1.341,2.406
2.2749574500000002e-07,1.349375,2.410437
2.2960218800000001e-07,1.36,2.416
2.3174800200000003e-07,1.370625,2.4215
2.33934304e-07,1.382,2.428
2.3616225000000003e-07,1.394,2.436438
2.38433041e-07,1.407,2.446
2.40747925e-07,1.421437,2.45625
2.4310819900000004e-07,1.437,2.467
2.4551521000000003e-07,1.453562,2.477937
2.47970363e-07,1.471,2.489
2.50475114e-07,1.489438,2.5
2.53030982e-07,1.508,2.511
2.55639549e-07,1.525313,2.521062
2.58302461e-07,1.543,2.533
2.61021434e-07,1.56175,2.551313
2.63798258e-07,1.583,2.57
2.66634798e-07,1.610125,2.58325
2.6953300300000005e-07,1.638,2.595
2.7249490400000003e-07,1.661,2.607
2.75522625e-07,1.684,2.62
2.78618385e-07,1.710375,2.635875
2.81784503e-07,1.739,2.653
2.8502340500000006e-07,1.769563,2.671125
2.88337631e-07,1.803,2.688
2.91729838e-07,1.841,2.700875
2.9520281300000004e-07,1.881,2.711
2.9875947300000006e-07,1.92075,2.719125
3.02402881e-07,1.961,2.724
3.0613625e-07,2.00325,2.724313
3.09962953e-07,2.043,2.721
3.13886535e-07,2.074813,2.712625
3.1791072100000004e-07,2.103,2.705
3.22039432e-07,2.129625,2.70525
3.26276793e-07,2.156,2.708
3.3062715e-07,2.184937,2.7105
3.35095085e-07,2.214,2.712
3.3968542800000003e-07,2.241312,2.708812
3.4440328100000003e-07,2.268,2.707
3.49254032e-07,2.29425,2.713938
3.5424337500000004e-07,2.321,2.722
3.59377337e-07,2.349313,2.724125
3.6466229800000006e-07,2.379,2.726
3.7010501900000006e-07,2.410875,2.73275
3.75712671e-07,2.443,2.739
3.8149286600000003e-07,2.473875,2.739063
3.87453692e-07,2.503,2.739
3.9360375000000003e-07,2.528062,2.7435
3.99952198e-07,2.553,2.751
4.06508791e-07,2.582,2.76275
4.13283938e-07,2.612,2.775
4.2028875000000003e-07,2.639938,2.783188
4.27535108e-07,2.67,2.791
4.3503572400000006e-07,2.706563,2.80125
4.42804219e-07,2.746,2.812
4.50855205e-07,2.785687,2.822062
4.592043750000001e-07,2.827,2.832
4.67868609e-07,2.870375,2.841937
4.76866082e-07,2.916,2.852
4.86216397e-07,2.963813,2.86325
4.95940725e-07,3.015,2.873
5.06061964e-07,3.071938,2.878625
5.16604922e-07,3.131,2.881
5.27596516e-07,3.18875,2.880125
5.390660060000001e-07,3.247,2.876
5.5104525e-07,3.306937,2.868437
5.63569006e-07,3.367,2.858
5.76675262e-07,3.424875,2.846313
5.904056250000001e-07,3.484,2.83
6.04805762e-07,3.551188,2.804625
6.19925906e-07,3.614,2.775
6.358214430000001e-07,3.658875,2.743375
6.52553586e-07,3.696,2.713
6.70190169e-07,3.730813,2.68775
6.888065630000001e-07,3.764,2.668
7.084867500000001e-07,3.795437,2.657125
7.293245960000001e-07,3.833,2.65
7.51425341e-07,3.887,2.646063
7.74907383e-07,3.95,2.635
7.999043950000001e-07,4.021625,2.605937
8.26567875e-07,4.091,2.56
8.55070216e-07,4.15,2.490875
8.85608438e-07,4.19,2.41
9.184087500000002e-07,4.196437,2.322563
9.53732164e-07,4.179,2.241
9.9188145e-07,4.139187,2.182688
1.03320984e-06,4.087,2.138
1.0781320100000002e-06,4.043562,2.104063
1.12713801e-06,3.977,2.078
1.1808112500000001e-06,3.849,2.04075
1.2398518099999999e-06,3.7,2.038
1.3051071700000002e-06,3.558875,2.121375
1.3776131300000001e-06,3.422,2.254
1.4586491900000002e-06,3.296562,2.410812
1.54981477e-06,3.179,2.608
1.65313575e-06,3.065063,2.85625
1.7712168800000001e-06,2.964,3.147
1.90746433e-06,2.892187,3.458
2.0664196900000003e-06,2.824,3.841
2.25427602e-06,2.709,4.340937
2.47970363e-06,2.638,4.956
2.7552262500000005e-06,2.703937,5.67175
3.0996295300000005e-06,2.85,6.571
3.5424337500000004e-06,3.03175,7.717313
4.132839380000001e-06,3.305,9.154
4.95940725e-06,3.69,10.83738
6.199259060000001e-06,4.249,13.092
8.26567875e-06,5.03375,16.15038
1.23985181e-05,6.096001,20.245
2.47970363e-05,10.531,43.526
