wavelength[m],n,k
1.9074643300000002e-07,1.013125,1.426875
1.9222508700000001e-07,1.012109,1.442735
1.93726846e-07,1.01,1.46
1.95252254e-07,1.007266,1.478516
1.9680187500000001e-07,1.004375,1.498125
1.9837629000000002e-07,1.001797,1.518672
1.99976099e-07,1.0,1.54
2.01601921e-07,1.001458,1.564375
2.0325439600000004e-07,1.003833,1.58825
2.04934184e-07,1.006792,1.6105
2.06641969e-07,1.01,1.63
2.08378456e-07,1.013125,1.645625
2.1014437500000002e-07,1.02,1.67
2.1194048100000003e-07,1.029375,1.699375
2.13767554e-07,1.04,1.73
2.1562640200000003e-07,1.049375,1.755625
2.1751786200000003e-07,1.06,1.78
2.1944279900000003e-07,1.074375,1.805
2.21402109e-07,1.09,1.83
2.2339672300000003e-07,1.104375,1.854375
2.25427602e-07,1.12,1.88
2.2749574500000002e-07,1.13875,1.91
2.2960218800000001e-07,1.16,1.94
2.3174800200000003e-07,1.18375,1.965625
2.33934304e-07,1.21,1.99
2.3616225000000003e-07,1.239375,2.01625
2.38433041e-07,1.27,2.04
2.40747925e-07,1.299375,2.05625
2.4310819900000004e-07,1.33,2.07
2.4551521000000003e-07,1.364375,2.08625
2.47970363e-07,1.4,2.1
2.50475114e-07,1.435625,2.106875
2.53030982e-07,1.47,2.11
2.55639549e-07,1.500625,2.11125
2.58302461e-07,1.53,2.11
2.61021434e-07,1.56125,2.105625
2.63798258e-07,1.59,2.1
2.66634798e-07,1.61125,2.095625
2.6953300300000005e-07,1.63,2.09
2.7249490400000003e-07,1.65,2.08
2.75522625e-07,1.67,2.07
2.78618385e-07,1.69125,2.065625
2.81784503e-07,1.71,2.06
2.8502340500000006e-07,1.721875,2.045625
2.88337631e-07,1.73,2.03
2.91729838e-07,1.73625,2.01875
2.9520281300000004e-07,1.74,2.01
2.9875947300000006e-07,1.74125,2.005
3.02402881e-07,1.74,2.0
3.0613625e-07,1.735625,1.989375
3.09962953e-07,1.73,1.98
3.13886535e-07,1.72625,1.978125
3.1791072100000004e-07,1.72,1.98
3.22039432e-07,1.70625,1.983125
3.26276793e-07,1.69,1.99
3.3062715e-07,1.674375,2.0025
3.35095085e-07,1.66,2.02
3.3968542800000003e-07,1.64875,2.044375
3.4440328100000003e-07,1.64,2.07
3.49254032e-07,1.634375,2.089375
3.5424337500000004e-07,1.63,2.11
3.59377337e-07,1.625,2.13875
3.6466229800000006e-07,1.62,2.17
3.7010501900000006e-07,1.614375,2.199375
3.75712671e-07,1.61,2.23
3.8149286600000003e-07,1.609375,2.265
3.87453692e-07,1.61,2.3
3.9360375000000003e-07,1.61,2.329375
3.99952198e-07,1.61,2.36
4.06508791e-07,1.609375,2.39875
4.13283938e-07,1.61,2.44
4.2028875000000003e-07,1.614375,2.479375
4.27535108e-07,1.62,2.52
4.3503572400000006e-07,1.625,2.56375
4.42804219e-07,1.63,2.61
4.50855205e-07,1.635,2.659375
4.592043750000001e-07,1.64,2.71
4.67868609e-07,1.644375,2.75875
4.76866082e-07,1.65,2.81
4.86216397e-07,1.658125,2.868125
4.95940725e-07,1.67,2.93
5.06061964e-07,1.68875,2.994375
5.16604922e-07,1.71,3.06
5.27596516e-07,1.729375,3.124375
5.390660060000001e-07,1.75,3.19
5.5104525e-07,1.774375,3.25875
5.63569006e-07,1.8,3.33
5.76675262e-07,1.82375,3.403125
5.904056250000001e-07,1.85,3.48
6.04805762e-07,1.881875,3.56375
6.19925906e-07,1.92,3.65
6.358214430000001e-07,1.966875,3.73375
6.52553586e-07,2.02,3.82
6.70190169e-07,2.0775,3.915
6.888065630000001e-07,2.14,4.01
7.084867500000001e-07,2.208125,4.09875
7.293245960000001e-07,2.28,4.18
7.51425341e-07,2.3575,4.245625
7.74907383e-07,2.43,4.31
7.999043950000001e-07,2.481875,4.388125
8.26567875e-07,2.53,4.47
8.55070216e-07,2.590625,4.54625
8.85608438e-07,2.65,4.63
9.184087500000002e-07,2.695625,4.734375
9.53732164e-07,2.74,4.85
9.9188145e-07,2.793125,4.97125
1.03320984e-06,2.85,5.1
1.0781320100000002e-06,2.91125,5.233125
1.12713801e-06,2.97,5.38
1.1808112500000001e-06,3.02125,5.546875
1.2398518099999999e-06,3.06,5.74
1.3051071700000002e-06,3.11,5.98
1.3776131300000001e-06,3.18,6.23
1.4586491900000002e-06,3.27,6.51
1.54981477e-06,3.38,6.82
1.65313575e-06,3.49,7.13
1.7712168800000001e-06,3.59,7.48
1.90746433e-06,3.69,7.92
2.0664196900000003e-06,3.84,8.35
2.25427602e-06,3.9,8.92
2.47970363e-06,4.03,9.64
