wavelength[m],n,k
2.13767554e-07,1.773,0.982
2.1751786200000003e-07,1.776,0.995
2.21402109e-07,1.782,1.011
2.25427602e-07,1.788,1.024
2.2960218800000001e-07,1.792,1.037
2.33934304e-07,1.797,1.052
2.38433041e-07,1.804,1.065
2.4310819900000004e-07,1.809,1.078
2.47970363e-07,1.815,1.093
2.53030982e-07,1.823,1.104
2.58302461e-07,1.827,1.113
2.63798258e-07,1.827,1.122
2.6953300300000005e-07,1.822,1.135
2.75522625e-07,1.817,1.153
2.81784503e-07,1.815,1.176
2.88337631e-07,1.817,1.199
2.9520281300000004e-07,1.821,1.221
3.02402881e-07,1.825,1.237
3.09962953e-07,1.823,1.254
3.1791072100000004e-07,1.818,1.271
3.26276793e-07,1.806,1.291
3.35095085e-07,1.79,1.317
3.4440328100000003e-07,1.769,1.352
3.5424337500000004e-07,1.756,1.399
3.6466229800000006e-07,1.744,1.46
3.75712671e-07,1.732,1.497
3.87453692e-07,1.722,1.555
3.99952198e-07,1.714,1.618
4.13283938e-07,1.709,1.684
4.27535108e-07,1.702,1.755
4.42804219e-07,1.696,1.831
4.592043750000001e-07,1.689,1.916
4.76866082e-07,1.677,2.016
4.95940725e-07,1.68,2.126
5.16604922e-07,1.678,2.247
5.390660060000001e-07,1.681,2.39
5.63569006e-07,1.699,2.553
5.904056250000001e-07,1.736,2.734
6.19925906e-07,1.793,2.929
6.52553586e-07,1.871,3.139
6.888065630000001e-07,1.979,3.367
7.293245960000001e-07,2.123,3.605
7.74907383e-07,2.298,3.849
8.26567875e-07,2.527,4.088
8.85608438e-07,2.746,4.337
9.53732164e-07,3.072,4.611
1.03320984e-06,3.352,4.891
1.12713801e-06,3.837,5.221
1.2398518099999999e-06,4.699,5.471
1.3776131300000001e-06,5.382,5.318
1.54981477e-06,5.896,5.153
1.7712168800000001e-06,6.479,5.121
2.0664196900000003e-06,7.096,4.783
2.47970363e-06,7.641,4.115
3.0996295300000005e-06,6.788,3.79
4.132839380000001e-06,6.98,5.612
6.199259060000001e-06,7.922,6.356
1.23985181e-05,7.599,10.64
