wavelength[m],n,k
2.13767554e-07,1.167,1.632
2.1751786200000003e-07,1.191,1.659
2.21402109e-07,1.221,1.692
2.25427602e-07,1.251,1.724
2.2960218800000001e-07,1.282,1.756
2.33934304e-07,1.313,1.79
2.38433041e-07,1.347,1.824
2.4310819900000004e-07,1.383,1.861
2.47970363e-07,1.425,1.9
2.53030982e-07,1.476,1.939
2.58302461e-07,1.536,1.971
2.63798258e-07,1.601,1.992
2.6953300300000005e-07,1.664,2.004
2.75522625e-07,1.725,2.01
2.81784503e-07,1.783,2.011
2.88337631e-07,1.843,2.005
2.9520281300000004e-07,1.896,1.991
3.02402881e-07,1.942,1.97
3.09962953e-07,1.976,1.95
3.1791072100000004e-07,2.009,1.926
3.26276793e-07,2.026,1.9
3.35095085e-07,2.029,1.876
3.4440328100000003e-07,2.007,1.869
3.5424337500000004e-07,2.009,1.898
3.6466229800000006e-07,2.012,1.914
3.75712671e-07,2.02,1.94
3.87453692e-07,2.033,1.963
3.99952198e-07,2.039,1.986
4.13283938e-07,2.04,2.017
4.27535108e-07,2.037,2.061
4.42804219e-07,2.043,2.125
4.592043750000001e-07,2.067,2.194
4.76866082e-07,2.093,2.262
4.95940725e-07,2.133,2.332
5.16604922e-07,2.168,2.413
5.390660060000001e-07,2.221,2.51
5.63569006e-07,2.299,2.616
5.904056250000001e-07,2.431,2.724
6.19925906e-07,2.599,2.763
6.52553586e-07,2.731,2.75
6.888065630000001e-07,2.85,2.734
7.293245960000001e-07,2.95,2.67
7.74907383e-07,2.99,2.588
8.26567875e-07,2.973,2.496
8.85608438e-07,2.859,2.447
9.53732164e-07,2.702,2.42
1.03320984e-06,2.388,2.475
1.12713801e-06,1.987,2.778
1.2398518099999999e-06,1.682,3.344
1.3776131300000001e-06,1.568,4.014
1.54981477e-06,1.541,4.73
1.7712168800000001e-06,1.477,5.535
2.0664196900000003e-06,1.325,6.661
2.47970363e-06,1.255,8.392
3.0996295300000005e-06,1.437,10.832
4.132839380000001e-06,1.947,14.656
6.199259060000001e-06,2.931,21.965
1.23985181e-05,5.343,35.835
