wavelength[m],n,k
1.9074643300000002e-07,1.03125,2.27125
1.9222508700000001e-07,1.044844,2.300938
1.93726846e-07,1.06,2.33
1.95252254e-07,1.076406,2.358438
1.9680187500000001e-07,1.09375,2.38625
1.9837629000000002e-07,1.111719,2.413437
1.99976099e-07,1.13,2.44
2.01601921e-07,1.145625,2.462917
2.0325439600000004e-07,1.162,2.486417
2.04934184e-07,1.179875,2.511708
2.06641969e-07,1.2,2.54
2.08378456e-07,1.223125,2.5725
2.1014437500000002e-07,1.24,2.6
2.1194048100000003e-07,1.254375,2.625
2.13767554e-07,1.27,2.65
2.1562640200000003e-07,1.294375,2.679375
2.1751786200000003e-07,1.32,2.71
2.1944279900000003e-07,1.34,2.74
2.21402109e-07,1.36,2.77
2.2339672300000003e-07,1.384375,2.800625
2.25427602e-07,1.41,2.83
2.2749574500000002e-07,1.434375,2.855
2.2960218800000001e-07,1.46,2.88
2.3174800200000003e-07,1.489375,2.909375
2.33934304e-07,1.52,2.94
2.3616225000000003e-07,1.549375,2.969375
2.38433041e-07,1.58,3.0
2.40747925e-07,1.613125,3.035625
2.4310819900000004e-07,1.65,3.07
2.4551521000000003e-07,1.694375,3.0975
2.47970363e-07,1.74,3.12
2.50475114e-07,1.781875,3.135625
2.53030982e-07,1.82,3.15
2.55639549e-07,1.85125,3.16875
2.58302461e-07,1.88,3.19
2.61021434e-07,1.909375,3.213125
2.63798258e-07,1.94,3.24
2.66634798e-07,1.9725,3.27375
2.6953300300000005e-07,2.01,3.31
2.7249490400000003e-07,2.05625,3.345625
2.75522625e-07,2.11,3.38
2.78618385e-07,2.171875,3.4125
2.81784503e-07,2.24,3.44
2.8502340500000006e-07,2.314375,3.460625
2.88337631e-07,2.39,3.47
2.91729838e-07,2.4625,3.459375
2.9520281300000004e-07,2.53,3.44
2.9875947300000006e-07,2.589375,3.421875
3.02402881e-07,2.64,3.4
3.0613625e-07,2.680625,3.369375
3.09962953e-07,2.71,3.34
3.13886535e-07,2.724375,3.320625
3.1791072100000004e-07,2.73,3.31
3.22039432e-07,2.73125,3.31
3.26276793e-07,2.73,3.32
3.3062715e-07,2.72875,3.340625
3.35095085e-07,2.73,3.37
3.3968542800000003e-07,2.7375,3.404375
3.4440328100000003e-07,2.75,3.45
3.49254032e-07,2.7625,3.5125
3.5424337500000004e-07,2.79,3.59
3.59377337e-07,2.84875,3.693125
3.6466229800000006e-07,2.93,3.79
3.7010501900000006e-07,3.04,3.8425
3.75712671e-07,3.15,3.88
3.8149286600000003e-07,3.22,3.91
3.87453692e-07,3.29,3.96
3.9360375000000003e-07,3.375,4.078125
3.99952198e-07,3.51,4.21
4.06508791e-07,3.75625,4.334375
4.13283938e-07,4.05,4.4
4.2028875000000003e-07,4.35875,4.326875
4.27535108e-07,4.65,4.18
4.3503572400000006e-07,4.871876,3.991249
4.42804219e-07,5.05,3.78
4.50855205e-07,5.19625,3.59
4.592043750000001e-07,5.3,3.38
4.67868609e-07,5.350625,3.102501
4.76866082e-07,5.36,2.82
4.86216397e-07,5.335001,2.588125
4.95940725e-07,5.28,2.38
5.06061964e-07,5.20125,2.183125
5.16604922e-07,5.1,2.01
5.27596516e-07,4.974999,1.870625
5.390660060000001e-07,4.84,1.76
5.5104525e-07,4.71375,1.679375
5.63569006e-07,4.58,1.62
5.76675262e-07,4.42125,1.5675
5.904056250000001e-07,4.26,1.54
6.04805762e-07,4.11,1.555
6.19925906e-07,3.98,1.6
6.358214430000001e-07,3.88,1.67
6.52553586e-07,3.81,1.75
6.70190169e-07,3.79,1.81
6.888065630000001e-07,3.78,1.83
7.084867500000001e-07,3.76,1.8
7.293245960000001e-07,3.7,1.75
7.51425341e-07,3.57,1.66
7.74907383e-07,3.36,1.62
7.999043950000001e-07,3.096666,1.668333
8.26567875e-07,2.84,1.8
8.55070216e-07,2.65,2.01
8.85608438e-07,2.49,2.23
9.184087500000002e-07,2.35,2.48
9.53732164e-07,2.25,2.77
9.9188145e-07,2.19,3.04
1.03320984e-06,2.16,3.35
1.0781320100000002e-06,2.17,3.59
1.12713801e-06,2.15,3.84
1.1808112500000001e-06,2.12,4.11
1.2398518099999999e-06,2.09,4.41
1.3051071700000002e-06,2.05,4.74
1.3776131300000001e-06,2.03,5.1
1.4586491900000002e-06,2.01,5.51
1.54981477e-06,2.0,5.95
1.65313575e-06,2.0,6.46
1.7712168800000001e-06,2.02,7.04
1.90746433e-06,2.11,7.68
2.0664196900000003e-06,2.21,8.37
2.25427602e-06,2.33,9.12
2.47970363e-06,2.41,9.97
