wavelength[m],n,k
1.99976099e-07,1.13,1.7
2.01601921e-07,1.160757,1.713342
2.0325439600000004e-07,1.183727,1.726683
2.04934184e-07,1.200023,1.740023
2.06641969e-07,1.210759,1.753364
2.08378456e-07,1.217089,1.766744
2.1014437500000002e-07,1.219951,1.77999
2.1194048100000003e-07,1.220253,1.792899
2.13767554e-07,1.219673,1.806077
2.1562640200000003e-07,1.220171,1.820158
2.1751786200000003e-07,1.223488,1.835649
2.1944279900000003e-07,1.229679,1.852274
2.21402109e-07,1.240607,1.870228
2.2339672300000003e-07,1.257197,1.889533
2.25427602e-07,1.277574,1.909706
2.2749574500000002e-07,1.300062,1.930051
2.2960218800000001e-07,1.323418,1.950178
2.3174800200000003e-07,1.347222,1.970108
2.33934304e-07,1.369661,1.990492
2.3616225000000003e-07,1.390296,2.011237
2.38433041e-07,1.409814,2.031674
2.40747925e-07,1.431384,2.049397
2.4310819900000004e-07,1.455103,2.064214
2.4551521000000003e-07,1.479189,2.077263
2.47970363e-07,1.499011,2.090213
2.50475114e-07,1.51356,2.104233
2.53030982e-07,1.523365,2.12046
2.55639549e-07,1.530308,2.141082
2.58302461e-07,1.535133,2.166517
2.61021434e-07,1.5383,2.196623
2.63798258e-07,1.540003,2.230786
2.66634798e-07,1.540735,2.268314
2.6953300300000005e-07,1.540665,2.308574
2.7249490400000003e-07,1.539009,2.351173
2.75522625e-07,1.536696,2.395422
2.78618385e-07,1.536106,2.439258
2.81784503e-07,1.541998,2.478218
2.8502340500000006e-07,1.55529,2.512217
2.88337631e-07,1.575526,2.54506
2.91729838e-07,1.600709,2.584374
2.9520281300000004e-07,1.629861,2.632578
2.9875947300000006e-07,1.659946,2.686035
3.02402881e-07,1.687293,2.737973
3.0613625e-07,1.711332,2.785465
3.09962953e-07,1.737523,2.832176
3.13886535e-07,1.772924,2.883456
3.1791072100000004e-07,1.822708,2.94219
3.22039432e-07,1.889454,3.009748
3.26276793e-07,1.974648,3.086122
3.3062715e-07,2.078836,3.170839
3.35095085e-07,2.20005,3.250861
3.3968542800000003e-07,2.335586,3.314617
3.4440328100000003e-07,2.482348,3.350296
3.49254032e-07,2.633406,3.367484
3.5424337500000004e-07,2.782469,3.374288
3.59377337e-07,2.923223,3.380421
3.6466229800000006e-07,3.053079,3.379351
3.7010501900000006e-07,3.170108,3.365759
3.75712671e-07,3.273472,3.334024
3.8149286600000003e-07,3.369927,3.291107
3.87453692e-07,3.466829,3.244049
3.9360375000000003e-07,3.571004,3.198195
3.99952198e-07,3.681792,3.143993
4.06508791e-07,3.797623,3.06928
4.13283938e-07,3.914747,2.965897
4.2028875000000003e-07,4.025058,2.840669
4.27535108e-07,4.115867,2.705846
4.3503572400000006e-07,4.180344,2.571944
4.42804219e-07,4.222263,2.444687
4.50855205e-07,4.254369,2.331387
4.592043750000001e-07,4.283469,2.234668
4.67868609e-07,4.310027,2.152733
4.76866082e-07,4.330346,2.073388
4.86216397e-07,4.343352,1.991778
4.95940725e-07,4.349502,1.907683
5.06061964e-07,4.349059,1.825656
5.16604922e-07,4.342818,1.74832
5.27596516e-07,4.332042,1.678023
5.390660060000001e-07,4.319899,1.620754
5.5104525e-07,4.308077,1.578399
5.63569006e-07,4.297541,1.550302
5.76675262e-07,4.287198,1.529764
5.904056250000001e-07,4.279026,1.51356
6.04805762e-07,4.278185,1.498128
6.19925906e-07,4.297949,1.477941
6.358214430000001e-07,4.342639,1.449091
6.52553586e-07,4.407166,1.408431
6.70190169e-07,4.470799,1.353609
6.888065630000001e-07,4.526126,1.282308
7.084867500000001e-07,4.569008,1.19929
7.293245960000001e-07,4.599693,1.117023
7.51425341e-07,4.613894,1.040942
7.74907383e-07,4.612091,0.974962
7.999043950000001e-07,4.597536,0.921484
8.26567875e-07,4.569341,0.8878
8.55070216e-07,4.534009,0.861246
8.85608438e-07,4.500512,0.82227
9.184087500000002e-07,4.477665,0.753496
9.53732164e-07,4.459386,0.671773
9.9188145e-07,4.437383,0.599035
1.03320984e-06,4.405819,0.551319
1.0781320100000002e-06,4.370868,0.517698
1.12713801e-06,4.338195,0.48839
1.1808112500000001e-06,4.310139,0.461103
1.2398518099999999e-06,4.291269,0.429142
1.3051071700000002e-06,4.279757,0.397716
1.3776131300000001e-06,4.264161,0.391465
1.4586491900000002e-06,4.253906,0.378644
1.54981477e-06,4.244765,0.363657
1.65313575e-06,4.236651,0.347745
1.7712168800000001e-06,4.234562,0.336001
1.90746433e-06,4.24,0.318
2.0664196900000003e-06,4.246292,0.306921
2.25427602e-06,4.25683,0.277446
2.47970363e-06,4.296217,0.239628
