wavelength[m],n,k
2.06641969e-07,0.64,0.86
2.08378456e-07,0.6343,0.868627
2.1014437500000002e-07,0.6286,0.87863
2.1194048100000003e-07,0.6229,0.889939
2.13767554e-07,0.6172,0.902487
2.1562640200000003e-07,0.6115,0.916204
2.1751786200000003e-07,0.6058,0.931022
2.1944279900000003e-07,0.6001,0.946872
2.21402109e-07,0.5944,0.963687
2.2339672300000003e-07,0.588701,0.981397
2.25427602e-07,0.583001,0.999933
2.2749574500000002e-07,0.577003,1.019824
2.2960218800000001e-07,0.57074,1.040933
2.3174800200000003e-07,0.56468,1.06226
2.33934304e-07,0.558958,1.08346
2.3616225000000003e-07,0.553714,1.104192
2.38433041e-07,0.549216,1.123844
2.40747925e-07,0.545929,1.141421
2.4310819900000004e-07,0.543364,1.157832
2.4551521000000003e-07,0.541521,1.173008
2.47970363e-07,0.5404,1.186881
2.50475114e-07,0.540001,1.199382
2.53030982e-07,0.540614,1.206088
2.55639549e-07,0.541901,1.212011
2.58302461e-07,0.543777,1.218359
2.61021434e-07,0.546172,1.226094
2.63798258e-07,0.549018,1.236175
2.66634798e-07,0.551821,1.251053
2.6953300300000005e-07,0.554833,1.270568
2.7249490400000003e-07,0.558321,1.294501
2.75522625e-07,0.562355,1.323333
2.78618385e-07,0.567002,1.357544
2.81784503e-07,0.572729,1.400794
2.8502340500000006e-07,0.579663,1.454039
2.88337631e-07,0.587125,1.511763
2.91729838e-07,0.594977,1.572802
2.9520281300000004e-07,0.603081,1.635988
2.9875947300000006e-07,0.611201,1.699556
3.02402881e-07,0.618801,1.759951
3.0613625e-07,0.626401,1.819948
3.09962953e-07,0.634001,1.879205
3.13886535e-07,0.641601,1.937379
3.1791072100000004e-07,0.649201,1.994127
3.22039432e-07,0.654049,2.043878
3.26276793e-07,0.659178,2.092051
3.3062715e-07,0.665607,2.140238
3.35095085e-07,0.674021,2.1894
3.3968542800000003e-07,0.685106,2.240497
3.4440328100000003e-07,0.700732,2.297446
3.49254032e-07,0.720837,2.359342
3.5424337500000004e-07,0.745,2.424375
3.59377337e-07,0.773495,2.492476
3.6466229800000006e-07,0.806596,2.563577
3.7010501900000006e-07,0.84481,2.640745
3.75712671e-07,0.888522,2.725414
3.8149286600000003e-07,0.937477,2.810344
3.87453692e-07,0.99181,2.893613
3.9360375000000003e-07,1.051659,2.973301
3.99952198e-07,1.117261,3.046722
4.06508791e-07,1.189456,3.106559
4.13283938e-07,1.267352,3.158797
4.2028875000000003e-07,1.35088,3.203092
4.27535108e-07,1.439971,3.239102
4.3503572400000006e-07,1.534557,3.266485
4.42804219e-07,1.636131,3.279961
4.50855205e-07,1.743016,3.28427
4.592043750000001e-07,1.854431,3.281323
4.67868609e-07,1.969897,3.27208
4.76866082e-07,2.088934,3.257502
4.86216397e-07,2.210696,3.239997
4.95940725e-07,2.334881,3.219819
5.06061964e-07,2.461412,3.19632
5.16604922e-07,2.589946,3.169912
5.27596516e-07,2.720141,3.141005
5.390660060000001e-07,2.851155,3.110012
5.5104525e-07,2.982187,3.077344
5.63569006e-07,3.114303,3.043412
5.76675262e-07,3.247501,3.008629
5.904056250000001e-07,3.381783,2.973404
6.04805762e-07,3.517763,2.938152
6.19925906e-07,3.665434,2.903282
6.358214430000001e-07,3.811516,2.869205
6.52553586e-07,3.953472,2.836335
6.70190169e-07,4.088765,2.805082
6.888065630000001e-07,4.214857,2.775857
7.084867500000001e-07,4.321146,2.774974
7.293245960000001e-07,4.412748,2.77826
7.51425341e-07,4.491586,2.771799
7.74907383e-07,4.557384,2.748732
7.999043950000001e-07,4.609869,2.702199
8.26567875e-07,4.641832,2.585407
8.55070216e-07,4.655201,2.404171
8.85608438e-07,4.65883,2.204226
9.184087500000002e-07,4.655325,1.995315
9.53732164e-07,4.647293,1.787177
9.9188145e-07,4.637341,1.589551
1.03320984e-06,4.628074,1.412177
1.0781320100000002e-06,4.6221,1.264795
1.12713801e-06,4.622025,1.157146
1.1808112500000001e-06,4.630457,1.098967
1.2398518099999999e-06,4.65,1.1
