wavelength[m],n,k
1.9074643300000002e-07,0.86,1.44
1.9222508700000001e-07,0.860125,1.451825
1.93726846e-07,0.859791,1.464529
1.95252254e-07,0.859225,1.478066
1.9680187500000001e-07,0.858657,1.492398
1.9837629000000002e-07,0.858313,1.507478
1.99976099e-07,0.858421,1.523261
2.01601921e-07,0.859211,1.539707
2.0325439600000004e-07,0.860912,1.556772
2.04934184e-07,0.863749,1.574412
2.06641969e-07,0.867952,1.592583
2.08378456e-07,0.873749,1.611243
2.1014437500000002e-07,0.881368,1.630348
2.1194048100000003e-07,0.89,1.65
2.13767554e-07,0.898834,1.6703
2.1562640200000003e-07,0.907061,1.691348
2.1751786200000003e-07,0.912512,1.713744
2.1944279900000003e-07,0.916037,1.736981
2.21402109e-07,0.92,1.76
2.2339672300000003e-07,0.927097,1.781156
2.25427602e-07,0.935963,1.801802
2.2749574500000002e-07,0.947027,1.82264
2.2960218800000001e-07,0.959623,1.843555
2.3174800200000003e-07,0.972195,1.864033
2.33934304e-07,0.983174,1.883772
2.3616225000000003e-07,0.994888,1.902695
2.38433041e-07,1.009475,1.920437
2.40747925e-07,1.026261,1.937142
2.4310819900000004e-07,1.043254,1.953114
2.4551521000000003e-07,1.059154,1.968473
2.47970363e-07,1.074247,1.983791
2.50475114e-07,1.088259,1.999843
2.53030982e-07,1.10095,2.016525
2.55639549e-07,1.111815,2.033492
2.58302461e-07,1.120193,2.050719
2.61021434e-07,1.128302,2.066947
2.63798258e-07,1.138587,2.079949
2.66634798e-07,1.150213,2.091251
2.6953300300000005e-07,1.162977,2.102228
2.7249490400000003e-07,1.177215,2.113892
2.75522625e-07,1.188377,2.127095
2.78618385e-07,1.189116,2.144085
2.81784503e-07,1.184484,2.163515
2.8502340500000006e-07,1.1795,2.183935
2.88337631e-07,1.178177,2.204134
2.91729838e-07,1.179386,2.225536
2.9520281300000004e-07,1.185902,2.249582
2.9875947300000006e-07,1.194739,2.27483
3.02402881e-07,1.202286,2.299036
3.0613625e-07,1.206782,2.321571
3.09962953e-07,1.209622,2.34507
3.13886535e-07,1.210985,2.372288
3.1791072100000004e-07,1.210831,2.401746
3.22039432e-07,1.208071,2.432239
3.26276793e-07,1.203143,2.463092
3.3062715e-07,1.200141,2.493892
3.35095085e-07,1.205492,2.523045
3.3968542800000003e-07,1.214491,2.552083
3.4440328100000003e-07,1.222118,2.582824
3.49254032e-07,1.226471,2.615891
3.5424337500000004e-07,1.23,2.65
3.59377337e-07,1.233242,2.683969
3.6466229800000006e-07,1.237083,2.718694
3.7010501900000006e-07,1.242453,2.75466
3.75712671e-07,1.250032,2.791976
3.8149286600000003e-07,1.26,2.83
3.87453692e-07,1.274589,2.867824
3.9360375000000003e-07,1.290495,2.906372
3.99952198e-07,1.304579,2.945794
4.06508791e-07,1.316247,2.986595
4.13283938e-07,1.33,3.03
4.2028875000000003e-07,1.348044,3.076908
4.27535108e-07,1.363975,3.122114
4.3503572400000006e-07,1.378884,3.166867
4.42804219e-07,1.393861,3.212413
4.50855205e-07,1.41,3.26
4.592043750000001e-07,1.429733,3.312518
4.67868609e-07,1.451105,3.367486
4.76866082e-07,1.474894,3.424637
4.86216397e-07,1.499026,3.482723
4.95940725e-07,1.52,3.54
5.06061964e-07,1.535173,3.595024
5.16604922e-07,1.558918,3.654907
5.27596516e-07,1.587592,3.718661
5.390660060000001e-07,1.617553,3.785291
5.5104525e-07,1.64347,3.853351
5.63569006e-07,1.658587,3.92101
5.76675262e-07,1.673256,3.99105
5.904056250000001e-07,1.69668,4.066112
6.04805762e-07,1.726494,4.145302
6.19925906e-07,1.75427,4.225546
6.358214430000001e-07,1.773848,4.304184
6.52553586e-07,1.792338,4.385938
6.70190169e-07,1.813076,4.475248
6.888065630000001e-07,1.837469,4.571035
7.084867500000001e-07,1.866608,4.669277
7.293245960000001e-07,1.902401,4.767202
7.51425341e-07,1.941803,4.869014
7.74907383e-07,1.974319,4.978076
7.999043950000001e-07,2.014081,5.093524
8.26567875e-07,2.082121,5.214392
8.55070216e-07,2.200538,5.340015
8.85608438e-07,2.311263,5.472562
9.184087500000002e-07,2.350159,5.61212
9.53732164e-07,2.349565,5.761533
9.9188145e-07,2.348156,5.923958
1.03320984e-06,2.400106,6.103319
1.0781320100000002e-06,2.466173,6.299675
1.12713801e-06,2.540223,6.514457
1.1808112500000001e-06,2.616123,6.749094
1.2398518099999999e-06,2.679111,7.00139
1.3051071700000002e-06,2.7293,7.275399
1.3776131300000001e-06,2.787078,7.583685
1.4586491900000002e-06,2.860724,7.936326
1.54981477e-06,2.949509,8.332067
1.65313575e-06,3.001193,8.831679
1.7712168800000001e-06,3.038068,9.410989
1.90746433e-06,3.261611,9.836403
2.0664196900000003e-06,3.8,9.96
2.25427602e-06,3.945625,10.63688
2.47970363e-06,4.1,11.44
