wavelength[m],n,k
1.7712168800000002e-07,1.075,1.115
1.79688669e-07,1.072,1.136
1.8233114900000003e-07,1.064,1.178
1.85052509e-07,1.072,1.228
1.87856335e-07,1.095,1.26
1.9074643300000002e-07,1.113,1.288
1.93726846e-07,1.145,1.323
1.9680187500000001e-07,1.172,1.347
1.99976099e-07,1.188,1.362
2.0325439600000004e-07,1.203,1.378
2.06641969e-07,1.219,1.394
2.1014437500000002e-07,1.234,1.409
2.13767554e-07,1.245,1.43
2.1751786200000003e-07,1.255,1.45
2.21402109e-07,1.262,1.463
2.25427602e-07,1.278,1.497
2.2960218800000001e-07,1.291,1.525
2.33934304e-07,1.304,1.544
2.38433041e-07,1.324,1.573
2.4310819900000004e-07,1.332,1.588
2.47970363e-07,1.344,1.612
2.53030982e-07,1.36,1.644
2.58302461e-07,1.364,1.661
2.63798258e-07,1.369,1.709
2.6953300300000005e-07,1.388,1.721
2.75522625e-07,1.394,1.767
2.81784503e-07,1.417,1.796
2.88337631e-07,1.437,1.827
2.9520281300000004e-07,1.443,1.866
3.02402881e-07,1.461,1.887
3.09962953e-07,1.461,1.929
3.1791072100000004e-07,1.473,1.98
3.26276793e-07,1.495,2.034
3.35095085e-07,1.505,2.08
3.4440328100000003e-07,1.519,2.125
3.5424337500000004e-07,1.537,2.195
3.6466229800000006e-07,1.57,2.274
3.75712671e-07,1.606,2.361
3.87453692e-07,1.642,2.425
3.99952198e-07,1.687,2.509
4.13283938e-07,1.749,2.603
4.27535108e-07,1.826,2.695
4.42804219e-07,1.9,2.771
4.592043750000001e-07,1.978,2.851
4.76866082e-07,2.088,2.93
4.95940725e-07,2.21,3.0
5.16604922e-07,2.336,3.042
5.390660060000001e-07,2.463,3.061
5.63569006e-07,2.567,3.049
5.904056250000001e-07,2.633,3.05
6.19925906e-07,2.674,3.072
6.52553586e-07,2.725,3.124
6.888065630000001e-07,2.765,3.182
7.293245960000001e-07,2.823,3.264
7.74907383e-07,2.877,3.363
8.26567875e-07,2.935,3.465
8.85608438e-07,3.044,3.591
9.53732164e-07,3.091,3.705
1.03320984e-06,3.13,3.883
1.12713801e-06,3.217,4.099
1.2398518099999999e-06,3.331,4.459
1.3776131300000001e-06,3.52,4.952
1.54981477e-06,3.748,5.141
1.7712168800000001e-06,3.944,5.535
2.0664196900000003e-06,4.005,6.072
2.47970363e-06,4.122,7.019
3.0996295300000005e-06,4.53,8.917
4.132839380000001e-06,5.172,11.392
6.199259060000001e-06,6.557,16.442
1.23985181e-05,8.954,24.987
