wavelength[m],n,k
1.7712168800000002e-07,1.336,1.095
1.79688669e-07,1.325,1.138
1.8233114900000003e-07,1.333,1.16
1.85052509e-07,1.342,1.185
1.87856335e-07,1.351,1.21
1.9074643300000002e-07,1.358,1.229
1.93726846e-07,1.368,1.235
1.9680187500000001e-07,1.371,1.272
1.99976099e-07,1.385,1.279
2.0325439600000004e-07,1.387,1.286
2.06641969e-07,1.387,1.31
2.1014437500000002e-07,1.385,1.33
2.13767554e-07,1.398,1.377
2.1751786200000003e-07,1.421,1.387
2.21402109e-07,1.43,1.402
2.25427602e-07,1.431,1.426
2.2960218800000001e-07,1.438,1.443
2.33934304e-07,1.441,1.464
2.38433041e-07,1.445,1.494
2.4310819900000004e-07,1.448,1.515
2.47970363e-07,1.453,1.559
2.53030982e-07,1.449,1.578
2.58302461e-07,1.455,1.664
2.63798258e-07,1.496,1.663
2.6953300300000005e-07,1.507,1.705
2.75522625e-07,1.518,1.688
2.81784503e-07,1.505,1.768
2.88337631e-07,1.533,1.818
2.9520281300000004e-07,1.543,1.855
3.02402881e-07,1.574,1.911
3.09962953e-07,1.607,1.952
3.1791072100000004e-07,1.643,1.993
3.26276793e-07,1.679,2.028
3.35095085e-07,1.703,2.062
3.4440328100000003e-07,1.728,2.092
3.5424337500000004e-07,1.755,2.126
3.6466229800000006e-07,1.778,2.171
3.75712671e-07,1.792,2.223
3.87453692e-07,1.797,2.277
3.99952198e-07,1.815,2.364
4.13283938e-07,1.867,2.479
4.27535108e-07,1.956,2.569
4.42804219e-07,2.039,2.626
4.592043750000001e-07,2.115,2.673
4.76866082e-07,2.193,2.708
4.95940725e-07,2.254,2.742
5.16604922e-07,2.296,2.786
5.390660060000001e-07,2.338,2.854
5.63569006e-07,2.384,2.944
5.904056250000001e-07,2.451,3.051
6.19925906e-07,2.564,3.173
6.52553586e-07,2.728,3.276
6.888065630000001e-07,2.884,3.338
7.293245960000001e-07,3.064,3.347
7.74907383e-07,3.199,3.313
8.26567875e-07,3.278,3.284
8.85608438e-07,3.343,3.223
9.53732164e-07,3.272,3.107
1.03320984e-06,3.053,3.055
1.12713801e-06,2.7,3.313
1.2398518099999999e-06,2.427,3.955
1.3776131300000001e-06,2.376,4.685
1.54981477e-06,2.422,5.402
1.7712168800000001e-06,2.612,6.208
2.0664196900000003e-06,2.99,7.207
2.47970363e-06,3.245,8.396
3.0996295300000005e-06,3.742,10.599
4.132839380000001e-06,4.45,13.72
6.199259060000001e-06,5.916,20.052
1.23985181e-05,8.475,30.757
