wavelength[m],n,k
2.06641969e-07,1.38,1.4
2.08378456e-07,1.376341,1.4172
2.1014437500000002e-07,1.371629,1.4344
2.1194048100000003e-07,1.366657,1.4516
2.13767554e-07,1.362222,1.468799
2.1562640200000003e-07,1.359607,1.485999
2.1751786200000003e-07,1.359424,1.503199
2.1944279900000003e-07,1.36,1.520399
2.21402109e-07,1.36,1.537599
2.2339672300000003e-07,1.36,1.554799
2.25427602e-07,1.36,1.571998
2.2749574500000002e-07,1.36,1.589198
2.2960218800000001e-07,1.36,1.606399
2.3174800200000003e-07,1.36,1.6236
2.33934304e-07,1.36,1.640768
2.3616225000000003e-07,1.36,1.657403
2.38433041e-07,1.36,1.67487
2.40747925e-07,1.36,1.694899
2.4310819900000004e-07,1.36,1.716597
2.4551521000000003e-07,1.35945,1.738501
2.47970363e-07,1.35872,1.760001
2.50475114e-07,1.360509,1.781451
2.53030982e-07,1.369134,1.802396
2.55639549e-07,1.378055,1.824192
2.58302461e-07,1.38074,1.848591
2.61021434e-07,1.380234,1.874609
2.63798258e-07,1.381062,1.90109
2.66634798e-07,1.38491,1.927238
2.6953300300000005e-07,1.390674,1.952125
2.7249490400000003e-07,1.398764,1.974135
2.75522625e-07,1.407835,1.995164
2.78618385e-07,1.41709,2.016009
2.81784503e-07,1.425735,2.037464
2.8502340500000006e-07,1.432059,2.060934
2.88337631e-07,1.436105,2.086656
2.91729838e-07,1.440762,2.112915
2.9520281300000004e-07,1.448351,2.138182
2.9875947300000006e-07,1.45779,2.164337
3.02402881e-07,1.47008,2.192677
3.0613625e-07,1.48326,2.223016
3.09962953e-07,1.494481,2.256483
3.13886535e-07,1.503133,2.29177
3.1791072100000004e-07,1.511001,2.323449
3.22039432e-07,1.518559,2.345767
3.26276793e-07,1.527929,2.366163
3.3062715e-07,1.543773,2.389352
3.35095085e-07,1.561521,2.415434
3.3968542800000003e-07,1.57519,2.445811
3.4440328100000003e-07,1.583845,2.480156
3.49254032e-07,1.591284,2.5156
3.5424337500000004e-07,1.599375,2.55
3.59377337e-07,1.60839,2.584399
3.6466229800000006e-07,1.619648,2.618799
3.7010501900000006e-07,1.63287,2.653199
3.75712671e-07,1.64829,2.686901
3.8149286600000003e-07,1.665487,2.720747
3.87453692e-07,1.683199,2.757659
3.9360375000000003e-07,1.700399,2.800385
3.99952198e-07,1.717599,2.84398
4.06508791e-07,1.734266,2.882865
4.13283938e-07,1.751518,2.921356
4.2028875000000003e-07,1.77134,2.964253
4.27535108e-07,1.79312,3.0116
4.3503572400000006e-07,1.813714,3.059905
4.42804219e-07,1.830785,3.107205
4.50855205e-07,1.84793,3.154504
4.592043750000001e-07,1.868365,3.200178
4.67868609e-07,1.890196,3.24771
4.76866082e-07,1.91087,3.301998
4.86216397e-07,1.931655,3.362333
4.95940725e-07,1.957146,3.424003
5.06061964e-07,1.99057,3.484202
5.16604922e-07,2.026601,3.544401
5.27596516e-07,2.0612,3.605152
5.390660060000001e-07,2.0956,3.665248
5.5104525e-07,2.13,3.721094
5.63569006e-07,2.1644,3.775832
5.76675262e-07,2.198799,3.837894
5.904056250000001e-07,2.233199,3.912901
6.04805762e-07,2.267599,3.994157
6.19925906e-07,2.298639,4.078156
6.358214430000001e-07,2.333816,4.165015
6.52553586e-07,2.383049,4.253633
6.70190169e-07,2.443794,4.343824
6.888065630000001e-07,2.506401,4.435471
7.084867500000001e-07,2.565715,4.528474
7.293245960000001e-07,2.627065,4.625364
7.51425341e-07,2.692612,4.729439
7.74907383e-07,2.762649,4.838404
7.999043950000001e-07,2.838768,4.950106
8.26567875e-07,2.920452,5.065721
8.55070216e-07,3.005323,5.187834
8.85608438e-07,3.092579,5.31804
9.184087500000002e-07,3.187675,5.456677
9.53732164e-07,3.294945,5.607424
9.9188145e-07,3.414894,5.764392
1.03320984e-06,3.54951,5.920446
1.0781320100000002e-06,3.699681,6.07874
1.12713801e-06,3.865956,6.245446
1.1808112500000001e-06,4.049131,6.424542
1.2398518099999999e-06,4.25,6.62
1.3051071700000002e-06,4.5,6.77
1.3776131300000001e-06,4.77,6.91
1.4586491900000002e-06,5.05,6.98
1.54981477e-06,5.31,7.04
1.65313575e-06,5.57,7.02
1.7712168800000001e-06,5.71,6.83
1.90746433e-06,5.52,6.66
2.0664196900000003e-06,5.13,6.75
2.25427602e-06,4.58,7.14
2.47970363e-06,3.91,7.71
