wavelength[m],n,k
2.4000000000000003e-07,1.6401,3.3861
2.42e-07,1.6546,3.4157
2.44e-07,1.6695,3.4579
2.46e-07,1.691,3.518
2.48e-07,1.703,3.5604
2.5000000000000004e-07,1.7244,3.6277
2.5200000000000003e-07,1.7461,3.6894
2.54e-07,1.7763,3.7672
2.56e-07,1.8019,3.8315
2.58e-07,1.8313,3.9151
2.6e-07,1.8859,4.0064
2.62e-07,1.9338,4.1029
2.6400000000000003e-07,2.0023,4.194
2.66e-07,2.071,4.2985
2.68e-07,2.1656,4.4094
2.7e-07,2.2729,4.5165
2.72e-07,2.3934,4.6215
2.74e-07,2.5429,4.7153
2.7600000000000004e-07,2.7003,4.7935
2.7800000000000003e-07,2.8806,4.863
2.8e-07,3.0562,4.9135
2.82e-07,3.2633,4.9493
2.84e-07,3.4811,4.9672
2.86e-07,3.6873,4.963
2.8800000000000004e-07,3.9261,4.9189
2.9000000000000003e-07,4.1486,4.8435
2.92e-07,4.3443,4.7247
2.94e-07,4.5066,4.5798
2.96e-07,4.639,4.4238
2.98e-07,4.7317,4.2673
3.0000000000000004e-07,4.8065,4.1277
3.0200000000000003e-07,4.858075,3.992176
3.04e-07,4.8942,3.8729
3.06e-07,4.91965,3.766925
3.08e-07,4.9392,3.6713
3.1e-07,4.961069,3.580869
3.1200000000000004e-07,4.9797,3.4993
3.1400000000000003e-07,4.98955,3.430562
3.16e-07,4.9988,3.3686
3.18e-07,5.016263,3.30705
3.2e-07,5.0345,3.2508
3.22e-07,5.047169,3.204312
3.2400000000000004e-07,5.0598,3.1625
3.2600000000000003e-07,5.076544,3.121206
3.28e-07,5.0952,3.0821
3.3e-07,5.114632,3.045218
3.32e-07,5.1358,3.0113
3.34e-07,5.159237,2.981631
3.3600000000000004e-07,5.1851,2.9546
3.3800000000000004e-07,5.213119,2.9287
3.4000000000000003e-07,5.2451,2.9049
3.42e-07,5.283218,2.883962
3.44e-07,5.3261,2.865
3.46e-07,5.371756,2.848194
