wavelength[m],n,k
2.4000000000000003e-07,1.6403,3.4374
2.42e-07,1.6483,3.4763
2.44e-07,1.6897,3.4963
2.46e-07,1.7305,3.5563
2.48e-07,1.745,3.6068
2.5000000000000004e-07,1.7947,3.6595
2.5200000000000003e-07,1.8367,3.7014
2.54e-07,1.8787,3.7661
2.56e-07,1.912,3.8172
2.58e-07,1.9692,3.8711
2.6e-07,2.0211,3.9363
2.62e-07,2.0853,3.9943
2.6400000000000003e-07,2.15,4.0605
2.66e-07,2.2305,4.1132
2.68e-07,2.3175,4.1772
2.7e-07,2.3911,4.2363
2.72e-07,2.4927,4.2867
2.74e-07,2.6074,4.3395
2.7600000000000004e-07,2.7043,4.387
2.7800000000000003e-07,2.8228,4.4257
2.8e-07,2.9504,4.4579
2.82e-07,3.0782,4.477
2.84e-07,3.2157,4.4899
2.86e-07,3.3453,4.5035
2.8800000000000004e-07,3.4951,4.4927
2.9000000000000003e-07,3.6319,4.4653
2.92e-07,3.7656,4.4358
2.94e-07,3.8883,4.3887
2.96e-07,4.0202,4.3347
2.98e-07,4.1244,4.2631
3.0000000000000004e-07,4.2329,4.1996
3.0200000000000003e-07,4.324893,4.130569
3.04e-07,4.4075,4.0567
3.06e-07,4.482956,3.980206
3.08e-07,4.5535,3.9033
3.1e-07,4.624388,3.829225
3.1200000000000004e-07,4.6888,3.7571
3.1400000000000003e-07,4.739012,3.687187
3.16e-07,4.783,3.6193
3.18e-07,4.826663,3.553088
3.2e-07,4.8685,3.4893
3.22e-07,4.908756,3.429631
3.2400000000000004e-07,4.9481,3.3709
3.2600000000000003e-07,4.987975,3.308362
3.28e-07,5.0263,3.2484
3.3e-07,5.060525,3.197968
3.32e-07,5.0935,3.1506
3.34e-07,5.127225,3.101706
3.3600000000000004e-07,5.1617,3.0526
3.3800000000000004e-07,5.197631,3.002331
3.4000000000000003e-07,5.2349,2.9531
3.42e-07,5.273674,2.908519
3.44e-07,5.3138,2.8634
3.46e-07,5.355019,2.813226
3.4800000000000005e-07,5.3978,2.7596
3.5000000000000004e-07,5.443406,2.702137
3.5200000000000003e-07,5.4892,2.6423
3.54e-07,5.532012,2.583562
3.56e-07,5.5747,2.5195
3.58e-07,5.621169,2.443
3.6000000000000005e-07,5.6651,2.3596
3.6200000000000004e-07,5.70095,2.272776
3.6400000000000003e-07,5.7303,2.1816
3.66e-07,5.753444,2.084131
3.68e-07,5.7687,1.9869
3.7e-07,5.773744,1.89775
3.7200000000000005e-07,5.7708,1.8108
3.7400000000000004e-07,5.760862,1.721393
3.7600000000000003e-07,5.7453,1.6337
3.78e-07,5.726143,1.549856
3.8e-07,5.7024,1.4713
3.82e-07,5.672238,1.401244
3.8400000000000005e-07,5.6402,1.3365
3.8600000000000004e-07,5.611406,1.27455
3.8800000000000003e-07,5.5823,1.2166
3.9e-07,5.550476,1.163357
3.92e-07,5.5176,1.1138
3.94e-07,5.484231,1.067062
3.96e-07,5.4513,1.0234
3.9800000000000004e-07,5.420431,0.983038
4.0000000000000003e-07,5.3901,0.9452
4.02e-07,5.358856,0.909063
4.04e-07,5.3281,0.875
4.06e-07,5.298888,0.843244
4.08e-07,5.2708,0.8134
4.1000000000000004e-07,5.243856,0.785331
4.1200000000000004e-07,5.2178,0.7585
4.1400000000000003e-07,5.192481,0.732263
4.16e-07,5.1676,0.7068
4.18e-07,5.142894,0.682087
4.2e-07,5.1181,0.6581
4.2200000000000005e-07,5.1181,0.6581
4.2400000000000004e-07,5.100908,0.638977
4.2600000000000003e-07,5.076676,0.619547
4.28e-07,5.04822,0.600078
4.3e-07,5.018356,0.580839
4.32e-07,4.9899,0.5621
4.3400000000000005e-07,4.969252,0.544655
4.3600000000000004e-07,4.951548,0.527646
4.3800000000000003e-07,4.935508,0.510316
4.4e-07,4.919852,0.492756
4.42e-07,4.9033,0.4759
4.44e-07,4.88269,0.460669
4.4600000000000005e-07,4.860775,0.446698
4.4800000000000004e-07,4.83894,0.433016
4.5000000000000003e-07,4.81754,0.420684
4.52e-07,4.7959,0.4128
4.54e-07,4.770696,0.421513
4.56e-07,4.748548,0.427326
4.5800000000000005e-07,4.737869,0.410158
4.6000000000000004e-07,4.737157,0.371235
4.6200000000000003e-07,4.735,0.3331
4.64e-07,4.71576,0.322897
4.66e-07,4.692648,0.31981
4.68e-07,4.67216,0.315195
4.7000000000000005e-07,4.655864,0.306585
4.7200000000000004e-07,4.6404,0.2977
4.7400000000000004e-07,4.624105,0.289839
4.7600000000000003e-07,4.607727,0.28219
4.78e-07,4.591044,0.2747
4.800000000000001e-07,4.57424,0.26714
4.82e-07,4.5579,0.2591
4.84e-07,4.54257,0.249269
4.86e-07,4.528287,0.239451
4.88e-07,4.515578,0.230867
4.900000000000001e-07,4.504313,0.223922
4.92e-07,4.4937,0.2182
4.940000000000001e-07,4.483246,0.214315
4.96e-07,4.472561,0.21093
4.98e-07,4.460746,0.206869
5.000000000000001e-07,4.447857,0.201874
5.02e-07,4.4349,0.1966
5.040000000000001e-07,4.422894,0.191219
5.06e-07,4.411327,0.185987
5.08e-07,4.40024,0.181306
5.1e-07,4.38954,0.177237
5.12e-07,4.379,0.1735
5.140000000000001e-07,4.368331,0.170049
5.16e-07,4.35765,0.166642
5.180000000000001e-07,4.346712,0.162986
5.2e-07,4.335736,0.159017
5.22e-07,4.3254,0.1549
5.24e-07,4.316802,0.150586
5.26e-07,4.308997,0.146343
5.280000000000001e-07,4.301816,0.14242
5.3e-07,4.29484,0.1389
5.32e-07,4.2874,0.1357
5.34e-07,4.277899,0.132831
5.36e-07,4.26805,0.13027
5.380000000000001e-07,4.259028,0.128098
5.4e-07,4.250978,0.126209
5.420000000000001e-07,4.243,0.1243
5.44e-07,4.234215,0.121932
5.46e-07,4.225323,0.119404
5.48e-07,4.216605,0.116783
5.5e-07,4.208178,0.114131
5.520000000000001e-07,4.2,0.1115
5.54e-07,4.192122,0.108927
5.560000000000001e-07,4.184556,0.106518
5.58e-07,4.177376,0.104406
5.6e-07,4.17056,0.102623
5.620000000000001e-07,4.164,0.1011
5.64e-07,4.157705,0.099878
5.660000000000001e-07,4.151454,0.098807
5.68e-07,4.145012,0.097854
5.7e-07,4.13832,0.096873
5.72e-07,4.1315,0.0956
5.74e-07,4.124696,0.093512
5.760000000000001e-07,4.1177,0.091088
5.78e-07,4.110122,0.088482
5.800000000000001e-07,4.10216,0.085859
5.82e-07,4.0946,0.0834
5.84e-07,4.088559,0.081456
5.860000000000001e-07,4.083195,0.079816
5.88e-07,4.07829,0.078477
5.900000000000001e-07,4.073627,0.077378
5.92e-07,4.069,0.0764
5.94e-07,4.063978,0.07537
5.96e-07,4.058819,0.074379
5.98e-07,4.053615,0.073455
6.000000000000001e-07,4.048351,0.072582
6.02e-07,4.0429,0.0717
6.040000000000001e-07,4.036981,0.070736
6.06e-07,4.030978,0.069724
6.08e-07,4.025146,0.06867
6.100000000000001e-07,4.019576,0.067569
6.12e-07,4.0142,0.0664
6.140000000000001e-07,4.009005,0.065084
6.16e-07,4.004062,0.063752
6.180000000000001e-07,3.999475,0.062494
6.2e-07,3.99523,0.061347
6.22e-07,3.9912,0.0603
6.240000000000001e-07,3.987409,0.059432
6.26e-07,3.983582,0.058612
6.280000000000001e-07,3.979231,0.05769
6.3e-07,3.974486,0.056687
6.32e-07,3.9701,0.0558
6.340000000000001e-07,3.967258,0.055294
6.36e-07,3.964807,0.054941
6.380000000000001e-07,3.962129,0.054646
6.4e-07,3.959022,0.054363
6.420000000000001e-07,3.9557,0.0541
6.44e-07,3.952182,0.053876
6.46e-07,3.948449,0.053588
6.480000000000001e-07,3.944479,0.053217
6.5e-07,3.940282,0.052654
6.520000000000001e-07,3.9359,0.0517
6.54e-07,3.931218,0.049766
6.56e-07,3.926561,0.047633
6.58e-07,3.922246,0.045817
6.6e-07,3.918329,0.044494
6.620000000000001e-07,3.9146,0.0435
6.64e-07,3.910838,0.042971
6.660000000000001e-07,3.907277,0.042638
6.68e-07,3.904244,0.042282
6.7e-07,3.901592,0.041839
6.720000000000001e-07,3.8987,0.0414
6.74e-07,3.894428,0.040999
6.760000000000001e-07,3.890012,0.040602
6.78e-07,3.886284,0.040175
6.800000000000001e-07,3.883372,0.039726
6.82e-07,3.8807,0.0393
6.84e-07,3.877893,0.038961
6.860000000000001e-07,3.87505,0.03865
6.88e-07,3.87209,0.038334
6.900000000000001e-07,3.868991,0.038007
6.92e-07,3.8658,0.0377
6.94e-07,3.862523,0.037475
6.960000000000001e-07,3.859185,0.037238
6.98e-07,3.855803,0.036907
7.000000000000001e-07,3.852398,0.036474
7.02e-07,3.849,0.036
7.040000000000001e-07,3.845639,0.035526
7.06e-07,3.84233,0.035043
7.08e-07,3.839113,0.034573
7.100000000000001e-07,3.835986,0.034106
7.12e-07,3.8329,0.0336
7.140000000000001e-07,3.829719,0.032969
7.16e-07,3.826655,0.032318
7.18e-07,3.823886,0.031719
7.200000000000001e-07,3.821441,0.03119
7.22e-07,3.8192,0.0307
7.240000000000001e-07,3.817108,0.030253
7.26e-07,3.815144,0.029818
7.280000000000001e-07,3.813266,0.029349
7.3e-07,3.811453,0.028854
7.32e-07,3.8097,0.0284
7.340000000000001e-07,3.80804,0.028082
7.36e-07,3.806364,0.027819
7.380000000000001e-07,3.804534,0.027562
7.4e-07,3.802561,0.027309
7.420000000000001e-07,3.8006,0.0271
7.440000000000001e-07,3.798892,0.026972
7.46e-07,3.797184,0.026908
7.480000000000001e-07,3.795271,0.026934
7.5e-07,3.793166,0.027023
7.520000000000001e-07,3.7911,0.0271
7.54e-07,3.789367,0.027062
7.56e-07,3.787718,0.026967
7.580000000000001e-07,3.786036,0.026827
7.6e-07,3.784284,0.026642
7.620000000000001e-07,3.7825,0.0264
7.64e-07,3.780762,0.026049
7.660000000000001e-07,3.778903,0.025678
7.680000000000001e-07,3.776756,0.02543
7.7e-07,3.774308,0.025251
7.720000000000001e-07,3.7717,0.0249
7.74e-07,3.76899,0.024027
7.760000000000001e-07,3.766255,0.022918
7.78e-07,3.763609,0.02159
7.8e-07,3.761079,0.020193
7.820000000000001e-07,3.7586,0.019
7.84e-07,3.756069,0.018453
7.860000000000001e-07,3.753646,0.01827
7.88e-07,3.751448,0.018462
7.900000000000001e-07,3.749512,0.018917
7.92e-07,3.7478,0.0194
7.94e-07,3.746368,0.019538
7.960000000000001e-07,3.745096,0.019589
7.98e-07,3.74391,0.019656
8.000000000000001e-07,3.742757,0.019752
8.02e-07,3.7416,0.0198
8.04e-07,3.740395,0.019718
8.060000000000001e-07,3.739098,0.019581
8.08e-07,3.737576,0.019406
8.100000000000001e-07,3.735872,0.019227
8.12e-07,3.7342,0.0191
8.140000000000001e-07,3.732946,0.019158
8.16e-07,3.731685,0.019255
8.18e-07,3.729966,0.019291
8.200000000000001e-07,3.727909,0.01925
8.22e-07,3.7262,0.0192
8.240000000000001e-07,3.726011,0.019194
8.26e-07,3.726099,0.019197
8.280000000000001e-07,3.72574,0.019194
8.300000000000001e-07,3.724712,0.019187
8.32e-07,3.7233,0.0192
8.340000000000001e-07,3.721379,0.019267
8.36e-07,3.719318,0.019354
8.380000000000001e-07,3.717326,0.019446
8.4e-07,3.715617,0.019533
