wavelength[m],n,k
2.4000000000000003e-07,1.786625,3.486341
2.4500000000000004e-07,1.937585,3.809988
2.5000000000000004e-07,2.343366,3.999071
2.55e-07,2.872751,4.004328
2.6e-07,3.316598,3.793549
2.65e-07,3.58436,3.517727
2.7e-07,3.766101,3.237251
2.75e-07,3.892001,3.013143
2.8e-07,3.981817,2.736725
2.85e-07,3.968493,2.489951
2.9000000000000003e-07,3.919028,2.29406
2.9500000000000003e-07,3.838172,2.158724
3.0000000000000004e-07,3.754827,2.064583
3.0500000000000004e-07,3.69544,2.009421
3.1e-07,3.634018,1.96954
3.15e-07,3.587414,1.936376
3.2e-07,3.560993,1.922793
3.25e-07,3.535624,1.916851
3.3e-07,3.517854,1.915576
3.35e-07,3.512797,1.917297
3.4000000000000003e-07,3.504117,1.931094
3.4500000000000003e-07,3.507317,1.946307
3.5000000000000004e-07,3.518787,1.961863
3.5500000000000004e-07,3.533805,1.977121
3.6000000000000005e-07,3.556906,1.996858
3.65e-07,3.589417,2.019226
3.7e-07,3.621275,2.044773
3.75e-07,3.664246,2.070314
3.8e-07,3.721289,2.095034
3.85e-07,3.779846,2.128948
3.9e-07,3.862005,2.161046
3.9500000000000003e-07,3.970304,2.187051
4.0000000000000003e-07,4.111719,2.186834
4.0500000000000004e-07,4.2432,2.130395
4.1000000000000004e-07,4.351388,2.040904
4.1500000000000005e-07,4.414425,1.959442
4.2e-07,4.473641,1.90016
4.25e-07,4.53407,1.861148
4.3e-07,4.638854,1.82582
4.35e-07,4.783694,1.742875
4.4e-07,4.9209,1.565385
4.4500000000000003e-07,4.963724,1.357627
4.5000000000000003e-07,4.944551,1.166215
4.5500000000000004e-07,4.894701,1.021907
4.6000000000000004e-07,4.824965,0.9074867
4.6500000000000005e-07,4.76207,0.8174671
4.7000000000000005e-07,4.69679,0.7435471
4.75e-07,4.639214,0.6902112
4.800000000000001e-07,4.578722,0.6389222
4.85e-07,4.526843,0.5990756
4.900000000000001e-07,4.480949,0.5626871
4.95e-07,4.436283,0.5344753
5.000000000000001e-07,4.396138,0.5068725
5.05e-07,4.359462,0.4854195
5.1e-07,4.322701,0.4626686
5.15e-07,4.291221,0.4433315
5.2e-07,4.261703,0.4261015
5.250000000000001e-07,4.23309,0.411922
5.3e-07,4.206791,0.3981963
5.350000000000001e-07,4.184338,0.3855669
5.4e-07,4.157218,0.3745748
5.450000000000001e-07,4.13487,0.3638705
5.5e-07,4.114182,0.3547128
5.550000000000001e-07,4.092935,0.3465223
5.6e-07,4.073217,0.335627
5.65e-07,4.05854,0.3287961
5.7e-07,4.038926,0.3200685
5.75e-07,4.022396,0.3128185
5.800000000000001e-07,4.00727,0.3056835
5.85e-07,3.993614,0.3014136
5.900000000000001e-07,3.974983,0.2954476
5.95e-07,3.962546,0.2897836
6.000000000000001e-07,3.949822,0.2844859
6.05e-07,3.938749,0.2793432
6.100000000000001e-07,3.924602,0.2746414
6.15e-07,3.914113,0.2706839
6.2e-07,3.903641,0.264836
6.25e-07,3.893405,0.2609938
6.3e-07,3.882636,0.2571134
6.350000000000001e-07,3.875509,0.2531681
6.4e-07,3.86623,0.2500376
6.450000000000001e-07,3.855877,0.2464557
6.5e-07,3.847071,0.2416217
6.550000000000001e-07,3.839688,0.2396683
6.6e-07,3.831549,0.2344124
6.650000000000001e-07,3.824849,0.2300605
6.7e-07,3.817186,0.2295962
6.75e-07,3.81194,0.2266518
6.800000000000001e-07,3.803788,0.2220545
6.85e-07,3.79837,0.2187512
6.900000000000001e-07,3.792423,0.2168561
6.95e-07,3.785944,0.2163
7.000000000000001e-07,3.78014,0.2109677
7.05e-07,3.774101,0.2082812
7.100000000000001e-07,3.772131,0.2052234
7.15e-07,3.76275,0.2051419
7.200000000000001e-07,3.761179,0.203593
7.25e-07,3.757488,0.2004201
7.3e-07,3.756361,0.2010124
7.350000000000001e-07,3.752684,0.1937199
7.4e-07,3.748137,0.1891337
7.450000000000001e-07,3.747314,0.1848128
7.5e-07,3.73815,0.1787913
7.550000000000001e-07,3.73454,0.176732
7.6e-07,3.732007,0.1725514
7.650000000000001e-07,3.724407,0.1684376
7.7e-07,3.720574,0.1667709
7.750000000000001e-07,3.718766,0.1641709
7.8e-07,3.713574,0.1618195
7.85e-07,3.707568,0.1639383
7.900000000000001e-07,3.705446,0.157958
7.95e-07,3.702524,0.1548505
8.000000000000001e-07,3.697846,0.1481058
8.05e-07,3.693739,0.1451793
8.100000000000001e-07,3.691008,0.1449501
8.15e-07,3.684538,0.1423108
8.200000000000001e-07,3.675913,0.1363487
8.25e-07,3.669384,0.1338898
8.300000000000001e-07,3.66414,0.1335561
8.35e-07,3.660831,0.1345022
8.4e-07,3.665444,0.1445513
