wavelength[m],n,k
1.03320984e-07,0.832,1.201
1.04189228e-07,0.832,1.201
1.0507218800000001e-07,0.832,1.201
1.0597024000000001e-07,0.836,1.208
1.06883777e-07,0.843,1.221
1.0781320100000002e-07,0.851,1.234
1.0875893100000002e-07,0.858,1.247
1.0972139900000001e-07,0.868,1.267
1.1070105500000001e-07,0.872,1.273
1.1169836200000001e-07,0.879,1.285
1.12713801e-07,0.886,1.298
1.1374787300000001e-07,0.893,1.31
1.1480109400000001e-07,0.903,1.329
1.1587400100000001e-07,0.903,1.34
1.16967152e-07,0.903,1.362
1.1808112500000001e-07,0.903,1.384
1.1921652e-07,0.917,1.407
1.20373962e-07,0.937,1.441
1.21554099e-07,0.943,1.452
1.2275760500000002e-07,0.956,1.474
1.23985181e-07,0.969,1.496
1.25237557e-07,0.976,1.527
1.26515491e-07,0.986,1.572
1.2781977500000002e-07,0.992,1.582
1.29151231e-07,1.004,1.603
1.30510717e-07,1.017,1.623
1.31899129e-07,1.032,1.656
1.33317399e-07,1.055,1.707
1.3476650100000002e-07,1.059,1.718
1.3624745200000001e-07,1.068,1.741
1.37761313e-07,1.077,1.764
1.39309192e-07,1.102,1.796
1.40892251e-07,1.139,1.843
1.42511703e-07,1.15,1.86
1.4416881500000002e-07,1.171,1.895
1.45864919e-07,1.192,1.929
1.4760140600000002e-07,1.205,1.958
1.4937973600000003e-07,1.225,2.0
1.51201441e-07,1.233,2.019
1.53068125e-07,1.248,2.058
1.54981477e-07,1.264,2.097
1.56943267e-07,1.282,2.098
1.5895536100000002e-07,1.309,2.101
1.61019716e-07,1.315,2.107
1.6313839600000002e-07,1.326,2.119
1.65313575e-07,1.338,2.131
1.67547542e-07,1.398,2.138
1.6984271400000002e-07,1.489,2.149
1.7220164100000002e-07,1.521,2.167
1.74627016e-07,1.586,2.204
1.7712168800000002e-07,1.651,2.242
1.79688669e-07,1.669,2.264
1.8233114900000003e-07,1.697,2.298
1.85052509e-07,1.723,2.309
1.87856335e-07,1.775,2.331
1.9074643300000002e-07,1.827,2.353
1.93726846e-07,1.871,2.363
1.9680187500000001e-07,1.936,2.376
1.99976099e-07,1.956,2.387
2.0325439600000004e-07,1.997,2.408
2.06641969e-07,2.038,2.429
2.1014437500000002e-07,2.075,2.433
2.13767554e-07,2.132,2.439
2.1751786200000003e-07,2.163,2.441
2.21402109e-07,2.223,2.447
2.25427602e-07,2.283,2.452
2.2960218800000001e-07,2.321,2.447
2.33934304e-07,2.377,2.44
2.38433041e-07,2.395,2.447
2.4310819900000004e-07,2.43,2.461
2.47970363e-07,2.465,2.475
2.53030982e-07,2.503,2.493
2.58302461e-07,2.559,2.52
2.63798258e-07,2.583,2.528
2.6953300300000005e-07,2.629,2.544
2.75522625e-07,2.675,2.561
2.81784503e-07,2.738,2.581
2.88337631e-07,2.833,2.612
2.9520281300000004e-07,2.874,2.613
3.02402881e-07,2.957,2.614
3.09962953e-07,3.04,2.615
3.1791072100000004e-07,3.145,2.635
3.26276793e-07,3.302,2.665
3.35095085e-07,3.353,2.652
3.4440328100000003e-07,3.456,2.626
3.5424337500000004e-07,3.558,2.6
3.6466229800000006e-07,3.655,2.544
3.75712671e-07,3.801,2.46
3.87453692e-07,3.84,2.431
3.99952198e-07,3.918,2.373
4.13283938e-07,3.995,2.315
4.27535108e-07,4.077,2.232
4.42804219e-07,4.2,2.107
4.592043750000001e-07,4.226,2.074
4.76866082e-07,4.279,2.006
4.95940725e-07,4.331,1.939
5.16604922e-07,4.375,1.848
5.390660060000001e-07,4.442,1.711
5.63569006e-07,4.463,1.672
5.904056250000001e-07,4.506,1.594
6.19925906e-07,4.55,1.517
6.52553586e-07,4.585,1.449
6.888065630000001e-07,4.638,1.347
7.293245960000001e-07,4.645,1.309
7.74907383e-07,4.659,1.232
8.26567875e-07,4.673,1.156
8.85608438e-07,4.69,1.101
9.53732164e-07,4.716,1.018
1.03320984e-06,4.732,0.998
1.12713801e-06,4.766,0.957
1.2398518099999999e-06,4.808,0.901
1.3776131300000001e-06,4.835,0.853
1.54981477e-06,4.881,0.791
1.7712168800000001e-06,4.965,0.728
2.0664196900000003e-06,5.09,0.637
2.47970363e-06,5.192,0.445
3.0996295300000005e-06,5.096,0.26
4.132839380000001e-06,4.918,0.127
6.199259060000001e-06,4.552,0.1
1.23985181e-05,4.004,0.398
