wavelength[m],n,k
2.21402109e-07,1.282227,3.064981
2.25427602e-07,1.353086,3.111405
2.2960218800000001e-07,1.431809,3.12891
2.33934304e-07,1.471711,3.1426
2.38433041e-07,1.477956,3.18345
2.4310819900000004e-07,1.452904,3.272756
2.47970363e-07,1.494778,3.391808
2.53030982e-07,1.533126,3.548306
2.58302461e-07,1.596884,3.741663
2.63798258e-07,1.699651,3.977287
2.6953300300000005e-07,1.872865,4.263522
2.75522625e-07,2.176094,4.590794
2.81784503e-07,2.682163,4.895304
2.88337631e-07,3.475417,4.967749
2.9520281300000004e-07,4.127311,4.513834
3.02402881e-07,4.358227,4.029161
3.09962953e-07,4.44187,3.693265
3.1791072100000004e-07,4.495225,3.463675
3.26276793e-07,4.557023,3.294914
3.35095085e-07,4.635784,3.162356
3.4440328100000003e-07,4.726925,3.063302
3.5424337500000004e-07,4.855669,2.999587
3.6466229800000006e-07,5.087414,2.946487
3.75712671e-07,5.45658,2.816783
3.87453692e-07,5.888427,2.413208
3.99952198e-07,6.111449,1.731995
4.13283938e-07,5.925054,1.056531
4.27535108e-07,5.571389,0.6560303
4.42804219e-07,5.263803,0.4445455
4.592043750000001e-07,5.015409,0.3230045
4.76866082e-07,4.816763,0.226293
4.95940725e-07,4.650887,0.1440585
5.16604922e-07,4.51086,0.08867487
5.390660060000001e-07,4.38979,0.01594609
5.63569006e-07,4.286051,0.01516548
5.904056250000001e-07,4.191683,0.01431406
6.19925906e-07,4.110983,0.0133788
6.52553586e-07,4.039821,0.01237679
6.888065630000001e-07,3.977453,0.01131377
7.293245960000001e-07,3.920476,0.0114782
