wavelength[m],n,k
2.06641969e-07,0.76,1.93
2.08378456e-07,0.771281,1.951317
2.1014437500000002e-07,0.779182,1.968082
2.1194048100000003e-07,0.784741,1.982373
2.13767554e-07,0.788997,1.996265
2.1562640200000003e-07,0.794012,2.013885
2.1751786200000003e-07,0.798648,2.032957
2.1944279900000003e-07,0.800587,2.048844
2.21402109e-07,0.800377,2.062643
2.2339672300000003e-07,0.8,2.078315
2.25427602e-07,0.8,2.096949
2.2749574500000002e-07,0.800275,2.118343
2.2960218800000001e-07,0.80063,2.142106
2.3174800200000003e-07,0.799027,2.164346
2.33934304e-07,0.794135,2.182493
2.3616225000000003e-07,0.789846,2.202692
2.38433041e-07,0.789384,2.22997
2.40747925e-07,0.789983,2.259369
2.4310819900000004e-07,0.79,2.288205
2.4551521000000003e-07,0.79,2.316008
2.47970363e-07,0.79,2.339519
2.50475114e-07,0.79,2.363008
2.53030982e-07,0.79,2.392559
2.55639549e-07,0.79,2.426091
2.58302461e-07,0.79043,2.459171
2.61021434e-07,0.790547,2.491951
2.63798258e-07,0.787612,2.527088
2.66634798e-07,0.782362,2.564731
2.6953300300000005e-07,0.780776,2.60254
2.7249490400000003e-07,0.785236,2.639768
2.75522625e-07,0.79067,2.678716
2.78618385e-07,0.794417,2.720714
2.81784503e-07,0.801081,2.763529
2.8502340500000006e-07,0.815316,2.805267
2.88337631e-07,0.829462,2.848133
2.91729838e-07,0.836377,2.894958
2.9520281300000004e-07,0.839701,2.942104
2.9875947300000006e-07,0.839536,2.985189
3.02402881e-07,0.839483,3.027259
3.0613625e-07,0.844879,3.071405
3.09962953e-07,0.854879,3.118718
3.13886535e-07,0.867531,3.17126
3.1791072100000004e-07,0.881796,3.22799
3.22039432e-07,0.895631,3.285201
3.26276793e-07,0.909182,3.341603
3.3062715e-07,0.926959,3.397513
3.35095085e-07,0.950551,3.453125
3.3968542800000003e-07,0.973561,3.512073
3.4440328100000003e-07,0.991709,3.577213
3.49254032e-07,1.011458,3.644198
3.5424337500000004e-07,1.036875,3.71
3.59377337e-07,1.067814,3.775802
3.6466229800000006e-07,1.10709,3.842196
3.7010501900000006e-07,1.151197,3.907667
3.75712671e-07,1.196282,3.970581
3.8149286600000003e-07,1.243968,4.031136
3.87453692e-07,1.2967,4.089964
3.9360375000000003e-07,1.353635,4.146124
3.99952198e-07,1.414052,4.197926
4.06508791e-07,1.475623,4.244974
4.13283938e-07,1.533283,4.287282
4.2028875000000003e-07,1.585294,4.325195
4.27535108e-07,1.634827,4.360171
4.3503572400000006e-07,1.682826,4.39325
4.42804219e-07,1.727268,4.425732
4.50855205e-07,1.767115,4.45914
4.592043750000001e-07,1.801262,4.491099
4.67868609e-07,1.82763,4.516929
4.76866082e-07,1.848453,4.547043
4.86216397e-07,1.864184,4.591758
4.95940725e-07,1.87733,4.647034
5.06061964e-07,1.890567,4.711901
5.16604922e-07,1.904788,4.784137
5.27596516e-07,1.920865,4.861032
5.390660060000001e-07,1.939835,4.9414
5.5104525e-07,1.963908,5.023285
5.63569006e-07,1.992339,5.107434
5.76675262e-07,2.020788,5.197586
5.904056250000001e-07,2.048357,5.295231
6.04805762e-07,2.07927,5.399506
6.19925906e-07,2.115602,5.510406
6.358214430000001e-07,2.156467,5.627814
6.52553586e-07,2.202153,5.751435
6.70190169e-07,2.250964,5.882925
6.888065630000001e-07,2.29847,6.025032
7.084867500000001e-07,2.353489,6.173856
7.293245960000001e-07,2.426399,6.326744
7.51425341e-07,2.5096,6.483036
7.74907383e-07,2.59505,6.640725
7.999043950000001e-07,2.685421,6.801052
8.26567875e-07,2.785246,6.96725
8.55070216e-07,2.894074,7.136986
8.85608438e-07,3.010415,7.305285
9.184087500000002e-07,3.132685,7.470117
9.53732164e-07,3.260769,7.630011
9.9188145e-07,3.390627,7.78491
1.03320984e-06,3.507148,7.938704
1.0781320100000002e-06,3.599651,8.094261
1.12713801e-06,3.667061,8.262453
1.1808112500000001e-06,3.705227,8.451596
1.2398518099999999e-06,3.71,8.67
1.3051071700000002e-06,3.69,8.94
1.3776131300000001e-06,3.62,9.36
1.4586491900000002e-06,3.64,9.81
1.54981477e-06,3.63,10.3
1.65313575e-06,3.63,11.0
1.7712168800000001e-06,3.67,11.7
1.90746433e-06,3.77,12.6
2.0664196900000003e-06,3.87,13.5
2.25427602e-06,3.97,14.7
2.47970363e-06,4.2,16.1
