wavelength[m],n,k
2.47970363e-07,2.0735,3.7211
2.4859184200000004e-07,2.129618,3.736937
2.49216445e-07,2.173,3.7633
2.49844194e-07,2.210455,3.793462
2.50475114e-07,2.2488,3.8207
2.5110922800000004e-07,2.300625,3.830787
2.5174656100000003e-07,2.3554,3.8395
2.52387137e-07,2.403382,3.863232
2.53030982e-07,2.4548,3.8859
2.5367812000000004e-07,2.521414,3.893694
2.54328577e-07,2.5889,3.8962
2.54982378e-07,2.642949,3.899737
2.55639549e-07,2.6953,3.9003
2.5630011600000004e-07,2.754361,3.894956
2.56964106e-07,2.8158,3.8868
2.57631546e-07,2.878931,3.880125
2.58302461e-07,2.9412,3.8684
2.5897688e-07,2.998645,3.842662
2.5965483e-07,3.0548,3.8145
2.60336339e-07,3.113039,3.796056
2.61021434e-07,3.1699,3.7767
2.6171014500000003e-07,3.223262,3.748332
2.624025e-07,3.2725,3.7155
2.6309852800000003e-07,3.313774,3.67912
2.63798258e-07,3.3546,3.642
2.6450172e-07,3.404281,3.608938
2.65208944e-07,3.4536,3.5749
2.6591996e-07,3.495626,3.534868
2.66634798e-07,3.5328,3.4936
2.6735349100000003e-07,3.564719,3.454574
2.6807606800000003e-07,3.593,3.4166
2.6880256100000005e-07,3.618331,3.380876
2.6953300300000005e-07,3.6431,3.3437
2.7026742500000003e-07,3.671218,3.299814
2.71005861e-07,3.6988,3.2551
2.71748343e-07,3.723244,3.214306
2.7249490400000003e-07,3.7446,3.1756
2.7324557900000004e-07,3.76085,3.139168
2.74000401e-07,3.7756,3.1037
2.74759405e-07,3.791532,3.068118
2.75522625e-07,3.8094,3.0319
2.7629009800000003e-07,3.83205,2.993782
2.77061858e-07,3.8559,2.9549
2.77837941e-07,3.88,2.916076
2.78618385e-07,3.8993,2.877
2.79403225e-07,3.905069,2.838013
2.8019250000000004e-07,3.9074,2.798
2.80986247e-07,3.914994,2.755655
2.81784503e-07,3.9233,2.7119
2.82587308e-07,3.931094,2.666268
2.833947e-07,3.9371,2.6216
2.8420671900000004e-07,3.939562,2.580932
2.8502340500000006e-07,3.9387,2.5432
