wavelength[m],n,k
2.1014437500000002e-07,3.21752615,0.0
2.13767554e-07,3.08620188,0.0
2.1751786200000003e-07,2.96460485,0.0
2.21402109e-07,2.85233989,0.0
2.25427602e-07,2.74899781,0.0
2.2960218800000001e-07,2.65415564,0.0
2.33934304e-07,2.56737754,0.0
2.38433041e-07,2.48821651,0.0
2.4310819900000004e-07,2.41621674,0.0
2.47970363e-07,2.35091667,0.0
2.53030982e-07,2.29185258,0.0
2.58302461e-07,2.23856256,0.0
2.63798258e-07,2.19059065,0.0
2.6953300300000005e-07,2.14749099,0.0
2.75522625e-07,2.10883175,0.0
2.81784503e-07,2.07419868,0.0
2.88337631e-07,2.04319816,0.0
2.9520281300000004e-07,2.0154596,0.0
3.02402881e-07,1.99063732,0.0
3.09962953e-07,1.96841161,0.0
3.1791072100000004e-07,1.94848931,0.0
3.26276793e-07,1.93060372,0.0
3.35095085e-07,1.91451415,0.0
3.4440328100000003e-07,1.90000493,0.0
3.5424337500000004e-07,1.88688419,0.0
3.6466229800000006e-07,1.87498242,0.0
3.75712671e-07,1.86415076,0.0
3.87453692e-07,1.85425935,0.0
3.99952198e-07,1.84519554,0.0
4.13283938e-07,1.83686212,0.0
4.27535108e-07,1.82917562,0.0
4.42804219e-07,1.82206472,0.0
4.592043750000001e-07,1.81546863,0.0
4.76866082e-07,1.80933569,0.0
4.95940725e-07,1.80362204,0.0
5.16604922e-07,1.79829038,0.0
5.390660060000001e-07,1.79330884,0.0
5.63569006e-07,1.78865001,0.0
5.904056250000001e-07,1.78428995,0.0
6.19925906e-07,1.78020742,0.0
6.52553586e-07,1.776383,0.0
6.888065630000001e-07,1.77279839,0.0
7.293245960000001e-07,1.76943558,0.0
7.74907383e-07,1.76627599,0.0
8.26567875e-07,1.76329946,0.0
8.85608438e-07,1.76048283,0.0
9.53732164e-07,1.75779801,0.0
1.03320984e-06,1.75520898,0.0
1.12713801e-06,1.75266686,0.0
1.2398518099999999e-06,1.75010156,0.0
