wavelength[m],n,k
2.3000000000000002e-07,1.52474,3.623835
2.32e-07,1.643554,3.495514
2.34e-07,1.69363,3.436738
2.3600000000000002e-07,1.700266,3.425202
2.3800000000000001e-07,1.689546,3.438651
2.4000000000000003e-07,1.682086,3.451755
2.42e-07,1.679156,3.460002
2.44e-07,1.683106,3.510112
2.46e-07,1.68258,3.563507
2.48e-07,1.684318,3.620427
2.5000000000000004e-07,1.694919,3.680298
2.5200000000000003e-07,1.711586,3.746092
2.54e-07,1.735745,3.822044
2.56e-07,1.747415,3.907512
2.58e-07,1.778247,3.996065
2.6e-07,1.805762,4.095017
2.62e-07,1.847403,4.20295
2.6400000000000003e-07,1.90089,4.314125
2.66e-07,1.966788,4.443078
2.68e-07,2.043711,4.581435
2.7e-07,2.154056,4.724329
2.72e-07,2.296793,4.868192
2.74e-07,2.466137,4.997114
2.7600000000000004e-07,2.651593,5.112203
2.7800000000000003e-07,2.871046,5.206655
2.8e-07,3.099788,5.274563
2.82e-07,3.330338,5.320352
2.84e-07,3.60146,5.353638
2.86e-07,3.895566,5.351128
2.8800000000000004e-07,4.203012,5.281437
2.9000000000000003e-07,4.490594,5.127031
2.92e-07,4.729249,4.913552
2.94e-07,4.887653,4.681839
2.96e-07,4.98159,4.464229
2.98e-07,5.033178,4.266419
3.0000000000000004e-07,5.06448,4.093587
3.0200000000000003e-07,5.078412,3.945227
3.04e-07,5.079936,3.821289
3.06e-07,5.077194,3.713977
3.08e-07,5.073672,3.621002
3.1e-07,5.076739,3.539562
3.1200000000000004e-07,5.074158,3.468227
3.1400000000000003e-07,5.080665,3.406529
3.16e-07,5.087031,3.351553
3.18e-07,5.091307,3.304618
3.2e-07,5.106307,3.257218
3.22e-07,5.112141,3.219397
3.2400000000000004e-07,5.123553,3.180842
3.2600000000000003e-07,5.14194,3.143407
3.28e-07,5.165942,3.109269
3.3e-07,5.183555,3.076779
3.32e-07,5.198738,3.046669
3.34e-07,5.225777,3.015945
3.3600000000000004e-07,5.250291,2.992126
3.3800000000000004e-07,5.274298,2.968669
3.4000000000000003e-07,5.301243,2.947376
3.42e-07,5.333894,2.931836
3.44e-07,5.365488,2.919171
3.46e-07,5.401497,2.910261
3.4800000000000005e-07,5.444793,2.904168
3.5000000000000004e-07,5.497814,2.904005
3.5200000000000003e-07,5.562315,2.908919
3.54e-07,5.644081,2.918769
3.56e-07,5.752216,2.924598
3.58e-07,5.885999,2.92787
3.6000000000000005e-07,6.054917,2.903086
3.6200000000000004e-07,6.253661,2.82993
3.6400000000000003e-07,6.462765,2.700959
3.66e-07,6.651894,2.511858
3.68e-07,6.797713,2.267351
3.7e-07,6.884267,1.991018
3.7200000000000005e-07,6.908372,1.701323
3.7400000000000004e-07,6.8659,1.431818
3.7600000000000003e-07,6.770719,1.191758
3.78e-07,6.651631,0.998273
3.8e-07,6.5202,0.845807
3.82e-07,6.379892,0.719429
3.8400000000000005e-07,6.259579,0.628192
3.8600000000000004e-07,6.151734,0.556487
3.8800000000000003e-07,6.049011,0.497803
3.9e-07,5.952566,0.447766
3.92e-07,5.864153,0.406872
3.94e-07,5.787899,0.372812
3.96e-07,5.710871,0.341727
3.9800000000000004e-07,5.637747,0.315263
4.0000000000000003e-07,5.572279,0.291767
4.02e-07,5.509209,0.271161
4.04e-07,5.449704,0.254336
4.06e-07,5.395342,0.239069
4.08e-07,5.341262,0.224358
4.1000000000000004e-07,5.29125,0.212016
4.1200000000000004e-07,5.244595,0.200154
4.1400000000000003e-07,5.201213,0.18973
4.16e-07,5.158926,0.180348
4.18e-07,5.117064,0.171274
4.2e-07,5.08015,0.163005
4.2200000000000005e-07,5.044519,0.156314
4.2400000000000004e-07,5.008751,0.149136
4.2600000000000003e-07,4.976461,0.143175
4.28e-07,4.944397,0.137113
4.3e-07,4.915719,0.131372
4.32e-07,4.887444,0.12617
4.3400000000000005e-07,4.860158,0.121579
4.3600000000000004e-07,4.83602,0.117086
4.3800000000000003e-07,4.810354,0.113655
4.4e-07,4.785422,0.108632
4.42e-07,4.761088,0.105652
4.44e-07,4.737557,0.10179
4.4600000000000005e-07,4.713535,0.09847
4.4800000000000004e-07,4.690823,0.095214
4.5000000000000003e-07,4.668692,0.091198
4.52e-07,4.64783,0.088559
4.54e-07,4.627556,0.085867
4.56e-07,4.607913,0.083377
4.5800000000000005e-07,4.588824,0.081056
4.6000000000000004e-07,4.57017,0.07889
4.6200000000000003e-07,4.551804,0.076875
4.64e-07,4.534009,0.074835
4.66e-07,4.517099,0.072424
4.68e-07,4.500906,0.06989
4.7000000000000005e-07,4.485168,0.067642
4.7200000000000004e-07,4.469703,0.066037
4.7400000000000004e-07,4.454513,0.064615
4.7600000000000003e-07,4.439414,0.06307
4.78e-07,4.424532,0.061459
4.800000000000001e-07,4.410096,0.05991
4.82e-07,4.396318,0.058495
4.84e-07,4.38282,0.057113
4.86e-07,4.369113,0.055676
4.88e-07,4.355542,0.054226
4.900000000000001e-07,4.342686,0.052836
4.92e-07,4.331053,0.051562
4.940000000000001e-07,4.319961,0.050352
4.96e-07,4.309062,0.049181
4.98e-07,4.298246,0.048057
5.000000000000001e-07,4.287354,0.047007
5.02e-07,4.276139,0.04606
5.040000000000001e-07,4.265127,0.0451
5.06e-07,4.254852,0.043947
5.08e-07,4.245113,0.042722
5.1e-07,4.235581,0.041623
5.12e-07,4.226032,0.040825
5.140000000000001e-07,4.216541,0.04011
5.16e-07,4.206972,0.039346
5.180000000000001e-07,4.197457,0.038545
5.2e-07,4.1882,0.037733
5.22e-07,4.179378,0.036909
5.24e-07,4.170822,0.036123
5.26e-07,4.162436,0.035451
5.280000000000001e-07,4.154256,0.034856
5.3e-07,4.146404,0.034291
5.32e-07,4.139019,0.033729
5.34e-07,4.131583,0.033106
5.36e-07,4.123291,0.032229
5.380000000000001e-07,4.114692,0.031271
5.4e-07,4.106707,0.030519
5.420000000000001e-07,4.100134,0.030235
5.44e-07,4.093941,0.030055
5.46e-07,4.087451,0.029734
5.48e-07,4.08076,0.029294
5.5e-07,4.074083,0.028796
5.520000000000001e-07,4.067522,0.028253
5.54e-07,4.060969,0.027677
5.560000000000001e-07,4.054329,0.027086
5.58e-07,4.047673,0.026485
5.6e-07,4.041083,0.025857
5.620000000000001e-07,4.034606,0.025175
5.64e-07,4.028394,0.024624
5.660000000000001e-07,4.022831,0.024527
5.68e-07,4.017609,0.024652
5.7e-07,4.012235,0.024615
5.72e-07,4.006277,0.02408
5.74e-07,4.000216,0.023473
5.760000000000001e-07,3.99426,0.023103
5.78e-07,3.988476,0.022878
5.800000000000001e-07,3.982928,0.022614
5.82e-07,3.977722,0.022171
5.84e-07,3.972751,0.021788
5.860000000000001e-07,3.96801,0.021751
5.88e-07,3.963423,0.02187
5.900000000000001e-07,3.95888,0.021831
5.92e-07,3.95428,0.021371
5.94e-07,3.94968,0.020786
5.96e-07,3.945071,0.020189
5.98e-07,3.940468,0.019649
6.000000000000001e-07,3.935887,0.019257
6.02e-07,3.931345,0.019128
6.040000000000001e-07,3.926842,0.019099
6.06e-07,3.922394,0.019109
6.08e-07,3.917994,0.019088
6.100000000000001e-07,3.913623,0.01893
6.12e-07,3.909267,0.018511
6.140000000000001e-07,3.904972,0.018038
6.16e-07,3.900745,0.017681
6.180000000000001e-07,3.896644,0.017405
6.2e-07,3.892764,0.017145
6.22e-07,3.889205,0.01687
6.240000000000001e-07,3.885801,0.016587
6.26e-07,3.882427,0.016243
6.280000000000001e-07,3.8791,0.015906
6.3e-07,3.875904,0.015697
6.32e-07,3.872926,0.01574
6.340000000000001e-07,3.869798,0.015797
6.36e-07,3.866002,0.015629
6.380000000000001e-07,3.861829,0.015332
6.4e-07,3.85774,0.015079
6.420000000000001e-07,3.854083,0.015003
6.44e-07,3.850673,0.014931
6.46e-07,3.847639,0.014716
6.480000000000001e-07,3.844795,0.014424
6.5e-07,3.841835,0.014167
6.520000000000001e-07,3.838462,0.014031
6.54e-07,3.835151,0.013928
6.56e-07,3.832441,0.013838
6.58e-07,3.829991,0.013726
6.6e-07,3.827192,0.013536
6.620000000000001e-07,3.823494,0.013192
6.64e-07,3.819831,0.012876
6.660000000000001e-07,3.817198,0.012823
6.68e-07,3.815062,0.012892
6.7e-07,3.812486,0.012822
6.720000000000001e-07,3.808671,0.012379
6.74e-07,3.804801,0.011982
6.760000000000001e-07,3.801831,0.012102
6.78e-07,3.799471,0.012474
6.800000000000001e-07,3.797202,0.012642
6.82e-07,3.794689,0.012224
6.84e-07,3.792159,0.011733
6.860000000000001e-07,3.789671,0.011601
6.88e-07,3.787198,0.011639
6.900000000000001e-07,3.784695,0.011485
6.92e-07,3.782136,0.010833
6.94e-07,3.779506,0.010233
6.960000000000001e-07,3.776661,0.010221
6.98e-07,3.773779,0.010577
7.000000000000001e-07,3.771168,0.010936
7.02e-07,3.76913,0.011048
7.040000000000001e-07,3.767129,0.011032
7.06e-07,3.764552,0.010828
7.08e-07,3.761756,0.010499
7.100000000000001e-07,3.759381,0.010121
7.12e-07,3.75799,0.009748
7.140000000000001e-07,3.756651,0.00946
7.16e-07,3.754559,0.009433
7.18e-07,3.751962,0.00957
7.200000000000001e-07,3.749305,0.00969
7.22e-07,3.74687,0.009639
7.240000000000001e-07,3.744499,0.009663
7.26e-07,3.74205,0.010165
7.280000000000001e-07,3.739747,0.010772
7.3e-07,3.73801,0.010828
7.32e-07,3.737282,0.009706
7.340000000000001e-07,3.736578,0.008504
7.36e-07,3.734933,0.008223
7.380000000000001e-07,3.732651,0.008518
7.4e-07,3.730274,0.00879
7.420000000000001e-07,3.728162,0.008631
7.440000000000001e-07,3.726043,0.008319
7.46e-07,3.723621,0.007773
7.480000000000001e-07,3.721251,0.007203
7.5e-07,3.719589,0.006945
7.520000000000001e-07,3.71931,0.007338
7.54e-07,3.718999,0.007854
7.56e-07,3.717312,0.008137
7.580000000000001e-07,3.71466,0.008189
7.6e-07,3.711678,0.008044
7.620000000000001e-07,3.708672,0.007666
7.64e-07,3.70618,0.007166
7.660000000000001e-07,3.705558,0.006501
7.680000000000001e-07,3.705832,0.005886
7.7e-07,3.705388,0.005681
7.720000000000001e-07,3.702825,0.006272
7.74e-07,3.699871,0.006936
7.760000000000001e-07,3.69763,0.007044
7.78e-07,3.695926,0.006748
7.8e-07,3.694398,0.006295
7.820000000000001e-07,3.692906,0.005791
7.84e-07,3.691379,0.005447
7.860000000000001e-07,3.689545,0.005619
7.88e-07,3.687587,0.006188
7.900000000000001e-07,3.685773,0.00703
7.92e-07,3.684309,0.008144
7.94e-07,3.68317,0.008902
7.960000000000001e-07,3.682779,0.008316
7.98e-07,3.682615,0.00691
8.000000000000001e-07,3.681818,0.005483
8.02e-07,3.67956,0.004614
8.04e-07,3.677101,0.004209
8.060000000000001e-07,3.675498,0.004807
8.08e-07,3.674399,0.005936
8.100000000000001e-07,3.67314,0.006881
8.12e-07,3.671235,0.00704
8.140000000000001e-07,3.669333,0.006828
8.16e-07,3.667993,0.006147
8.18e-07,3.66696,0.005285
8.200000000000001e-07,3.665732,0.004675
8.22e-07,3.663865,0.00474
8.240000000000001e-07,3.662265,0.005005
8.26e-07,3.662201,0.005255
8.280000000000001e-07,3.662755,0.005433
8.300000000000001e-07,3.662286,0.005481
8.32e-07,3.65927,0.0053
8.340000000000001e-07,3.656372,0.005005
8.36e-07,3.654757,0.004635
8.380000000000001e-07,3.655589,0.004227
8.4e-07,3.660034,0.003821
