wavelength[m],n,k
2.3000000000000002e-07,1.265381,3.501322
2.32e-07,1.594793,3.455894
2.34e-07,1.70447,3.42593
2.3600000000000002e-07,1.694706,3.413226
2.3800000000000001e-07,1.672151,3.420043
2.4000000000000003e-07,1.69562,3.445006
2.42e-07,1.688875,3.477798
2.44e-07,1.70009,3.524017
2.46e-07,1.701505,3.583802
2.48e-07,1.698405,3.644785
2.5000000000000004e-07,1.713356,3.689775
2.5200000000000003e-07,1.750639,3.705398
2.54e-07,1.75516,3.842121
2.56e-07,1.770098,3.936614
2.58e-07,1.800296,4.025908
2.6e-07,1.83451,4.118018
2.62e-07,1.880101,4.228687
2.6400000000000003e-07,1.933754,4.349102
2.66e-07,2.00168,4.482396
2.68e-07,2.088116,4.61521
2.7e-07,2.200999,4.755771
2.72e-07,2.349337,4.895677
2.74e-07,2.521078,5.023463
2.7600000000000004e-07,2.710952,5.12794
2.7800000000000003e-07,2.93401,5.21548
2.8e-07,3.158581,5.281462
2.82e-07,3.397136,5.319522
2.84e-07,3.66572,5.349414
2.86e-07,3.957475,5.338569
2.8800000000000004e-07,4.266907,5.259318
2.9000000000000003e-07,4.547875,5.103981
2.92e-07,4.778088,4.892679
2.94e-07,4.936369,4.659598
2.96e-07,5.025358,4.438009
2.98e-07,5.078607,4.238882
3.0000000000000004e-07,5.100845,4.071019
3.0200000000000003e-07,5.117023,3.923983
3.04e-07,5.119356,3.793688
3.06e-07,5.113163,3.68779
3.08e-07,5.110436,3.593673
3.1e-07,5.108898,3.511633
3.1200000000000004e-07,5.104711,3.444561
3.1400000000000003e-07,5.109791,3.38216
3.16e-07,5.114929,3.324409
3.18e-07,5.119865,3.276941
3.2e-07,5.130976,3.231839
3.22e-07,5.13632,3.192885
3.2400000000000004e-07,5.152356,3.149912
3.2600000000000003e-07,5.168497,3.117037
3.28e-07,5.188717,3.08099
3.3e-07,5.210861,3.044999
3.32e-07,5.22432,3.013496
3.34e-07,5.246631,2.986599
3.3600000000000004e-07,5.266722,2.964655
3.3800000000000004e-07,5.290899,2.944502
3.4000000000000003e-07,5.315456,2.925543
3.42e-07,5.348661,2.904434
3.44e-07,5.381575,2.892289
3.46e-07,5.420365,2.884144
3.4800000000000005e-07,5.464093,2.878054
3.5000000000000004e-07,5.517918,2.876323
3.5200000000000003e-07,5.584792,2.881643
3.54e-07,5.668272,2.892956
3.56e-07,5.783062,2.900105
3.58e-07,5.924934,2.897474
3.6000000000000005e-07,6.103157,2.860808
3.6200000000000004e-07,6.300804,2.776184
3.6400000000000003e-07,6.50269,2.631619
3.66e-07,6.675273,2.423737
3.68e-07,6.796278,2.173508
3.7e-07,6.855747,1.904345
3.7200000000000005e-07,6.856317,1.6323
3.7400000000000004e-07,6.806209,1.382284
3.7600000000000003e-07,6.717516,1.163712
3.78e-07,6.602773,0.982391
3.8e-07,6.478052,0.834544
3.82e-07,6.3467,0.712892
3.8400000000000005e-07,6.229778,0.624193
3.8600000000000004e-07,6.124131,0.555269
3.8800000000000003e-07,6.023129,0.495823
3.9e-07,5.930187,0.446432
3.92e-07,5.844566,0.404928
3.94e-07,5.767003,0.370426
3.96e-07,5.691996,0.339642
3.9800000000000004e-07,5.621551,0.313999
4.0000000000000003e-07,5.558685,0.29255
4.02e-07,5.491958,0.271784
4.04e-07,5.433012,0.253875
4.06e-07,5.37861,0.238343
4.08e-07,5.327485,0.224067
4.1000000000000004e-07,5.278825,0.211365
4.1200000000000004e-07,5.232571,0.198994
4.1400000000000003e-07,5.188302,0.18891
4.16e-07,5.144191,0.179766
4.18e-07,5.104696,0.171766
4.2e-07,5.068051,0.163402
4.2200000000000005e-07,5.034971,0.156417
4.2400000000000004e-07,5.000371,0.149448
4.2600000000000003e-07,4.967833,0.142571
4.28e-07,4.937166,0.136861
4.3e-07,4.90805,0.131306
4.32e-07,4.879095,0.126128
4.3400000000000005e-07,4.85058,0.121463
4.3600000000000004e-07,4.824311,0.116966
4.3800000000000003e-07,4.804978,0.112578
4.4e-07,4.780645,0.107918
4.42e-07,4.75488,0.104718
4.44e-07,4.731524,0.100831
4.4600000000000005e-07,4.709342,0.097579
4.4800000000000004e-07,4.686438,0.094187
4.5000000000000003e-07,4.664295,0.092175
4.52e-07,4.644697,0.088493
4.54e-07,4.624613,0.085682
4.56e-07,4.604647,0.08316
4.5800000000000005e-07,4.585048,0.080818
4.6000000000000004e-07,4.566155,0.078509
4.6200000000000003e-07,4.548366,0.076065
4.64e-07,4.531171,0.073689
4.66e-07,4.51419,0.071504
4.68e-07,4.497543,0.069497
4.7000000000000005e-07,4.481483,0.067653
4.7200000000000004e-07,4.466208,0.065987
4.7400000000000004e-07,4.451319,0.064381
4.7600000000000003e-07,4.436428,0.06269
4.78e-07,4.421669,0.060961
4.800000000000001e-07,4.407305,0.059267
4.82e-07,4.393543,0.057647
4.84e-07,4.380029,0.05613
4.86e-07,4.366269,0.054821
4.88e-07,4.352648,0.053635
4.900000000000001e-07,4.339802,0.052438
4.92e-07,4.328294,0.05111
4.940000000000001e-07,4.317393,0.049789
4.96e-07,4.306788,0.048535
4.98e-07,4.296275,0.047366
5.000000000000001e-07,4.285552,0.046315
