wavelength[m],n,k
1.54981477e-07,2.651,0.962
1.55956203e-07,2.663912,0.944304
1.56943267e-07,2.676456,0.925872
1.57942906e-07,2.688544,0.906688
1.5895536100000002e-07,2.700088,0.886736
1.59980879e-07,2.711,0.866
1.61019716e-07,2.721192,0.844464
1.6207213200000003e-07,2.730576,0.822112
1.6313839600000002e-07,2.739064,0.798928
1.64218783e-07,2.746614,0.775047
1.65313575e-07,2.753,0.75
1.66423062e-07,2.757902,0.722998
1.67547542e-07,2.761568,0.695144
1.68687321e-07,2.764174,0.667108
1.6984271400000002e-07,2.765624,0.639392
1.71014043e-07,2.765846,0.612756
1.7220164100000002e-07,2.764944,0.587096
1.7340584800000002e-07,2.762934,0.56274
1.74627016e-07,2.760008,0.539152
1.7586550500000003e-07,2.756291,0.51595
1.7712168800000002e-07,2.752,0.493
1.78395944e-07,2.747475,0.469965
1.79688669e-07,2.74248,0.44708
1.8100026500000003e-07,2.736868,0.424484
1.8233114900000003e-07,2.73072,0.40212
1.8368175e-07,2.724084,0.379972
1.85052509e-07,2.716912,0.358056
1.8644388200000002e-07,2.709204,0.336372
1.87856335e-07,2.700864,0.314952
1.8929035300000003e-07,2.691839,0.293884
1.9074643300000002e-07,2.682,0.273
1.9222508700000001e-07,2.671135,0.252011
1.93726846e-07,2.659432,0.231376
1.95252254e-07,2.64704,0.211386
1.9680187500000001e-07,2.633856,0.192248
1.9837629000000002e-07,2.619776,0.174266
1.99976099e-07,2.604952,0.15744
2.01601921e-07,2.589408,0.141922
2.0325439600000004e-07,2.573424,0.12756
2.04934184e-07,2.557196,0.114205
2.06641969e-07,2.541,0.102
2.08378456e-07,2.525259,0.091125
2.1014437500000002e-07,2.509736,0.08132
2.1194048100000003e-07,2.494302,0.072406
2.13767554e-07,2.479048,0.06432
2.1562640200000003e-07,2.464014,0.056958
2.1751786200000003e-07,2.449224,0.050264
2.1944279900000003e-07,2.43471,0.044158
2.21402109e-07,2.420488,0.038608
2.2339672300000003e-07,2.406566,0.033607
2.25427602e-07,2.393,0.029
2.2749574500000002e-07,2.379869,0.024571
2.2960218800000001e-07,2.36712,0.020494
2.3174800200000003e-07,2.35472,0.016856
2.33934304e-07,2.34268,0.013709
2.3616225000000003e-07,2.331,0.01116
2.38433041e-07,2.31968,0.009132
2.40747925e-07,2.30872,0.007641
2.4310819900000004e-07,2.29812,0.00652
2.4551521000000003e-07,2.287877,0.005658
2.47970363e-07,2.278,0.0049
2.50475114e-07,2.268509,0.003992
2.53030982e-07,2.259376,0.003114
2.55639549e-07,2.250578,0.002366
2.58302461e-07,2.242128,0.001733
2.61021434e-07,2.234039,0.001242
2.63798258e-07,2.22628,0.000871
2.66634798e-07,2.218844,0.000623
2.6953300300000005e-07,2.21168,0.000454
2.7249490400000003e-07,2.20474,0.000325
2.75522625e-07,2.198,0.00022
2.78618385e-07,2.191395,9.5e-05
2.81784503e-07,2.185,0.0
2.8502340500000006e-07,2.178937,1.4e-05
2.88337631e-07,2.173,0.0
2.91729838e-07,2.166875,0.0
2.9520281300000004e-07,2.161,0.0
2.9875947300000006e-07,2.155875,0.0
3.02402881e-07,2.151,0.0
3.0613625e-07,2.145938,0.0
3.09962953e-07,2.141,0.0
3.13886535e-07,2.136438,0.0
3.1791072100000004e-07,2.132,0.0
3.22039432e-07,2.1275,0.0
3.26276793e-07,2.123,0.0
3.3062715e-07,2.118375,0.0
3.35095085e-07,2.114,0.0
3.3968542800000003e-07,2.110438,0.0
3.4440328100000003e-07,2.107,0.0
3.49254032e-07,2.103,0.0
3.5424337500000004e-07,2.099,0.0
3.59377337e-07,2.095438,0.0
3.6466229800000006e-07,2.092,0.0
3.7010501900000006e-07,2.0885,0.0
3.75712671e-07,2.085,0.0
3.8149286600000003e-07,2.081438,0.0
3.87453692e-07,2.078,0.0
3.9360375000000003e-07,2.074938,0.0
3.99952198e-07,2.072,0.0
4.06508791e-07,2.069,0.0
4.13283938e-07,2.066,0.0
4.2028875000000003e-07,2.062937,0.0
4.27535108e-07,2.06,0.0
4.3503572400000006e-07,2.057437,0.0
4.42804219e-07,2.055,0.0
4.50855205e-07,2.0525,0.0
4.592043750000001e-07,2.05,0.0
4.67868609e-07,2.047437,0.0
4.76866082e-07,2.045,0.0
4.86216397e-07,2.042938,0.0
4.95940725e-07,2.041,0.0
5.06061964e-07,2.039,0.0
5.16604922e-07,2.037,0.0
5.27596516e-07,2.035,0.0
5.390660060000001e-07,2.033,0.0
5.5104525e-07,2.031,0.0
5.63569006e-07,2.029,0.0
5.76675262e-07,2.026937,0.0
5.904056250000001e-07,2.025,0.0
6.04805762e-07,2.023438,0.0
6.19925906e-07,2.022,0.0
6.358214430000001e-07,2.0205,0.0
6.52553586e-07,2.019,0.0
6.70190169e-07,2.0175,0.0
6.888065630000001e-07,2.016,0.0
7.084867500000001e-07,2.0145,0.0
7.293245960000001e-07,2.013,0.0
7.51425341e-07,2.011437,0.0
7.74907383e-07,2.01,0.0
7.999043950000001e-07,2.008937,0.0
8.26567875e-07,2.008,0.0
8.55070216e-07,2.007,0.0
8.85608438e-07,2.006,0.0
9.184087500000002e-07,2.005,0.0
9.53732164e-07,2.004,0.0
9.9188145e-07,2.003,0.0
1.03320984e-06,2.002,0.0
1.0781320100000002e-06,2.001,0.0
1.12713801e-06,2.0,0.0
1.1808112500000001e-06,1.999,0.0
1.2398518099999999e-06,1.998,0.0
