wavelength[m],n,k
2.06641969e-07,1.053503,2.813504
2.1014437500000002e-07,1.115901,2.833001
2.13767554e-07,1.1769,2.8592
2.1751786200000003e-07,1.2386,2.9145
2.21402109e-07,1.3031,2.9813
2.25427602e-07,1.3725,3.042
2.2960218800000001e-07,1.4453,3.1031
2.33934304e-07,1.5279,3.1645
2.38433041e-07,1.6162,3.2268
2.4310819900000004e-07,1.7122,3.2881
2.47970363e-07,1.8144,3.3455
2.53030982e-07,1.9278,3.4054
2.58302461e-07,2.0487,3.4608
2.63798258e-07,2.1819,3.5129
2.6953300300000005e-07,2.3245,3.5599
2.75522625e-07,2.4797,3.6012
2.81784503e-07,2.6453,3.6329
2.88337631e-07,2.8255,3.6542
2.9520281300000004e-07,3.0178,3.6616
3.02402881e-07,3.2199,3.6507
3.09962953e-07,3.4311,3.6169
3.1791072100000004e-07,3.5393,3.5911
3.26276793e-07,3.8681,3.4759
3.35095085e-07,4.0818,3.3588
3.4440328100000003e-07,4.2836,3.217
3.5424337500000004e-07,4.4697,3.0461
3.6466229800000006e-07,4.63,2.8542
3.75712671e-07,4.7664,2.6435
3.87453692e-07,4.8728,2.4237
3.99952198e-07,4.9482,2.1988
4.13283938e-07,4.9976,1.9739
4.27535108e-07,5.0185,1.7565
4.42804219e-07,5.0184,1.5473
4.592043750000001e-07,4.9988,1.3483
4.76866082e-07,4.9623,1.1638
4.95940725e-07,4.9135,0.9911
5.16604922e-07,4.854,0.8313
5.390660060000001e-07,4.7833,0.6857
5.63569006e-07,4.7077,0.5502
5.904056250000001e-07,4.6287,0.418
6.19925906e-07,4.5489,0.2869
6.52553586e-07,4.466,0.159
6.888065630000001e-07,4.3957,0.0432
7.293245960000001e-07,4.3347,0.0058
7.74907383e-07,4.2779,0.0
8.26567875e-07,4.2261,0.0
8.85608438e-07,4.186,0.0
9.53732164e-07,4.165,0.0
1.03320984e-06,4.11,0.0
1.12713801e-06,4.094,0.0
1.2398518099999999e-06,4.054,0.0
