wavelength[m],n,k
1.9e-07,4.020751,1.717855
1.95e-07,4.041821,1.334778
2.0000000000000002e-07,3.960275,1.060019
2.0500000000000002e-07,3.863369,0.856408
2.1e-07,3.758769,0.702193
2.15e-07,3.657059,0.58225
2.2e-07,3.564977,0.486509
2.2500000000000002e-07,3.472005,0.415198
2.3000000000000002e-07,3.383696,0.363262
2.3500000000000003e-07,3.312845,0.325046
2.4000000000000003e-07,3.252266,0.307453
2.4500000000000004e-07,3.196594,0.298516
2.5000000000000004e-07,3.132928,0.209827
2.55e-07,3.078387,0.207218
2.6e-07,3.044337,0.206303
2.65e-07,3.024987,0.203478
2.7e-07,3.014082,0.20145
2.75e-07,3.000655,0.199471
2.8e-07,2.989755,0.194555
2.85e-07,2.981343,0.189714
2.9000000000000003e-07,2.97363,0.185171
2.9500000000000003e-07,2.963624,0.182127
3.0000000000000004e-07,2.953247,0.179501
3.0500000000000004e-07,2.943011,0.176861
3.1e-07,2.933123,0.173989
3.15e-07,2.924105,0.170626
3.2e-07,2.915195,0.166632
3.25e-07,2.905958,0.161861
3.3e-07,2.895704,0.155674
3.35e-07,2.883269,0.146928
3.4000000000000003e-07,2.869993,0.13724
3.4500000000000003e-07,2.856731,0.127684
3.5000000000000004e-07,2.844246,0.119372
3.5500000000000004e-07,2.833586,0.113844
3.6000000000000005e-07,2.824064,0.110001
3.65e-07,2.81523,0.107109
3.7e-07,2.806971,0.105
3.75e-07,2.799121,0.103454
3.8e-07,2.791688,0.102236
3.85e-07,2.784667,0.101116
3.9e-07,2.777977,0.100462
3.9500000000000003e-07,2.771535,0.100823
4.0000000000000003e-07,2.765374,0.100382
4.0500000000000004e-07,2.75953,0.097289
4.1000000000000004e-07,2.754008,0.088053
4.1500000000000005e-07,2.748819,0.068689
4.2e-07,2.743936,0.044285
4.25e-07,2.739334,0.020476
4.3e-07,2.735025,0.002138
4.35e-07,2.731026,0.005309
4.4e-07,2.727252,0.005583
4.4500000000000003e-07,2.723599,0.003441
4.5000000000000003e-07,2.71995,0.000759
4.5500000000000004e-07,2.716183,0.000148
4.6000000000000004e-07,2.712374,5e-06
4.6500000000000005e-07,2.708638,0.0
4.7000000000000005e-07,2.705018,0.0
4.75e-07,2.70156,0.0
4.800000000000001e-07,2.69825,0.0
4.85e-07,2.695061,0.0
4.900000000000001e-07,2.692008,0.0
4.95e-07,2.6891,0.0
5.000000000000001e-07,2.686314,0.0
5.05e-07,2.683618,0.0
5.1e-07,2.680983,0.0
5.15e-07,2.678371,0.0
5.2e-07,2.675811,0.0
5.250000000000001e-07,2.673349,0.0
5.3e-07,2.671026,0.0
5.350000000000001e-07,2.668884,0.0
5.4e-07,2.666875,0.0
5.450000000000001e-07,2.664923,0.0
5.5e-07,2.662983,0.0
5.550000000000001e-07,2.661004,0.0
5.6e-07,2.659001,0.0
5.65e-07,2.657001,0.0
5.7e-07,2.654984,0.0
5.75e-07,2.652927,0.0
5.800000000000001e-07,2.650874,0.0
5.85e-07,2.648888,0.0
5.900000000000001e-07,2.647024,0.0
5.95e-07,2.645344,0.0
6.000000000000001e-07,2.643813,0.0
6.05e-07,2.642368,0.0
6.100000000000001e-07,2.641001,0.0
6.15e-07,2.639695,0.0
6.2e-07,2.638438,0.0
6.25e-07,2.637212,0.0
6.3e-07,2.635993,0.0
6.350000000000001e-07,2.634752,0.0
6.4e-07,2.6335,0.0
6.450000000000001e-07,2.632252,0.0
6.5e-07,2.630993,0.0
6.550000000000001e-07,2.629714,0.0
6.6e-07,2.628437,0.0
6.650000000000001e-07,2.627191,0.0
6.7e-07,2.626013,0.0
6.75e-07,2.62494,0.0
6.800000000000001e-07,2.623937,0.0
6.85e-07,2.622963,0.0
6.900000000000001e-07,2.621994,0.0
6.95e-07,2.621002,0.0
7.000000000000001e-07,2.62,0.0
7.05e-07,2.619,0.0
7.100000000000001e-07,2.618,0.0
7.15e-07,2.617,0.0
7.200000000000001e-07,2.616,0.0
7.25e-07,2.615003,0.0
7.3e-07,2.613995,0.0
7.350000000000001e-07,2.612963,0.0
7.4e-07,2.611938,0.0
7.450000000000001e-07,2.610938,0.0
7.5e-07,2.610018,0.0
7.550000000000001e-07,2.609228,0.0
7.6e-07,2.608499,0.0
7.650000000000001e-07,2.607776,0.0
7.7e-07,2.606973,0.0
7.750000000000001e-07,2.606022,0.0
7.8e-07,2.605,0.0
7.85e-07,2.603979,0.0
7.900000000000001e-07,2.603014,0.0
7.95e-07,2.602153,0.0
8.000000000000001e-07,2.601375,0.0
8.05e-07,2.600651,0.0
8.100000000000001e-07,2.600015,0.0
8.15e-07,2.599482,0.0
8.200000000000001e-07,2.598999,0.0
8.25e-07,2.598526,0.0
8.300000000000001e-07,2.597969,0.0
8.35e-07,2.59727,0.0
