wavelength[m],n,k
2.63798258e-07,2.034,4.016
2.65208944e-07,2.077,4.075
2.66634798e-07,2.111,4.143
2.6807606800000003e-07,2.161,4.2
2.6953300300000005e-07,2.19,4.279
2.71005861e-07,2.25,4.357
2.7249490400000003e-07,2.31,4.43
2.74000401e-07,2.381,4.495
2.75522625e-07,2.458,4.571
2.77061858e-07,2.55,4.657
2.78618385e-07,2.649,4.702
2.8019250000000004e-07,2.755,4.798
2.81784503e-07,2.883,4.859
2.833947e-07,3.026,4.916
2.8502340500000006e-07,3.163,4.972
2.86670939e-07,3.304,5.001
2.88337631e-07,3.49,5.056
2.90023816e-07,3.682,5.078
2.91729838e-07,3.876,5.064
2.9345605e-07,4.098,5.032
2.9520281300000004e-07,4.319,4.952
2.96970494e-07,4.481,4.863
2.9875947300000006e-07,4.656,4.705
3.00570136e-07,4.785,4.572
3.02402881e-07,4.882,4.42
3.04258114e-07,4.969,4.268
3.0613625e-07,5.035,4.12
3.0803771700000003e-07,5.071,3.988
3.09962953e-07,5.088,3.879
3.11912406e-07,5.105,3.765
3.13886535e-07,5.138,3.652
3.15885812e-07,5.138,3.57
3.1791072100000004e-07,5.146,3.478
3.19961758e-07,5.146,3.414
3.22039432e-07,5.148,3.346
3.2414426500000006e-07,5.175,3.279
3.26276793e-07,5.177,3.222
3.28437566e-07,5.186,3.163
3.3062715e-07,5.207,3.124
3.32846124e-07,5.213,3.074
3.35095085e-07,5.235,3.035
3.37374643e-07,5.248,2.991
3.3968542800000003e-07,5.272,2.952
3.42028086e-07,5.301,2.913
3.4440328100000003e-07,5.321,2.878
3.4681169600000003e-07,5.358,2.85
3.49254032e-07,5.384,2.808
3.5173101100000005e-07,5.418,2.806
3.5424337500000004e-07,5.465,2.759
3.5679188900000003e-07,5.518,2.747
3.59377337e-07,5.598,2.716
3.62000529e-07,5.665,2.683
3.6466229800000006e-07,5.761,2.655
3.673635e-07,5.88,2.603
3.7010501900000006e-07,6.008,2.53
3.7288776300000004e-07,6.138,2.417
3.75712671e-07,6.264,2.291
3.7858070600000007e-07,6.393,2.071
3.8149286600000003e-07,6.468,1.855
3.8445017500000003e-07,6.474,1.606
3.87453692e-07,6.433,1.367
3.90504508e-07,6.357,1.157
3.9360375000000003e-07,6.262,0.966
3.9675258000000004e-07,6.153,0.826
3.99952198e-07,6.028,0.703
4.03203842e-07,5.916,0.6
4.06508791e-07,5.801,0.516
4.09868368e-07,5.7,0.447
4.13283938e-07,5.601,0.399
4.16756912e-07,5.513,0.354
4.2028875000000003e-07,5.43,0.315
4.2388096200000006e-07,5.342,0.285
4.27535108e-07,5.267,0.256
4.3125280400000006e-07,5.196,0.238
4.3503572400000006e-07,5.13,0.207
4.3888559700000005e-07,5.06,0.193
4.42804219e-07,5.002,0.177
4.4679344600000005e-07,4.95,0.146
4.50855205e-07,4.894,0.139
4.5499149100000004e-07,4.843,0.129
4.592043750000001e-07,4.792,0.117
4.6349600500000005e-07,4.745,0.108
4.67868609e-07,4.699,0.104
4.7232450000000005e-07,4.656,0.09
4.76866082e-07,4.615,0.086
4.8149585e-07,4.577,0.074
4.86216397e-07,4.533,0.071
4.910304210000001e-07,4.501,0.063
4.95940725e-07,4.468,0.056
5.00950227e-07,4.434,0.051
5.06061964e-07,4.4,0.05
5.11279098e-07,4.37,0.043
5.16604922e-07,4.342,0.036
5.22042869e-07,4.312,0.035
5.27596516e-07,4.284,0.031
5.33269597e-07,4.258,0.03
5.390660060000001e-07,4.233,0.026
5.449898080000001e-07,4.208,0.025
5.5104525e-07,4.186,0.021
5.5723677e-07,4.164,0.02
5.63569006e-07,4.142,0.018
5.700468110000001e-07,4.121,0.018
5.76675262e-07,4.103,0.013
5.834596770000001e-07,4.082,0.014
5.904056250000001e-07,4.064,0.012
5.975189460000001e-07,4.048,0.013
6.04805762e-07,4.0297,0.011
6.122725e-07,4.013,0.01
6.19925906e-07,3.994,0.008
6.2777307e-07,3.979,0.007
6.358214430000001e-07,3.962,0.007
6.44078864e-07,3.947,0.007
6.52553586e-07,3.935,0.008
6.612543e-07,3.917,0.007
6.70190169e-07,3.9027,0.006
6.793708560000001e-07,3.8918,0.006
6.888065630000001e-07,3.879,0.006
6.98508064e-07,3.867,0.006
7.084867500000001e-07,3.857,0.005
7.18754674e-07,3.848,0.004
7.293245960000001e-07,3.836,0.002
7.402100380000001e-07,3.824,0.0013
7.51425341e-07,3.816,0.001
7.629857310000001e-07,3.805,0.0015
7.74907383e-07,3.796,0.002
7.872075000000001e-07,3.788,0.0015
7.999043950000001e-07,3.778,0.0015
8.13017582e-07,3.77,0.0021
8.26567875e-07,3.757,0.002
