wavelength[m],n,k
1.6313839600000002e-07,0.52512,2.16784
1.63568841e-07,0.532938,2.173857
1.6400156300000002e-07,0.540312,2.180087
1.6443658e-07,0.547265,2.186524
1.64873911e-07,0.55382,2.193164
1.65313575e-07,0.56,2.2
1.6575559000000001e-07,0.565828,2.207029
1.66199975e-07,0.571327,2.214244
1.66646749e-07,0.57652,2.221641
1.6709593200000002e-07,0.58143,2.229215
1.67547542e-07,0.58608,2.23696
1.68001601e-07,0.590493,2.244872
1.68458127e-07,0.594693,2.252944
1.6891714099999999e-07,0.598702,2.261174
1.69378663e-07,0.602543,2.269554
1.6984271400000002e-07,0.60624,2.27808
1.70309315e-07,0.609816,2.286747
1.7077848700000002e-07,0.613293,2.295549
1.7125025e-07,0.616695,2.304482
1.71724628e-07,0.620043,2.313541
1.7220164100000002e-07,0.623357,2.322721
1.72681311e-07,0.626648,2.332021
1.73163661e-07,0.629956,2.341432
1.7364871299999999e-07,0.633314,2.350944
1.7413649100000003e-07,0.636749,2.360552
1.74627016e-07,0.640275,2.370253
1.7512031300000002e-07,0.64389,2.38005
1.75616404e-07,0.647666,2.389923
1.76115314e-07,0.651638,2.399864
1.76617067e-07,0.655869,2.409855
1.7712168800000002e-07,0.660451,2.419872
1.7762920000000002e-07,0.665588,2.429856
1.78139628e-07,0.671088,2.439864
1.78652999e-07,0.676866,2.449926
1.79169337e-07,0.682873,2.460056
1.79688669e-07,0.689094,2.470256
1.8021101900000001e-07,0.695495,2.480528
1.80736416e-07,0.702052,2.490896
1.81264885e-07,0.708745,2.501372
1.8179645400000003e-07,0.715539,2.511976
1.8233114900000003e-07,0.722385,2.522736
1.8286899900000002e-07,0.729193,2.533709
1.83410031e-07,0.736023,2.544848
1.83954275e-07,0.7429,2.556131
1.8450175800000002e-07,0.749825,2.567552
1.85052509e-07,0.756779,2.579117
1.8560655900000002e-07,0.763729,2.590841
1.8616393600000003e-07,0.770721,2.602691
1.8672467100000002e-07,0.777781,2.61465
1.8728879300000002e-07,0.784927,2.626699
1.87856335e-07,0.792171,2.638823
1.88427327e-07,0.799531,2.650991
1.89001801e-07,0.807015,2.663214
1.8957978800000003e-07,0.814625,2.675486
1.90161321e-07,0.822381,2.687809
1.9074643300000002e-07,0.830316,2.700197
1.9133515600000002e-07,0.838507,2.712707
1.9192752500000002e-07,0.846873,2.725242
1.9252357300000002e-07,0.855373,2.737737
1.93123335e-07,0.863986,2.750163
1.93726846e-07,0.872712,2.762529
1.9433414e-07,0.881561,2.774912
1.9494525400000002e-07,0.890479,2.787121
1.9556022300000003e-07,0.899436,2.799073
1.96179084e-07,0.908392,2.810636
1.9680187500000001e-07,0.917295,2.821631
1.97428633e-07,0.926031,2.83164
1.9805939500000002e-07,0.934694,2.841064
1.98694201e-07,0.943327,2.850111
1.99333089e-07,0.951942,2.858853
1.99976099e-07,0.960517,2.867233
2.00623271e-07,0.968997,2.875055
2.0127464500000002e-07,0.977483,2.882765
2.01930263e-07,0.986361,2.891085
2.0259016600000004e-07,0.995349,2.899775
2.0325439600000004e-07,1.003498,2.907632
2.0392299600000003e-07,1.000048,2.905337
2.0459600900000002e-07,0.995253,2.901381
2.0527347900000003e-07,0.992848,2.89873
2.0595545100000001e-07,0.996564,2.900349
2.06641969e-07,1.010136,2.909201
2.0733307900000002e-07,1.035222,2.928328
2.0802882800000003e-07,1.046977,2.942144
2.08729261e-07,1.065495,2.939028
2.09434428e-07,1.068704,2.960867
2.1014437500000002e-07,1.08037,2.97983
2.1085915200000002e-07,1.090318,2.98963
2.11578808e-07,1.101407,3.00348
2.1230339300000001e-07,1.10974,3.01565
2.1303295800000003e-07,1.118802,3.025085
2.13767554e-07,1.132544,3.044783
2.1450723400000003e-07,1.139105,3.06055
2.15252051e-07,1.154788,3.072634
2.1600205800000003e-07,1.164583,3.086312
2.1675731e-07,1.175117,3.102705
2.1751786200000003e-07,1.185885,3.119615
2.1828377e-07,1.195086,3.134988
2.19055091e-07,1.210693,3.150076
2.1983188200000003e-07,1.221844,3.169155
2.20614202e-07,1.234714,3.190065
2.21402109e-07,1.247473,3.206743
2.2219566500000002e-07,1.265249,3.227926
2.2299493000000003e-07,1.280673,3.245335
2.2379996600000001e-07,1.298399,3.267033
2.24610836e-07,1.318614,3.285186
2.25427602e-07,1.339974,3.301584
2.2625033100000001e-07,1.362049,3.318617
2.27079087e-07,1.389256,3.334418
2.2791393600000002e-07,1.416263,3.349572
2.28754947e-07,1.444687,3.359332
2.2960218800000001e-07,1.471762,3.366389
2.30455727e-07,1.501384,3.368557
2.31315637e-07,1.526105,3.367457
2.32181987e-07,1.548208,3.363754
2.3305485200000004e-07,1.565548,3.358512
2.33934304e-07,1.578551,3.352859
2.34820419e-07,1.585492,3.346315
2.35713272e-07,1.589871,3.34426
2.3661294100000003e-07,1.591396,3.343689
2.3751950400000003e-07,1.591887,3.34714
2.38433041e-07,1.588696,3.353634
2.3935363200000003e-07,1.586143,3.363061
2.4028135900000004e-07,1.581562,3.375559
2.4121630600000003e-07,1.578294,3.389486
2.42158557e-07,1.573773,3.40823
2.4310819900000004e-07,1.571073,3.429247
2.44065318e-07,1.569679,3.450842
2.4503000300000003e-07,1.568816,3.476868
2.46002344e-07,1.568293,3.503705
2.46982433e-07,1.568903,3.53349
2.47970363e-07,1.570446,3.564736
2.48966227e-07,1.574947,3.597846
2.4997012400000003e-07,1.579555,3.632537
2.50982148e-07,1.584275,3.670011
2.52002401e-07,1.59086,3.709334
2.53030982e-07,1.597039,3.749189
2.5406799400000003e-07,1.608418,3.788947
2.55113542e-07,1.61756,3.835123
2.5616773e-07,1.629133,3.880122
2.57230667e-07,1.643197,3.928579
2.58302461e-07,1.657678,3.979094
2.59383224e-07,1.673269,4.031477
2.6047307e-07,1.692027,4.088375
2.61572112e-07,1.713181,4.148683
2.6268046900000003e-07,1.737105,4.211146
2.63798258e-07,1.764111,4.2781
2.64925601e-07,1.7939,4.350623
2.66062621e-07,1.831341,4.426195
2.6720944200000006e-07,1.874504,4.506296
2.68366193e-07,1.927445,4.590512
2.6953300300000005e-07,1.98794,4.678079
2.70710003e-07,2.05927,4.764569
2.7189732700000004e-07,2.140905,4.84967
2.7309511300000004e-07,2.23435,4.933223
2.74303498e-07,2.338957,5.011326
2.75522625e-07,2.451728,5.081957
2.76752637e-07,2.571961,5.14776
2.7799368e-07,2.699822,5.206069
2.7924590400000003e-07,2.83395,5.257729
2.8050946e-07,2.974492,5.304008
2.81784503e-07,3.120716,5.343818
2.8307119000000003e-07,3.277118,5.380628
2.84369682e-07,3.444757,5.413694
2.85680141e-07,3.634461,5.435318
2.87002734e-07,3.850046,5.438463
2.88337631e-07,4.086989,5.39494
2.8968500300000003e-07,4.319586,5.299874
2.91045027e-07,4.525643,5.156331
2.9241788000000006e-07,4.686401,4.987431
2.93803747e-07,4.804722,4.810947
2.9520281300000004e-07,4.888131,4.639188
2.9661526600000005e-07,4.941187,4.479885
2.98041301e-07,4.976984,4.334288
2.99481114e-07,4.999447,4.203924
3.0093490600000004e-07,5.01238,4.085855
3.02402881e-07,5.019598,3.979122
3.03885248e-07,5.021021,3.884497
3.0538222000000006e-07,5.020142,3.798212
3.06894013e-07,5.017603,3.720048
3.08420849e-07,5.014589,3.649625
3.09962953e-07,5.010561,3.586449
3.1152055600000003e-07,5.008662,3.528855
3.13093892e-07,5.009804,3.476697
3.1468320100000003e-07,5.009022,3.429262
3.1628872800000003e-07,5.011968,3.385495
3.1791072100000004e-07,5.015997,3.346015
3.1954943600000004e-07,5.021565,3.309578
3.2120513300000003e-07,5.029332,3.275152
3.2287807600000005e-07,5.039634,3.241805
3.24568537e-07,5.052265,3.211027
3.26276793e-07,5.064952,3.181673
3.2800312500000003e-07,5.079038,3.154052
3.29747823e-07,5.09542,3.127463
3.3151118000000003e-07,5.114572,3.102594
3.33293498e-07,5.134503,3.078974
3.35095085e-07,5.155519,3.057621
3.36916254e-07,5.179128,3.038731
3.38757326e-07,5.204033,3.020962
3.4061863e-07,5.230965,3.006514
3.42500501e-07,5.261458,2.994894
3.4440328100000003e-07,5.295645,2.986607
3.46327322e-07,5.335638,2.982567
3.4827298100000005e-07,5.38341,2.983556
3.5024062500000004e-07,5.441729,2.989091
3.5223062900000003e-07,5.514896,2.999083
3.5424337500000004e-07,5.609885,3.014339
3.56279257e-07,5.733582,3.026735
3.58338674e-07,5.894018,3.022142
3.6042203900000003e-07,6.088281,2.980974
3.6252977e-07,6.307228,2.880143
3.6466229800000006e-07,6.521469,2.704889
3.66820063e-07,6.694872,2.455538
3.6900351600000003e-07,6.796337,2.167825
3.7121311800000003e-07,6.828897,1.868463
3.7344934100000004e-07,6.797879,1.576457
3.75712671e-07,6.707423,1.319871
3.78003601e-07,6.58566,1.10942
3.80322642e-07,6.452259,0.944582
3.8267031300000005e-07,6.315822,0.814854
3.85047147e-07,6.185082,0.713793
3.87453692e-07,6.062313,0.629792
3.8989050700000005e-07,5.948053,0.561032
3.92358169e-07,5.841632,0.504621
3.94857265e-07,5.743644,0.455556
3.97388402e-07,5.653765,0.416402
3.99952198e-07,5.569931,0.387951
4.0254929000000003e-07,5.492357,0.355825
4.0518033100000007e-07,5.420031,0.328277
4.0784599100000006e-07,5.349157,0.312384
4.1054695800000006e-07,5.283623,0.291263
4.13283938e-07,5.233973,0.27769
4.1605765500000005e-07,5.174942,0.260652
4.18868856e-07,5.119135,0.245284
4.2171830400000004e-07,5.066246,0.231422
4.24606785e-07,5.015986,0.218948
4.27535108e-07,4.968099,0.207728
4.30504102e-07,4.922379,0.197567
4.3351462e-07,4.878669,0.188201
4.3656754e-07,4.836841,0.179366
4.3966376300000005e-07,4.796774,0.170884
4.42804219e-07,4.758347,0.162748
4.4598986100000006e-07,4.721428,0.155114
4.49221671e-07,4.685899,0.148216
4.5250066200000003e-07,4.651658,0.142213
4.5582787200000004e-07,4.618635,0.137049
4.592043750000001e-07,4.586784,0.132398
4.6263127300000007e-07,4.556076,0.12774
