wavelength[m],n,k
2.63798258e-07,1.918,4.147
2.65208944e-07,1.973,4.226
2.66634798e-07,2.017,4.309
2.6807606800000003e-07,2.056,4.395
2.6953300300000005e-07,2.111,4.469
2.71005861e-07,2.173,4.573
2.7249490400000003e-07,2.266,4.668
2.74000401e-07,2.352,4.768
2.75522625e-07,2.449,4.85
2.77061858e-07,2.576,4.942
2.78618385e-07,2.704,5.03
2.8019250000000004e-07,2.88,5.092
2.81784503e-07,3.022,5.148
2.833947e-07,3.183,5.215
2.8502340500000006e-07,3.359,5.264
2.86670939e-07,3.576,5.294
2.88337631e-07,3.796,5.313
2.90023816e-07,4.048,5.289
2.91729838e-07,4.306,5.21
2.9345605e-07,4.537,5.07
2.9520281300000004e-07,4.719,4.888
2.96970494e-07,4.882,4.704
2.9875947300000006e-07,4.975,4.526
3.00570136e-07,5.035,4.352
3.02402881e-07,5.07,4.18
3.04258114e-07,5.102,4.04
3.0613625e-07,5.121,3.923
3.0803771700000003e-07,5.121,3.793
3.09962953e-07,5.125,3.701
3.11912406e-07,5.147,3.621
3.13886535e-07,5.14,3.529
3.15885812e-07,5.134,3.456
3.1791072100000004e-07,5.125,3.388
3.19961758e-07,5.149,3.328
3.22039432e-07,5.162,3.287
3.2414426500000006e-07,5.173,3.232
3.26276793e-07,5.188,3.193
3.28437566e-07,5.199,3.148
3.3062715e-07,5.208,3.107
3.32846124e-07,5.222,3.076
3.35095085e-07,5.24,3.042
3.37374643e-07,5.27,3.011
3.3968542800000003e-07,5.304,2.97
3.42028086e-07,5.329,2.961
3.4440328100000003e-07,5.368,2.942
3.4681169600000003e-07,5.408,2.913
3.49254032e-07,5.457,2.9
3.5173101100000005e-07,5.51,2.89
3.5424337500000004e-07,5.603,2.888
3.5679188900000003e-07,5.687,2.888
3.59377337e-07,5.835,2.884
3.62000529e-07,5.991,2.867
3.6466229800000006e-07,6.184,2.801
3.673635e-07,6.427,2.661
3.7010501900000006e-07,6.637,2.424
3.7288776300000004e-07,6.814,2.107
3.75712671e-07,6.852,1.757
3.7858070600000007e-07,6.801,1.415
3.8149286600000003e-07,6.674,1.128
3.8445017500000003e-07,6.514,0.905
3.87453692e-07,6.36,0.765
3.90504508e-07,6.204,0.625
3.9360375000000003e-07,6.046,0.531
3.9675258000000004e-07,5.913,0.459
3.99952198e-07,5.788,0.381
4.03203842e-07,5.676,0.32
4.06508791e-07,5.576,0.269
4.09868368e-07,5.477,0.254
4.13283938e-07,5.383,0.221
4.16756912e-07,5.301,0.198
4.2028875000000003e-07,5.225,0.18
4.2388096200000006e-07,5.156,0.162
4.27535108e-07,5.087,0.139
4.3125280400000006e-07,5.018,0.127
4.3503572400000006e-07,4.957,0.117
4.3888559700000005e-07,4.903,0.103
4.42804219e-07,4.845,0.097
4.4679344600000005e-07,4.792,0.09
4.50855205e-07,4.746,0.081
4.5499149100000004e-07,4.7,0.07
4.592043750000001e-07,4.654,0.062
4.6349600500000005e-07,4.612,0.056
4.67868609e-07,4.571,0.048
4.7232450000000005e-07,4.529,0.046
4.76866082e-07,4.492,0.04
4.8149585e-07,4.457,0.035
4.86216397e-07,4.422,0.033
4.910304210000001e-07,4.388,0.028
4.95940725e-07,4.359,0.024
5.00950227e-07,4.326,0.023
5.06061964e-07,4.296,0.021
5.11279098e-07,4.27,0.015
5.16604922e-07,4.241,0.011
5.22042869e-07,4.215,0.01
5.27596516e-07,4.193,0.01
5.33269597e-07,4.17,0.009
5.390660060000001e-07,4.146,0.0063
5.449898080000001e-07,4.126,0.007
5.5104525e-07,4.103,0.008
5.5723677e-07,4.083,0.007
5.63569006e-07,4.064,0.006
5.700468110000001e-07,4.045,0.005
5.76675262e-07,4.027,0.005
5.834596770000001e-07,4.008,0.004
5.904056250000001e-07,3.992,0.004
5.975189460000001e-07,3.973,0.003
6.04805762e-07,3.9537,0.004
6.122725e-07,3.94,0.002
6.19925906e-07,3.928,0.002
6.2777307e-07,3.911,0.002
6.358214430000001e-07,3.896,0.002
6.44078864e-07,3.881,0.002
6.52553586e-07,3.866,0.002
6.612543e-07,3.855,0.002
6.70190169e-07,3.844,0.002
6.793708560000001e-07,3.833,0.002
6.888065630000001e-07,3.822,0.002
6.98508064e-07,3.8049,0.002
7.084867500000001e-07,3.798,0.003
7.18754674e-07,3.7838,0.003
7.293245960000001e-07,3.773,0.001
7.402100380000001e-07,3.76,0.001
7.51425341e-07,3.753,0.002
7.629857310000001e-07,3.743,0.001
7.74907383e-07,3.7331,0.001
7.872075000000001e-07,3.723,0.005
7.999043950000001e-07,3.712,0.006
8.13017582e-07,3.704,0.002
8.26567875e-07,3.6951,0.0
