wavelength[m],n,k
2.4000000000000003e-07,1.7538,3.2658
2.42e-07,1.7237,3.3179
2.44e-07,1.7035,3.3431
2.46e-07,1.7117,3.3816
2.48e-07,1.7278,3.447
2.5000000000000004e-07,1.752,3.5053
2.5200000000000003e-07,1.79,3.5643
2.54e-07,1.827,3.637
2.56e-07,1.8611,3.7103
2.58e-07,1.9101,3.7657
2.6e-07,1.9528,3.8498
2.62e-07,2.0071,3.9124
2.6400000000000003e-07,2.0703,3.9886
2.66e-07,2.1324,4.0782
2.68e-07,2.2123,4.168
2.7e-07,2.2973,4.2583
2.72e-07,2.3995,4.3425
2.74e-07,2.5098,4.4273
2.7600000000000004e-07,2.647,4.5218
2.7800000000000003e-07,2.8057,4.596
2.8e-07,2.9903,4.6751
2.82e-07,3.2056,4.7188
2.84e-07,3.4363,4.7215
2.86e-07,3.6797,4.6788
2.8800000000000004e-07,3.8959,4.5845
2.9000000000000003e-07,4.0975,4.4518
2.92e-07,4.2374,4.3042
2.94e-07,4.3572,4.1404
2.96e-07,4.4249,3.9899
2.98e-07,4.4836,3.8448
3.0000000000000004e-07,4.5082,3.7206
3.0200000000000003e-07,4.527131,3.605338
3.04e-07,4.5404,3.5017
3.06e-07,4.548869,3.409087
3.08e-07,4.5534,3.3269
3.1e-07,4.554425,3.255213
3.1200000000000004e-07,4.5541,3.1914
3.1400000000000003e-07,4.554931,3.13295
3.16e-07,4.5563,3.0796
3.18e-07,4.558519,3.030126
3.2e-07,4.5613,2.9849
3.22e-07,4.564543,2.944725
3.2400000000000004e-07,4.568,2.9071
3.2600000000000003e-07,4.571281,2.869212
3.28e-07,4.5747,2.8328
3.3e-07,4.578475,2.798587
3.32e-07,4.5825,2.7668
3.34e-07,4.586675,2.738431
3.3600000000000004e-07,4.5912,2.7119
3.3800000000000004e-07,4.595887,2.685806
3.4000000000000003e-07,4.6018,2.6606
3.42e-07,4.610806,2.6361
3.44e-07,4.6203,2.6128
3.46e-07,4.627481,2.591413
3.4800000000000005e-07,4.6348,2.5711
3.5000000000000004e-07,4.643718,2.551281
3.5200000000000003e-07,4.6544,2.5319
3.54e-07,4.668106,2.512669
3.56e-07,4.683,2.4937
3.58e-07,4.697218,2.475269
3.6000000000000005e-07,4.7121,2.4566
3.6200000000000004e-07,4.728325,2.4368
3.6400000000000003e-07,4.746,2.4165
3.66e-07,4.766,2.396331
3.68e-07,4.7867,2.3754
3.7e-07,4.806925,2.353287
3.7200000000000005e-07,4.8262,2.3292
3.7400000000000004e-07,4.843525,2.301787
3.7600000000000003e-07,4.8593,2.2723
3.78e-07,4.873725,2.240744
3.8e-07,4.8864,2.2095
3.82e-07,4.896613,2.181725
3.8400000000000005e-07,4.9055,2.1551
3.8600000000000004e-07,4.9139,2.128375
3.8800000000000003e-07,4.922,2.1015
3.9e-07,4.930594,2.073394
3.92e-07,4.9387,2.0459
3.94e-07,4.945556,2.020344
3.96e-07,4.9513,1.9972
3.9800000000000004e-07,4.955031,1.978094
4.0000000000000003e-07,4.9591,1.9609
