wavelength[m],n,k
2.4000000000000003e-07,1.6378,3.233
2.42e-07,1.6374,3.2513
2.44e-07,1.6405,3.2598
2.46e-07,1.6577,3.348
2.48e-07,1.6761,3.405
2.5000000000000004e-07,1.6875,3.4568
2.5200000000000003e-07,1.7172,3.5103
2.54e-07,1.7678,3.5852
2.56e-07,1.7825,3.6462
2.58e-07,1.8259,3.719
2.6e-07,1.8705,3.7812
2.62e-07,1.9053,3.8655
2.6400000000000003e-07,1.9544,3.9433
2.66e-07,2.0189,4.0205
2.68e-07,2.088,4.1114
2.7e-07,2.1547,4.1983
2.72e-07,2.2481,4.2981
2.74e-07,2.3563,4.3913
2.7600000000000004e-07,2.4781,4.4812
2.7800000000000003e-07,2.6083,4.5697
2.8e-07,2.7819,4.6575
2.82e-07,2.9751,4.7301
2.84e-07,3.1869,4.7549
2.86e-07,3.4259,4.751
2.8800000000000004e-07,3.6734,4.6889
2.9000000000000003e-07,3.8799,4.5852
2.92e-07,4.0445,4.4526
2.94e-07,4.1708,4.3096
2.96e-07,4.2805,4.1586
2.98e-07,4.3326,4.0211
3.0000000000000004e-07,4.3842,3.897
3.0200000000000003e-07,4.423913,3.774119
3.04e-07,4.4475,3.67
3.06e-07,4.459763,3.580781
3.08e-07,4.4655,3.5026
3.1e-07,4.471363,3.42985
3.1200000000000004e-07,4.4766,3.3639
3.1400000000000003e-07,4.482931,3.304794
3.16e-07,4.4896,3.2509
3.18e-07,4.496169,3.200663
3.2e-07,4.5034,3.1539
3.22e-07,4.512568,3.109812
3.2400000000000004e-07,4.5217,3.0687
3.2600000000000003e-07,4.528631,3.03085
3.28e-07,4.5352,2.9955
3.3e-07,4.542513,2.961781
3.32e-07,4.5506,2.9303
3.34e-07,4.56065,2.9014
3.3600000000000004e-07,4.5703,2.875
3.3800000000000004e-07,4.576138,2.851906
3.4000000000000003e-07,4.5825,2.8298
3.42e-07,4.594156,2.805675
3.44e-07,4.6064,2.7824
3.46e-07,4.614494,2.762694
3.4800000000000005e-07,4.6233,2.744
3.5000000000000004e-07,4.637119,2.724206
3.5200000000000003e-07,4.6529,2.7047
3.54e-07,4.669106,2.686081
3.56e-07,4.6855,2.6686
3.58e-07,4.7007,2.653112
3.6000000000000005e-07,4.7166,2.6384
3.6200000000000004e-07,4.7348,2.623694
3.6400000000000003e-07,4.7548,2.6085
3.66e-07,4.776994,2.592212
3.68e-07,4.8003,2.5744
3.7e-07,4.823675,2.55425
3.7200000000000005e-07,4.8474,2.5323
3.7400000000000004e-07,4.871757,2.508087
3.7600000000000003e-07,4.8957,2.4838
3.78e-07,4.917831,2.462706
3.8e-07,4.9395,2.4411
3.82e-07,4.962181,2.415412
3.8400000000000005e-07,4.9841,2.3885
3.8600000000000004e-07,5.003631,2.362287
3.8800000000000003e-07,5.0218,2.336
3.9e-07,5.039,2.309144
3.92e-07,5.0555,2.2828
3.94e-07,5.071425,2.257762
3.96e-07,5.0876,2.2344
3.9800000000000004e-07,5.105119,2.213631
4.0000000000000003e-07,5.1233,2.1946
4.02e-07,5.141212,2.177113
4.04e-07,5.1607,2.1601
4.06e-07,5.183625,2.142413
4.08e-07,5.209,2.1241
4.1000000000000004e-07,5.236568,2.104925
4.1200000000000004e-07,5.266,2.0846
4.1400000000000003e-07,5.296756,2.063138
4.16e-07,5.3292,2.0394
4.18e-07,5.363469,2.012537
4.2e-07,5.3997,1.9817
4.2200000000000005e-07,5.435773,1.946391
4.2400000000000004e-07,5.471272,1.907778
4.2600000000000003e-07,5.505815,1.865998
4.28e-07,5.539018,1.821193
4.3e-07,5.5705,1.7735
4.32e-07,5.599878,1.723059
4.3400000000000005e-07,5.626769,1.67001
4.3600000000000004e-07,5.650791,1.614491
4.3800000000000003e-07,5.671563,1.556641
4.4e-07,5.6887,1.4966
4.42e-07,5.700424,1.432456
4.44e-07,5.708098,1.366912
4.4600000000000005e-07,5.71169,1.300619
4.4800000000000004e-07,5.711169,1.234231
4.5000000000000003e-07,5.7065,1.1684
4.52e-07,5.69616,1.104918
4.54e-07,5.68198,1.043011
4.56e-07,5.6643,0.983045
4.5800000000000005e-07,5.64346,0.925386
4.6000000000000004e-07,5.6198,0.8704
4.6200000000000003e-07,5.593305,0.820074
4.64e-07,5.564759,0.772749
4.66e-07,5.53459,0.728388
4.68e-07,5.503227,0.686951
4.7000000000000005e-07,5.4711,0.6484
