wavelength[m],n,k
2.4000000000000003e-07,1.5719,3.2706
2.42e-07,1.5762,3.3036
2.44e-07,1.6006,3.3507
2.46e-07,1.616,3.3927
2.48e-07,1.6349,3.4629
2.5000000000000004e-07,1.655,3.5102
2.5200000000000003e-07,1.6752,3.5719
2.54e-07,1.7098,3.6378
2.56e-07,1.7369,3.7054
2.58e-07,1.7686,3.7768
2.6e-07,1.8032,3.8483
2.62e-07,1.8557,3.9338
2.6400000000000003e-07,1.9146,4.0113
2.66e-07,1.9683,4.1056
2.68e-07,2.0298,4.1878
2.7e-07,2.1278,4.2895
2.72e-07,2.2143,4.385
2.74e-07,2.3233,4.4856
2.7600000000000004e-07,2.441,4.5853
2.7800000000000003e-07,2.5979,4.6712
2.8e-07,2.7776,4.7625
2.82e-07,2.9876,4.8319
2.84e-07,3.2034,4.87
2.86e-07,3.4662,4.8622
2.8800000000000004e-07,3.6972,4.7916
2.9000000000000003e-07,3.9163,4.6836
2.92e-07,4.0925,4.5416
2.94e-07,4.2323,4.3814
2.96e-07,4.3336,4.2282
2.98e-07,4.3984,4.0862
3.0000000000000004e-07,4.4428,3.9539
3.0200000000000003e-07,4.479724,3.833019
3.04e-07,4.503,3.727
3.06e-07,4.516325,3.633981
3.08e-07,4.5234,3.5521
3.1e-07,4.528606,3.479537
3.1200000000000004e-07,4.5336,3.4143
3.1400000000000003e-07,4.542469,3.353637
3.16e-07,4.5523,3.298
3.18e-07,4.561412,3.246701
3.2e-07,4.5702,3.2004
3.22e-07,4.578137,3.160812
3.2400000000000004e-07,4.5863,3.1241
3.2600000000000003e-07,4.595681,3.086306
3.28e-07,4.606,3.0495
3.3e-07,4.617813,3.013919
3.32e-07,4.6296,2.9811
3.34e-07,4.639681,2.953406
3.3600000000000004e-07,4.6491,2.9286
3.3800000000000004e-07,4.657262,2.905919
3.4000000000000003e-07,4.6674,2.8833
3.42e-07,4.68465,2.856581
3.44e-07,4.7027,2.8313
3.46e-07,4.715181,2.813219
3.4800000000000005e-07,4.7274,2.7975
3.5000000000000004e-07,4.7425,2.781162
3.5200000000000003e-07,4.7606,2.7644
3.54e-07,4.784187,2.745344
3.56e-07,4.8093,2.7272
3.58e-07,4.831625,2.713906
3.6000000000000005e-07,4.8547,2.7014
3.6200000000000004e-07,4.880825,2.686563
3.6400000000000003e-07,4.9094,2.6705
3.66e-07,4.940906,2.6534
3.68e-07,4.9744,2.6349
3.7e-07,5.0093,2.614675
3.7200000000000005e-07,5.045,2.5928
3.7400000000000004e-07,5.080532,2.569331
3.7600000000000003e-07,5.1164,2.544
3.78e-07,5.15255,2.516956
3.8e-07,5.1897,2.487
3.82e-07,5.229669,2.451612
3.8400000000000005e-07,5.2691,2.4149
3.8600000000000004e-07,5.304637,2.381
3.8800000000000003e-07,5.3381,2.3473
3.9e-07,5.369587,2.312856
3.92e-07,5.4009,2.2768
3.94e-07,5.433993,2.237656
3.96e-07,5.4685,2.1963
3.9800000000000004e-07,5.504988,2.153812
4.0000000000000003e-07,5.5426,2.1081
4.02e-07,5.581193,2.056744
4.04e-07,5.6192,2.0018
4.06e-07,5.654931,1.945057
4.08e-07,5.6886,1.8849
4.1000000000000004e-07,5.720144,1.819919
4.1200000000000004e-07,5.7487,1.7513
4.1400000000000003e-07,5.773818,1.679163
4.16e-07,5.7942,1.6053
4.18e-07,5.808756,1.531087
4.2e-07,5.8164,1.4579
4.2200000000000005e-07,5.819622,1.372219
4.2400000000000004e-07,5.816849,1.290346
4.2600000000000003e-07,5.808535,1.212263
4.28e-07,5.795135,1.137953
4.3e-07,5.7771,1.0674
4.32e-07,5.754886,1.000587
4.3400000000000005e-07,5.728945,0.937498
4.3600000000000004e-07,5.699731,0.878115
4.3800000000000003e-07,5.667698,0.822421
4.4e-07,5.6333,0.7704
4.42e-07,5.596775,0.722538
4.44e-07,5.558845,0.678189
4.4600000000000005e-07,5.520018,0.637211
4.4800000000000004e-07,5.4808,0.599462
4.5000000000000003e-07,5.4417,0.5648
4.52e-07,5.404861,0.533411
4.54e-07,5.368745,0.504742
4.56e-07,5.333447,0.478566
4.5800000000000005e-07,5.299066,0.454661
4.6000000000000004e-07,5.2657,0.4328
4.6200000000000003e-07,5.234156,0.412519
4.64e-07,5.203644,0.393894
4.66e-07,5.174084,0.376759
4.68e-07,5.145396,0.360949
4.7000000000000005e-07,5.1175,0.3463
4.7200000000000004e-07,5.089785,0.332404
4.7400000000000004e-07,5.062834,0.3194
4.7600000000000003e-07,5.036701,0.307184
4.78e-07,5.011439,0.295652
4.800000000000001e-07,4.9871,0.2847
4.82e-07,4.964255,0.273843
4.84e-07,4.94231,0.263454
4.86e-07,4.921187,0.253522
4.88e-07,4.900809,0.244041
4.900000000000001e-07,4.8811,0.235
4.92e-07,4.862025,0.226446
4.940000000000001e-07,4.843455,0.218301
4.96e-07,4.825302,0.210543
4.98e-07,4.807479,0.20315
5.000000000000001e-07,4.7899,0.1961
5.02e-07,4.771926,0.189175
5.040000000000001e-07,4.754159,0.182595
5.06e-07,4.736649,0.176389
5.08e-07,4.719445,0.170582
5.1e-07,4.7026,0.1652
5.12e-07,4.686159,0.160722
5.140000000000001e-07,4.670177,0.156609
5.16e-07,4.654706,0.152775
5.180000000000001e-07,4.639797,0.149134
5.2e-07,4.6255,0.1456
5.22e-07,4.612686,0.141554
5.24e-07,4.600383,0.137575
5.26e-07,4.588437,0.133709
5.280000000000001e-07,4.576694,0.130002
5.3e-07,4.565,0.1265
5.32e-07,4.552166,0.123644
5.34e-07,4.539333,0.120988
5.36e-07,4.526608,0.11848
5.380000000000001e-07,4.514095,0.116068
5.4e-07,4.5019,0.1137
5.420000000000001e-07,4.490789,0.111039
5.44e-07,4.480042,0.10839
5.46e-07,4.469602,0.10577
5.48e-07,4.459407,0.103201
5.5e-07,4.4494,0.1007
5.520000000000001e-07,4.439127,0.098396
5.54e-07,4.429022,0.096172
5.560000000000001e-07,4.419123,0.09402
5.58e-07,4.409469,0.091932
5.6e-07,4.4001,0.0899
5.620000000000001e-07,4.391542,0.087903
5.64e-07,4.383225,0.08595
5.660000000000001e-07,4.375067,0.084034
5.68e-07,4.366986,0.082153
5.7e-07,4.3589,0.0803
5.72e-07,4.350175,0.078378
5.74e-07,4.341417,0.076499
5.760000000000001e-07,4.332682,0.074681
5.78e-07,4.324024,0.072942
5.800000000000001e-07,4.3155,0.0713
5.82e-07,4.307275,0.069957
5.84e-07,4.299265,0.068702
5.860000000000001e-07,4.291498,0.06751
5.88e-07,4.284001,0.066351
5.900000000000001e-07,4.2768,0.0652
5.92e-07,4.270336,0.063882
5.94e-07,4.26412,0.062553
5.96e-07,4.258076,0.061223
5.98e-07,4.252128,0.059902
6.000000000000001e-07,4.2462,0.0586
6.02e-07,4.239902,0.057402
6.040000000000001e-07,4.233552,0.056223
6.06e-07,4.227149,0.055053
6.08e-07,4.220698,0.053882
6.100000000000001e-07,4.2142,0.0527
6.12e-07,4.207495,0.051281
6.140000000000001e-07,4.200789,0.049886
6.16e-07,4.194127,0.048562
6.180000000000001e-07,4.187549,0.047351
6.2e-07,4.1811,0.0463
6.22e-07,4.174999,0.045754
6.240000000000001e-07,4.169069,0.045381
6.26e-07,4.163311,0.045151
6.280000000000001e-07,4.157721,0.045034
6.3e-07,4.1523,0.045
6.32e-07,4.147082,0.044998
6.340000000000001e-07,4.142023,0.045023
6.36e-07,4.137113,0.045049
6.380000000000001e-07,4.132341,0.04505
6.4e-07,4.1277,0.045
6.420000000000001e-07,4.123153,0.044666
6.44e-07,4.118722,0.044283
6.46e-07,4.114406,0.043877
6.480000000000001e-07,4.110199,0.043474
6.5e-07,4.1061,0.0431
6.520000000000001e-07,4.10213,0.043006
6.54e-07,4.098255,0.042939
6.56e-07,4.094465,0.042869
6.58e-07,4.09075,0.042766
6.6e-07,4.0871,0.0426
6.620000000000001e-07,4.083494,0.042176
6.64e-07,4.079937,0.041672
6.660000000000001e-07,4.076423,0.0411
6.68e-07,4.072947,0.040472
6.7e-07,4.0695,0.0398
6.720000000000001e-07,4.066033,0.039128
6.74e-07,4.062594,0.038428
6.760000000000001e-07,4.059189,0.037704
6.78e-07,4.055823,0.03696
6.800000000000001e-07,4.0525,0.0362
6.82e-07,4.049455,0.035434
