wavelength[m],n,k
2.1014437500000002e-07,1.6933,1.0574
2.13767554e-07,1.6112,1.0591
2.1751786200000003e-07,1.6333,1.0681
2.21402109e-07,1.6573,1.0802
2.25427602e-07,1.6817,1.0902
2.2960218800000001e-07,1.7069,1.1
2.33934304e-07,1.7347,1.1092
2.38433041e-07,1.7639,1.1182
2.4310819900000004e-07,1.7949,1.1265
2.47970363e-07,1.827,1.1333
2.53030982e-07,1.8622,1.1403
2.58302461e-07,1.8988,1.1457
2.63798258e-07,1.9383,1.1497
2.6953300300000005e-07,1.9798,1.152
2.75522625e-07,2.0241,1.1524
2.81784503e-07,2.0705,1.15
2.88337631e-07,2.1201,1.1445
2.9520281300000004e-07,2.1721,1.1351
3.02402881e-07,2.2259,1.1209
3.09962953e-07,2.2812,1.1007
3.1791072100000004e-07,2.3484,1.0781
3.26276793e-07,2.3933,1.0415
3.35095085e-07,2.4468,1.0002
3.4440328100000003e-07,2.4967,0.953
3.5424337500000004e-07,2.542,0.8987
3.6466229800000006e-07,2.5801,0.8396
3.75712671e-07,2.6117,0.776
3.87453692e-07,2.6353,0.7107
3.99952198e-07,2.6506,0.6446
4.13283938e-07,2.659,0.5788
4.27535108e-07,2.6599,0.5156
4.42804219e-07,2.6553,0.4549
4.592043750000001e-07,2.6456,0.3971
4.76866082e-07,2.6315,0.3436
4.95940725e-07,2.6143,0.2934
5.16604922e-07,2.5942,0.2468
5.390660060000001e-07,2.5711,0.2042
5.63569006e-07,2.5468,0.1644
5.904056250000001e-07,2.5216,0.1254
6.19925906e-07,2.4963,0.0863
6.52553586e-07,2.4702,0.048
6.888065630000001e-07,2.448,0.0131
7.293245960000001e-07,2.4288,0.0018
7.74907383e-07,2.4108,0.0
8.26567875e-07,2.3944,0.0
8.85608438e-07,2.3814,0.0
9.53732164e-07,2.3743,0.0
1.03320984e-06,2.3566,0.0
1.12713801e-06,2.3509,0.0
1.2398518099999999e-06,2.3376,0.0
1.3776131300000001e-06,2.3254,0.0
1.54981477e-06,2.3132,0.0
1.7712168800000001e-06,2.301,0.0
2.0664196900000003e-06,2.2888,0.0
