wavelength[m],n,k
1.6313839600000002e-07,1.653,0.0
1.65313575e-07,1.6425,0.0
1.67547542e-07,1.633,0.0
1.6984271400000002e-07,1.62425,0.0
1.7220164100000002e-07,1.616,0.0
1.74627016e-07,1.607851,0.0
1.7712168800000002e-07,1.6,0.0
1.79688669e-07,1.592493,0.0
1.8233114900000003e-07,1.585387,0.0
1.85052509e-07,1.578792,0.0
1.87856335e-07,1.572704,0.0
1.9074643300000002e-07,1.567,0.0
1.93726846e-07,1.56156,0.0
1.9680187500000001e-07,1.55644,0.0
1.99976099e-07,1.551777,0.0
2.0325439600000004e-07,1.547434,0.0
2.06641969e-07,1.543,0.0
2.1014437500000002e-07,1.5382,0.0
2.13767554e-07,1.5344,0.0
2.1751786200000003e-07,1.5307,0.0
2.21402109e-07,1.5272,0.0
2.25427602e-07,1.5238,0.0
2.2960218800000001e-07,1.5205,0.0
2.33934304e-07,1.5174,0.0
2.38433041e-07,1.5143,0.0
2.4310819900000004e-07,1.5114,0.0
2.47970363e-07,1.5086,0.0
2.53030982e-07,1.5058,0.0
2.58302461e-07,1.5032,0.0
2.63798258e-07,1.5006,0.0
2.6953300300000005e-07,1.4982,0.0
2.75522625e-07,1.4958,0.0
2.81784503e-07,1.4935,0.0
2.88337631e-07,1.4913,0.0
2.9520281300000004e-07,1.4892,0.0
3.02402881e-07,1.4871,0.0
3.09962953e-07,1.4851,0.0
3.1791072100000004e-07,1.4832,0.0
3.26276793e-07,1.4814,0.0
3.35095085e-07,1.4796,0.0
3.4440328100000003e-07,1.4779,0.0
3.5424337500000004e-07,1.4762,0.0
3.6466229800000006e-07,1.4746,0.0
3.75712671e-07,1.473,0.0
3.87453692e-07,1.4716,0.0
3.99952198e-07,1.4701,0.0
4.13283938e-07,1.4687,0.0
4.27535108e-07,1.4674,0.0
4.42804219e-07,1.4661,0.0
4.592043750000001e-07,1.4649,0.0
4.76866082e-07,1.4637,0.0
4.95940725e-07,1.4626,0.0
5.16604922e-07,1.4614,0.0
5.390660060000001e-07,1.4604,0.0
5.63569006e-07,1.4594,0.0
5.904056250000001e-07,1.4584,0.0
6.19925906e-07,1.4574,0.0
6.52553586e-07,1.4565,0.0
6.888065630000001e-07,1.4556,0.0
7.293245960000001e-07,1.4547,0.0
7.74907383e-07,1.4538,0.0
8.26567875e-07,1.4529,0.0
8.85608438e-07,1.452,0.0
9.53732164e-07,1.451,0.0
1.03320984e-06,1.45,0.0
1.12713801e-06,1.4489,0.0
1.2398518099999999e-06,1.4476,0.0
1.3776131300000001e-06,1.44604,0.0
1.54981477e-06,1.44403,0.0
1.7712168800000001e-06,1.44124,0.0
2.0664196900000003e-06,1.43709,0.0
