wavelength[m],n,k
2.5000000000000004e-07,1.721728,0.004142
2.55e-07,1.716423,0.00272
2.6e-07,1.710673,0.001521
2.65e-07,1.70509,0.000597
2.7e-07,1.700288,0.0
2.75e-07,1.698043,9.5e-05
2.8e-07,1.695477,0.0
2.85e-07,1.689117,0.0
2.9000000000000003e-07,1.682529,0.0
2.9500000000000003e-07,1.678783,0.0
3.0000000000000004e-07,1.675893,0.0
3.0500000000000004e-07,1.672661,0.0
3.1e-07,1.669798,0.0
3.15e-07,1.66794,0.0
3.2e-07,1.666109,0.0
3.25e-07,1.663151,0.0
3.3e-07,1.660225,0.0
3.35e-07,1.658343,0.0
3.4000000000000003e-07,1.65679,0.0
3.4500000000000003e-07,1.655137,0.0
3.5000000000000004e-07,1.653539,0.0
3.5500000000000004e-07,1.652013,0.0
3.6000000000000005e-07,1.65054,0.0
3.65e-07,1.649116,0.0
3.7e-07,1.647718,0.0
3.75e-07,1.646278,0.0
3.8e-07,1.644932,0.0
3.85e-07,1.643847,0.0
3.9e-07,1.642862,0.0
3.9500000000000003e-07,1.641889,0.0
4.0000000000000003e-07,1.640885,0.0
4.0500000000000004e-07,1.639691,0.0
4.1000000000000004e-07,1.638568,0.0
4.1500000000000005e-07,1.637859,0.0
4.2e-07,1.637164,0.0
4.25e-07,1.636088,0.0
4.3e-07,1.634958,0.0
4.35e-07,1.633911,0.0
4.4e-07,1.633129,0.0
4.4500000000000003e-07,1.63305,0.0
4.5000000000000003e-07,1.633042,0.0
4.5500000000000004e-07,1.63254,0.0
4.6000000000000004e-07,1.631779,0.0
4.6500000000000005e-07,1.630704,0.0
4.7000000000000005e-07,1.629627,0.0
4.75e-07,1.628923,0.0
4.800000000000001e-07,1.628354,0.0
4.85e-07,1.627826,0.0
4.900000000000001e-07,1.627277,0.0
4.95e-07,1.626573,0.0
5.000000000000001e-07,1.62583,0.0
5.05e-07,1.625113,0.0
5.1e-07,1.624449,0.0
5.15e-07,1.623911,0.0
5.2e-07,1.623433,0.0
5.250000000000001e-07,1.622987,0.0
5.3e-07,1.62254,0.0
5.350000000000001e-07,1.622047,0.0
5.4e-07,1.621519,0.0
5.450000000000001e-07,1.620902,0.0
5.5e-07,1.620341,0.0
5.550000000000001e-07,1.619967,0.0
5.6e-07,1.619764,0.0
5.65e-07,1.619834,0.0
5.7e-07,1.619948,0.0
5.75e-07,1.619899,0.0
5.800000000000001e-07,1.619728,0.0
5.85e-07,1.619412,0.0
5.900000000000001e-07,1.618942,0.0
5.95e-07,1.618234,0.0
6.000000000000001e-07,1.617486,0.0
6.05e-07,1.616895,0.0
6.100000000000001e-07,1.616386,0.0
6.15e-07,1.615959,0.0
6.2e-07,1.615584,0.0
6.25e-07,1.615215,0.0
6.3e-07,1.614898,0.0
6.350000000000001e-07,1.614674,0.0
6.4e-07,1.61451,0.0
6.450000000000001e-07,1.614367,0.0
6.5e-07,1.614302,0.0
6.550000000000001e-07,1.614408,0.0
6.6e-07,1.614537,0.0
6.650000000000001e-07,1.614559,0.0
6.7e-07,1.614505,0.0
6.75e-07,1.614356,0.0
6.800000000000001e-07,1.614129,0.0
6.85e-07,1.613837,0.0
6.900000000000001e-07,1.613469,0.0
6.95e-07,1.612988,0.0
7.000000000000001e-07,1.612483,0.0
7.05e-07,1.612045,0.0
7.100000000000001e-07,1.611639,0.0
7.15e-07,1.611262,0.0
7.200000000000001e-07,1.610914,0.0
7.25e-07,1.610591,0.0
7.3e-07,1.610296,0.0
7.350000000000001e-07,1.610035,0.0
7.4e-07,1.609795,0.0
7.450000000000001e-07,1.609561,0.0
7.5e-07,1.609338,0.0
7.550000000000001e-07,1.609125,0.0
7.6e-07,1.608923,0.0
7.650000000000001e-07,1.608732,0.0
7.7e-07,1.608547,0.0
7.750000000000001e-07,1.608363,0.0
7.8e-07,1.608185,0.0
7.85e-07,1.608016,0.0
7.900000000000001e-07,1.607857,0.0
7.95e-07,1.607712,0.0
8.000000000000001e-07,1.607583,0.0
