wavelength[m],n,k
2.5000000000000004e-07,2.092936,0.012111
2.55e-07,2.082595,0.008032
2.6e-07,2.070561,0.00453
2.65e-07,2.058673,0.001791
2.7e-07,2.048768,0.0
2.75e-07,2.046092,0.000283
2.8e-07,2.042261,0.0
2.85e-07,2.027178,0.0
2.9000000000000003e-07,2.011234,0.0
2.9500000000000003e-07,2.003378,0.0
3.0000000000000004e-07,1.997848,0.0
3.0500000000000004e-07,1.991188,0.0
3.1e-07,1.985431,0.0
3.15e-07,1.982379,0.0
3.2e-07,1.979276,0.0
3.25e-07,1.972869,0.0
3.3e-07,1.966453,0.0
3.35e-07,1.962906,0.0
3.4000000000000003e-07,1.960221,0.0
3.4500000000000003e-07,1.957221,0.0
3.5000000000000004e-07,1.954301,0.0
3.5500000000000004e-07,1.95146,0.0
3.6000000000000005e-07,1.948714,0.0
3.65e-07,1.946134,0.0
3.7e-07,1.943556,0.0
3.75e-07,1.940673,0.0
3.8e-07,1.937985,0.0
3.85e-07,1.936047,0.0
3.9e-07,1.934378,0.0
3.9500000000000003e-07,1.932731,0.0
4.0000000000000003e-07,1.930959,0.0
4.0500000000000004e-07,1.928586,0.0
4.1000000000000004e-07,1.926361,0.0
4.1500000000000005e-07,1.925239,0.0
4.2e-07,1.92412,0.0
4.25e-07,1.921918,0.0
4.3e-07,1.919545,0.0
4.35e-07,1.91738,0.0
4.4e-07,1.915931,0.0
4.4500000000000003e-07,1.91642,0.0
4.5000000000000003e-07,1.917081,0.0
4.5500000000000004e-07,1.916337,0.0
4.6000000000000004e-07,1.91485,0.0
4.6500000000000005e-07,1.912468,0.0
4.7000000000000005e-07,1.910053,0.0
4.75e-07,1.908629,0.0
4.800000000000001e-07,1.907556,0.0
4.85e-07,1.906589,0.0
4.900000000000001e-07,1.905567,0.0
4.95e-07,1.90415,0.0
5.000000000000001e-07,1.902629,0.0
5.05e-07,1.901156,0.0
5.1e-07,1.899806,0.0
5.15e-07,1.898757,0.0
5.2e-07,1.897849,0.0
5.250000000000001e-07,1.89701,0.0
5.3e-07,1.896155,0.0
5.350000000000001e-07,1.895164,0.0
5.4e-07,1.894065,0.0
5.450000000000001e-07,1.892709,0.0
5.5e-07,1.891504,0.0
5.550000000000001e-07,1.890823,0.0
5.6e-07,1.890616,0.0
5.65e-07,1.891168,0.0
5.7e-07,1.89184,0.0
5.75e-07,1.892048,0.0
5.800000000000001e-07,1.89191,0.0
5.85e-07,1.891355,0.0
5.900000000000001e-07,1.890363,0.0
5.95e-07,1.888705,0.0
6.000000000000001e-07,1.886929,0.0
6.05e-07,1.885576,0.0
6.100000000000001e-07,1.884441,0.0
6.15e-07,1.883529,0.0
6.2e-07,1.882752,0.0
6.25e-07,1.881977,0.0
6.3e-07,1.88134,0.0
6.350000000000001e-07,1.880963,0.0
6.4e-07,1.880752,0.0
6.450000000000001e-07,1.880598,0.0
6.5e-07,1.88066,0.0
6.550000000000001e-07,1.881201,0.0
6.6e-07,1.8818,0.0
6.650000000000001e-07,1.882095,0.0
6.7e-07,1.882172,0.0
6.75e-07,1.881978,0.0
6.800000000000001e-07,1.88156,0.0
6.85e-07,1.880957,0.0
6.900000000000001e-07,1.880136,0.0
6.95e-07,1.878992,0.0
7.000000000000001e-07,1.877779,0.0
7.05e-07,1.876749,0.0
7.100000000000001e-07,1.875809,0.0
7.15e-07,1.874949,0.0
7.200000000000001e-07,1.874167,0.0
7.25e-07,1.873452,0.0
7.3e-07,1.872813,0.0
7.350000000000001e-07,1.87227,0.0
7.4e-07,1.871781,0.0
7.450000000000001e-07,1.871308,0.0
7.5e-07,1.870862,0.0
7.550000000000001e-07,1.870443,0.0
7.6e-07,1.870051,0.0
7.650000000000001e-07,1.869687,0.0
7.7e-07,1.869341,0.0
7.750000000000001e-07,1.868996,0.0
7.8e-07,1.868667,0.0
7.85e-07,1.86836,0.0
7.900000000000001e-07,1.868081,0.0
7.95e-07,1.867837,0.0
8.000000000000001e-07,1.867633,0.0
