wavelength[m],n,k
1.9074643300000002e-07,1.746,0.7348
1.9222508700000001e-07,1.754325,0.733009
1.93726846e-07,1.762632,0.731016
1.95252254e-07,1.770928,0.728826
1.9680187500000001e-07,1.779216,0.726444
1.9837629000000002e-07,1.7875,0.723875
1.99976099e-07,1.795784,0.721124
2.01601921e-07,1.804072,0.718197
2.0325439600000004e-07,1.812368,0.715096
2.04934184e-07,1.820676,0.711829
2.06641969e-07,1.829,0.7084
2.08378456e-07,1.837344,0.704814
2.1014437500000002e-07,1.845712,0.701076
2.1194048100000003e-07,1.854108,0.697191
2.13767554e-07,1.862536,0.693164
2.1562640200000003e-07,1.871005,0.689007
2.1751786200000003e-07,1.879551,0.684787
2.1944279900000003e-07,1.888136,0.680428
2.21402109e-07,1.896744,0.675904
2.2339672300000003e-07,1.905369,0.6712
2.25427602e-07,1.913993,0.666293
2.2749574500000002e-07,1.922569,0.661119
2.2960218800000001e-07,1.931144,0.655725
2.3174800200000003e-07,1.939737,0.650123
2.33934304e-07,1.94835,0.644313
2.3616225000000003e-07,1.957022,0.638318
2.38433041e-07,1.965854,0.632215
2.40747925e-07,1.974723,0.625901
2.4310819900000004e-07,1.983558,0.619314
2.4551521000000003e-07,1.992331,0.612428
2.47970363e-07,2.000976,0.605165
2.50475114e-07,2.009397,0.597401
2.53030982e-07,2.017679,0.589282
2.55639549e-07,2.025875,0.5809
2.58302461e-07,2.034026,0.572334
2.61021434e-07,2.042206,0.563705
2.63798258e-07,2.050313,0.554894
2.66634798e-07,2.058261,0.545808
2.6953300300000005e-07,2.065971,0.536364
2.7249490400000003e-07,2.073341,0.526448
2.75522625e-07,2.080438,0.516163
2.78618385e-07,2.08732,0.5056
2.81784503e-07,2.094008,0.494826
2.8502340500000006e-07,2.10053,0.483923
2.88337631e-07,2.106875,0.472831
2.91729838e-07,2.113028,0.461494
2.9520281300000004e-07,2.119023,0.449904
2.9875947300000006e-07,2.124894,0.438049
3.02402881e-07,2.130563,0.4259
3.0613625e-07,2.135943,0.413431
3.09962953e-07,2.141016,0.400561
3.13886535e-07,2.145755,0.387219
3.1791072100000004e-07,2.150063,0.3735
3.22039432e-07,2.153847,0.359512
3.26276793e-07,2.156926,0.345306
3.3062715e-07,2.159137,0.330943
3.35095085e-07,2.160625,0.31645
3.3968542800000003e-07,2.161548,0.301854
3.4440328100000003e-07,2.162091,0.287213
3.49254032e-07,2.162415,0.272579
3.5424337500000004e-07,2.162312,0.25795
3.59377337e-07,2.161551,0.243329
3.6466229800000006e-07,2.159926,0.228639
3.7010501900000006e-07,2.157245,0.213826
3.75712671e-07,2.153625,0.199088
3.8149286600000003e-07,2.149213,0.184633
3.87453692e-07,2.143944,0.170638
3.9360375000000003e-07,2.137781,0.157275
3.99952198e-07,2.130937,0.144554
4.06508791e-07,2.123623,0.132466
4.13283938e-07,2.116055,0.121152
4.2028875000000003e-07,2.108446,0.110735
4.27535108e-07,2.10075,0.101095
4.3503572400000006e-07,2.092921,0.092113
4.42804219e-07,2.085008,0.083723
4.50855205e-07,2.077054,0.075852
4.592043750000001e-07,2.069062,0.068512
4.67868609e-07,2.061044,0.061711
4.76866082e-07,2.052971,0.055447
4.86216397e-07,2.044808,0.049717
4.95940725e-07,2.036687,0.044478
5.06061964e-07,2.028716,0.039692
5.16604922e-07,2.021055,0.035333
5.27596516e-07,2.013892,0.031378
5.390660060000001e-07,2.007062,0.027785
5.5104525e-07,2.000452,0.024516
5.63569006e-07,1.993969,0.02152
5.76675262e-07,1.987488,0.018738
5.904056250000001e-07,1.981124,0.016185
6.04805762e-07,1.974948,0.01386
6.19925906e-07,1.969023,0.011749
6.358214430000001e-07,1.963452,0.009833
6.52553586e-07,1.958125,0.008111
6.70190169e-07,1.952988,0.006579
6.888065630000001e-07,1.947985,0.00523
7.084867500000001e-07,1.943025,0.00406
7.293245960000001e-07,1.938188,0.003057
7.51425341e-07,1.933511,0.00221
7.74907383e-07,1.928988,0.00151
7.999043950000001e-07,1.924566,0.000947
8.26567875e-07,1.920379,0.000514
8.55070216e-07,1.9165,0.000201
8.85608438e-07,1.913017,1e-06
9.184087500000002e-07,1.910111,0.0
9.53732164e-07,1.907592,0.0
9.9188145e-07,1.905402,0.0
1.03320984e-06,1.903502,0.0
1.0781320100000002e-06,1.901856,0.0
1.12713801e-06,1.900424,0.0
1.1808112500000001e-06,1.899167,0.0
1.2398518099999999e-06,1.898046,0.0
1.3051071700000002e-06,1.897026,0.0
1.3776131300000001e-06,1.896065,0.0
1.4586491900000002e-06,1.895128,0.0
1.54981477e-06,1.894173,0.0
1.65313575e-06,1.893162,0.0
1.7712168800000001e-06,1.892059,0.0
1.90746433e-06,1.890823,0.0
