wavelength[m],n,k
2.1014437500000002e-07,1.0922,2.8831
2.1194048100000003e-07,1.1009,2.903606
2.13767554e-07,1.1184,2.9315
2.1562640200000003e-07,1.142375,2.965294
2.1751786200000003e-07,1.1705,3.0035
2.1944279900000003e-07,1.197969,3.044187
2.21402109e-07,1.2299,3.0872
2.2339672300000003e-07,1.2698,3.133762
2.25427602e-07,1.3177,3.1778
2.2749574500000002e-07,1.3785,3.215638
2.2960218800000001e-07,1.4411,3.2413
2.3174800200000003e-07,1.498944,3.2415
2.33934304e-07,1.5433,3.2345
2.3616225000000003e-07,1.557963,3.232469
2.38433041e-07,1.5588,3.2404
2.40747925e-07,1.555144,3.269319
2.4310819900000004e-07,1.5504,3.3133
2.4551521000000003e-07,1.551262,3.370399
2.47970363e-07,1.5572,3.4397
2.50475114e-07,1.569763,3.519669
2.53030982e-07,1.5894,3.6102
2.55639549e-07,1.61655,3.709288
2.58302461e-07,1.6528,3.8211
2.61021434e-07,1.6961,3.947731
2.63798258e-07,1.7578,4.0934
2.66634798e-07,1.842987,4.269037
2.6953300300000005e-07,1.9684,4.4566
2.7249490400000003e-07,2.156624,4.648149
2.75522625e-07,2.3952,4.8243
2.78618385e-07,2.673333,4.964182
2.81784503e-07,3.0086,5.0643
2.8502340500000006e-07,3.442902,5.146675
2.88337631e-07,3.8925,5.1139
2.91729838e-07,4.307407,4.813545
2.9520281300000004e-07,4.6283,4.4327
2.9875947300000006e-07,4.739799,4.11512
3.02402881e-07,4.7601,3.8384
3.0613625e-07,4.770644,3.637695
3.09962953e-07,4.7663,3.4841
3.13886535e-07,4.768732,3.362931
3.1791072100000004e-07,4.779,3.2667
3.22039432e-07,4.808137,3.183175
3.26276793e-07,4.8479,3.1119
3.3062715e-07,4.892231,3.047144
3.35095085e-07,4.9456,2.9925
3.3968542800000003e-07,5.003737,2.94735
3.4440328100000003e-07,5.0868,2.9186
3.49254032e-07,5.192213,2.938194
3.5424337500000004e-07,5.3839,2.9304
3.59377337e-07,5.807332,2.86335
3.6466229800000006e-07,6.2153,2.6374
3.7010501900000006e-07,6.389788,2.028855
3.75712671e-07,6.3887,1.378
3.8149286600000003e-07,6.140043,0.998007
3.87453692e-07,5.8155,0.7465
3.9360375000000003e-07,5.581969,0.598994
3.99952198e-07,5.3818,0.515
4.06508791e-07,5.215969,0.44355
4.13283938e-07,5.0755,0.3916
4.2028875000000003e-07,4.952588,0.349431
4.27535108e-07,4.8447,0.3161
4.3503572400000006e-07,4.746824,0.287837
4.42804219e-07,4.6586,0.2634
4.50855205e-07,4.578231,0.240775
4.592043750000001e-07,4.505,0.2185
4.67868609e-07,4.43795,0.192556
4.76866082e-07,4.376,0.1686
4.86216397e-07,4.317744,0.15245
4.95940725e-07,4.2632,0.1396
5.06061964e-07,4.212,0.127413
5.16604922e-07,4.1639,0.1161
5.27596516e-07,4.118594,0.105156
5.390660060000001e-07,4.0759,0.0941
5.5104525e-07,4.035631,0.081281
5.63569006e-07,3.9975,0.0697
5.76675262e-07,3.961087,0.063163
5.904056250000001e-07,3.9266,0.0576
6.04805762e-07,3.894362,0.049456
6.19925906e-07,3.8636,0.041
6.358214430000001e-07,3.833256,0.033381
6.52553586e-07,3.8045,0.0264
6.70190169e-07,3.778419,0.020056
6.888065630000001e-07,3.7542,0.0149
7.084867500000001e-07,3.731369,0.011813
7.293245960000001e-07,3.71,0.0098
7.51425341e-07,3.690494,0.008175
7.74907383e-07,3.6714,0.0069
7.999043950000001e-07,3.651106,0.005631
8.26567875e-07,3.6305,0.0046
8.55070216e-07,3.609006,0.004013
8.85608438e-07,3.5894,0.0036
9.184087500000002e-07,3.575756,0.003144
9.53732164e-07,3.5636,0.0027
9.9188145e-07,3.548981,0.002194
1.03320984e-06,3.5344,0.0018
1.0781320100000002e-06,3.521525,0.0018
1.12713801e-06,3.5089,0.0018
1.1808112500000001e-06,3.49585,0.001575
1.2398518099999999e-06,3.4817,0.0009
