wavelength[m],n,k
1.9074643300000002e-07,0.8452868,2.633342
1.9222508700000001e-07,0.8649071,2.663794
1.93726846e-07,0.8853534,2.693992
1.95252254e-07,0.906478,2.723809
1.9680187500000001e-07,0.9277987,2.751751
1.9837629000000002e-07,0.9486584,2.775631
1.99976099e-07,0.9694428,2.797417
2.01601921e-07,0.9900772,2.81722
2.0325439600000004e-07,1.011287,2.838421
2.04934184e-07,1.035132,2.868186
2.06641969e-07,1.057526,2.895252
2.08378456e-07,1.071899,2.903815
2.1014437500000002e-07,1.087747,2.914672
2.1194048100000003e-07,1.111116,2.940773
2.13767554e-07,1.139828,2.975924
2.1562640200000003e-07,1.165532,3.008917
2.1751786200000003e-07,1.186952,3.040766
2.1944279900000003e-07,1.222937,3.085538
2.21402109e-07,1.252425,3.129794
2.2339672300000003e-07,1.292926,3.17594
2.25427602e-07,1.341502,3.220817
2.2749574500000002e-07,1.40064,3.260749
2.2960218800000001e-07,1.465042,3.283478
2.3174800200000003e-07,1.527773,3.286412
2.33934304e-07,1.56838,3.277027
2.3616225000000003e-07,1.582362,3.271622
2.38433041e-07,1.58439,3.283253
2.40747925e-07,1.580084,3.312089
2.4310819900000004e-07,1.575858,3.35574
2.4551521000000003e-07,1.577164,3.413036
2.47970363e-07,1.583053,3.482677
2.50475114e-07,1.597148,3.562507
2.53030982e-07,1.615806,3.65234
2.55639549e-07,1.644404,3.751925
2.58302461e-07,1.679831,3.862891
2.61021434e-07,1.724407,3.988923
2.63798258e-07,1.785261,4.134923
2.66634798e-07,1.869571,4.305503
2.6953300300000005e-07,1.996765,4.497138
2.7249490400000003e-07,2.17996,4.691091
2.75522625e-07,2.422553,4.863287
2.78618385e-07,2.824177,5.044633
2.81784503e-07,3.034693,5.102528
2.8502340500000006e-07,3.412909,5.18036
2.88337631e-07,3.915805,5.152081
2.91729838e-07,4.392073,4.868237
2.9520281300000004e-07,4.650051,4.473885
2.9875947300000006e-07,4.748533,4.141291
3.02402881e-07,4.782237,3.882984
3.0613625e-07,4.788508,3.685752
3.09962953e-07,4.788892,3.53237
3.13886535e-07,4.797584,3.411393
3.1791072100000004e-07,4.811486,3.31471
3.22039432e-07,4.836407,3.234463
3.26276793e-07,4.873236,3.16399
3.3062715e-07,4.918656,3.101811
3.35095085e-07,4.972585,3.047801
3.3968542800000003e-07,5.035902,3.005099
3.4440328100000003e-07,5.115968,2.976887
3.49254032e-07,5.227472,2.971995
3.5424337500000004e-07,5.416131,2.990479
3.59377337e-07,5.764169,2.979169
3.6466229800000006e-07,6.250951,2.6998
3.7010501900000006e-07,6.524333,2.078687
3.75712671e-07,6.347837,1.554432
3.8149286600000003e-07,6.143765,1.04444
3.87453692e-07,5.921882,0.8405412
3.9360375000000003e-07,5.624022,0.6723635
3.99952198e-07,5.451554,0.5637824
4.06508791e-07,5.281198,0.5127719
4.13283938e-07,5.138228,0.4510996
4.2028875000000003e-07,5.017579,0.4066546
4.27535108e-07,4.913424,0.3733101
4.3503572400000006e-07,4.817437,0.3427767
4.42804219e-07,4.730739,0.315353
4.50855205e-07,4.651705,0.2881864
4.592043750000001e-07,4.579524,0.2620478
4.67868609e-07,4.513083,0.2362114
4.76866082e-07,4.45177,0.2126666
4.86216397e-07,4.394454,0.193165
4.95940725e-07,4.340837,0.1764799
5.06061964e-07,4.290281,0.1625468
5.16604922e-07,4.24259,0.1497899
5.27596516e-07,4.197531,0.1362411
5.390660060000001e-07,4.154776,0.1229423
5.5104525e-07,4.114324,0.1103693
5.63569006e-07,4.07485,0.09845425
5.76675262e-07,4.036262,0.08817067
5.904056250000001e-07,4.001164,0.07988997
6.04805762e-07,3.968971,0.07247027
6.19925906e-07,3.938114,0.06498234
6.358214430000001e-07,3.908394,0.05747213
6.52553586e-07,3.879493,0.05025325
6.70190169e-07,3.851742,0.0437105
6.888065630000001e-07,3.825651,0.03812471
7.084867500000001e-07,3.801369,0.03329276
7.293245960000001e-07,3.778283,0.02877912
7.51425341e-07,3.756219,0.02444458
7.74907383e-07,3.735008,0.02021935
7.999043950000001e-07,3.71322,0.01615369
8.26567875e-07,3.690551,0.01274162
8.55070216e-07,3.667224,0.01032006
8.85608438e-07,3.645092,0.007541027
9.184087500000002e-07,3.626729,0.004394739
9.53732164e-07,3.610224,0.002746013
9.9188145e-07,3.593852,0.002476597
1.03320984e-06,3.578645,0.001896762
1.0781320100000002e-06,3.564099,0.001531903
1.12713801e-06,3.550102,0.001856475
1.1808112500000001e-06,3.536603,0.001500343
1.2398518099999999e-06,3.522891,0.00104984
1.3051071700000002e-06,3.509487,0.0
1.3776131300000001e-06,3.497625,0.0
1.4586491900000002e-06,3.487132,0.0
1.54981477e-06,3.476771,0.0
1.65313575e-06,3.467117,0.0
1.7712168800000001e-06,3.458549,0.0009985201
1.90746433e-06,3.451498,0.0
2.0664196900000003e-06,3.446389,0.0009889307
2.25427602e-06,3.445858,0.0
2.47970363e-06,3.446471,0.0
