wavelength[m],n,k
2.1014437500000002e-07,1.2345,0.9872
2.1194048100000003e-07,1.243138,0.993131
2.13767554e-07,1.252,0.9999
2.1562640200000003e-07,1.261238,1.007444
2.1751786200000003e-07,1.271,1.0157
2.1944279900000003e-07,1.281175,1.024719
2.21402109e-07,1.2927,1.0341
2.2339672300000003e-07,1.3066,1.044044
2.25427602e-07,1.3225,1.0528
2.2749574500000002e-07,1.341525,1.059013
2.2960218800000001e-07,1.3602,1.0617
2.3174800200000003e-07,1.375894,1.057531
2.33934304e-07,1.3872,1.0522
2.3616225000000003e-07,1.390213,1.050125
2.38433041e-07,1.3898,1.0518
2.40747925e-07,1.389325,1.05985
2.4310819900000004e-07,1.3894,1.0723
2.4551521000000003e-07,1.391875,1.08815
2.47970363e-07,1.3964,1.1071
2.50475114e-07,1.403219,1.128513
2.53030982e-07,1.4124,1.1524
2.55639549e-07,1.423944,1.178206
2.58302461e-07,1.4383,1.207
2.61021434e-07,1.454925,1.2394
2.63798258e-07,1.4768,1.2762
2.66634798e-07,1.505519,1.319962
2.6953300300000005e-07,1.5447,1.366
2.7249490400000003e-07,1.599487,1.411831
2.75522625e-07,1.6669,1.4534
2.78618385e-07,1.743582,1.486225
2.81784503e-07,1.8358,1.5091
2.8502340500000006e-07,1.956488,1.529112
2.88337631e-07,2.0823,1.5169
2.91729838e-07,2.200588,1.427575
2.9520281300000004e-07,2.2922,1.3148
2.9875947300000006e-07,2.322181,1.219013
3.02402881e-07,2.3253,1.135
3.0613625e-07,2.324875,1.073975
3.09962953e-07,2.3203,1.0271
3.13886535e-07,2.319163,0.989944
3.1791072100000004e-07,2.3202,0.9605
3.22039432e-07,2.324862,0.935444
3.26276793e-07,2.3326,0.9143
3.3062715e-07,2.343206,0.895063
3.35095085e-07,2.3571,0.879
3.3968542800000003e-07,2.37245,0.866019
3.4440328100000003e-07,2.3958,0.8582
3.49254032e-07,2.42645,0.865506
3.5424337500000004e-07,2.4843,0.8642
3.59377337e-07,2.614775,0.844406
3.6466229800000006e-07,2.7406,0.7745
3.7010501900000006e-07,2.79395,0.5838
3.75712671e-07,2.7919,0.3796
3.8149286600000003e-07,2.710575,0.2604
3.87453692e-07,2.605,0.1819
3.9360375000000003e-07,2.528306,0.137031
3.99952198e-07,2.4623,0.1126
4.06508791e-07,2.407444,0.09235
4.13283938e-07,2.3609,0.0784
4.2028875000000003e-07,2.320281,0.067538
4.27535108e-07,2.2847,0.0595
4.3503572400000006e-07,2.252518,0.053112
4.42804219e-07,2.2236,0.0479
4.50855205e-07,2.197337,0.04315
4.592043750000001e-07,2.1735,0.0384
4.67868609e-07,2.151775,0.032325
4.76866082e-07,2.1318,0.0268
4.86216397e-07,2.113113,0.023756
4.95940725e-07,2.0957,0.0217
5.06061964e-07,2.079412,0.019756
5.16604922e-07,2.0642,0.018
5.27596516e-07,2.049994,0.016269
5.390660060000001e-07,2.0367,0.0144
5.5104525e-07,2.024237,0.011819
5.63569006e-07,2.0125,0.0096
5.76675262e-07,2.001331,0.009094
5.904056250000001e-07,1.9908,0.0089
6.04805762e-07,1.981006,0.007813
6.19925906e-07,1.9717,0.0066
6.358214430000001e-07,1.962556,0.005669
6.52553586e-07,1.9539,0.0049
6.70190169e-07,1.946025,0.004344
6.888065630000001e-07,1.9387,0.0039
7.084867500000001e-07,1.931775,0.003488
7.293245960000001e-07,1.9253,0.0031
7.51425341e-07,1.919444,0.002694
7.74907383e-07,1.9137,0.0023
7.999043950000001e-07,1.907531,0.001925
8.26567875e-07,1.9012,0.0016
8.55070216e-07,1.894481,0.001375
8.85608438e-07,1.8883,0.0012
9.184087500000002e-07,1.883931,0.001044
9.53732164e-07,1.8801,0.0009
9.9188145e-07,1.8758,0.000731
1.03320984e-06,1.8715,0.0006
1.0781320100000002e-06,1.867381,0.0006
1.12713801e-06,1.8633,0.0006
1.1808112500000001e-06,1.859194,0.000525
1.2398518099999999e-06,1.855,0.0003
