wavelength[m],n,k
2.4000000000000003e-07,1.695632,3.626973
2.4500000000000004e-07,1.995954,3.832311
2.5000000000000004e-07,2.489192,4.047272
2.55e-07,3.018086,3.989868
2.6e-07,3.389706,3.736133
2.65e-07,3.6921,3.441614
2.7e-07,3.828479,3.13312
2.75e-07,3.956829,2.894699
2.8e-07,3.989487,2.619697
2.85e-07,3.994273,2.379107
2.9000000000000003e-07,3.908876,2.197803
2.9500000000000003e-07,3.837061,2.077826
3.0000000000000004e-07,3.757468,1.997205
3.0500000000000004e-07,3.691318,1.941163
3.1e-07,3.635449,1.903483
3.15e-07,3.589409,1.882282
3.2e-07,3.557714,1.871777
3.25e-07,3.530272,1.869552
3.3e-07,3.520146,1.873763
3.35e-07,3.504931,1.878836
3.4000000000000003e-07,3.507941,1.891499
3.4500000000000003e-07,3.509362,1.904422
3.5000000000000004e-07,3.517833,1.922107
3.5500000000000004e-07,3.53201,1.943499
3.6000000000000005e-07,3.560456,1.965862
3.65e-07,3.588537,1.985293
3.7e-07,3.622905,2.012209
3.75e-07,3.663644,2.03605
3.8e-07,3.725727,2.061652
3.85e-07,3.787611,2.091816
3.9e-07,3.882211,2.118727
3.9500000000000003e-07,3.983807,2.12352
4.0000000000000003e-07,4.116117,2.097612
4.0500000000000004e-07,4.208991,2.031589
4.1000000000000004e-07,4.272949,1.964266
4.1500000000000005e-07,4.325205,1.923321
4.2e-07,4.375002,1.896895
4.25e-07,4.452845,1.904221
4.3e-07,4.616919,1.908062
4.35e-07,4.82732,1.784758
4.4e-07,4.952266,1.552415
4.4500000000000003e-07,4.971296,1.317762
4.5000000000000003e-07,4.936451,1.126328
4.5500000000000004e-07,4.866441,0.9818262
4.6000000000000004e-07,4.792338,0.8776413
4.6500000000000005e-07,4.724356,0.7957904
4.7000000000000005e-07,4.658986,0.7259328
4.75e-07,4.595098,0.6704166
4.800000000000001e-07,4.541252,0.6221346
4.85e-07,4.492733,0.5832235
4.900000000000001e-07,4.44355,0.5505661
4.95e-07,4.399448,0.5207556
5.000000000000001e-07,4.3593,0.4938353
5.05e-07,4.323921,0.4706785
5.1e-07,4.289316,0.4515746
5.15e-07,4.256333,0.43091
5.2e-07,4.225421,0.4149104
5.250000000000001e-07,4.196762,0.4000137
5.3e-07,4.169644,0.3854426
5.350000000000001e-07,4.144136,0.3726597
5.4e-07,4.119969,0.3622117
5.450000000000001e-07,4.09524,0.3483645
5.5e-07,4.07628,0.3401524
5.550000000000001e-07,4.054678,0.330917
5.6e-07,4.033546,0.3203331
5.65e-07,4.014924,0.3132052
5.7e-07,3.994105,0.3021602
5.75e-07,3.981147,0.2955951
5.800000000000001e-07,3.962478,0.2898179
5.85e-07,3.948099,0.2819878
5.900000000000001e-07,3.937019,0.2760688
5.95e-07,3.920896,0.2682065
6.000000000000001e-07,3.908165,0.2631356
6.05e-07,3.900762,0.2606801
6.100000000000001e-07,3.883653,0.2513585
6.15e-07,3.873935,0.2489469
6.2e-07,3.864592,0.2435219
6.25e-07,3.852652,0.2370744
6.3e-07,3.841299,0.2332801
6.350000000000001e-07,3.831546,0.2291611
6.4e-07,3.817062,0.2242913
6.450000000000001e-07,3.809455,0.2194212
6.5e-07,3.80297,0.2173396
6.550000000000001e-07,3.791143,0.2130646
6.6e-07,3.786988,0.2096421
6.650000000000001e-07,3.782547,0.2072478
6.7e-07,3.775245,0.2051015
6.75e-07,3.769044,0.201388
6.800000000000001e-07,3.756377,0.1949039
6.85e-07,3.747789,0.1904071
6.900000000000001e-07,3.750387,0.193919
6.95e-07,3.746783,0.190385
7.000000000000001e-07,3.738356,0.1858134
7.05e-07,3.72413,0.1799994
7.100000000000001e-07,3.72462,0.1792079
7.15e-07,3.723089,0.1748586
7.200000000000001e-07,3.712151,0.1701821
7.25e-07,3.712152,0.1667405
7.3e-07,3.705201,0.1641065
7.350000000000001e-07,3.704202,0.1543918
7.4e-07,3.699872,0.1489695
7.450000000000001e-07,3.69572,0.1494207
7.5e-07,3.691721,0.1469477
7.550000000000001e-07,3.683006,0.1448791
7.6e-07,3.6771,0.1442592
7.650000000000001e-07,3.674824,0.139321
7.7e-07,3.671772,0.1429774
7.750000000000001e-07,3.666895,0.1494449
7.8e-07,3.665506,0.1470969
7.85e-07,3.660799,0.1483806
7.900000000000001e-07,3.659802,0.1418459
7.95e-07,3.653001,0.1488399
8.000000000000001e-07,3.653005,0.1402458
8.05e-07,3.650596,0.1446712
8.100000000000001e-07,3.647604,0.1439336
8.15e-07,3.642828,0.14669
8.200000000000001e-07,3.638914,0.136197
8.25e-07,3.640052,0.1199392
8.300000000000001e-07,3.636391,0.1363687
8.35e-07,3.63625,0.126745
8.4e-07,3.634122,0.1631019
