wavelength[m],n,k
2.75522625e-07,2.508,4.953
2.77061858e-07,2.662,5.022
2.78618385e-07,2.812,5.092
2.8019250000000004e-07,2.99,5.152
2.81784503e-07,3.165,5.213
2.833947e-07,3.367,5.238
2.8502340500000006e-07,3.568,5.266
2.86670939e-07,3.823,5.225
2.88337631e-07,4.076,5.19
2.90023816e-07,4.289,5.039
2.91729838e-07,4.507,4.895
2.9345605e-07,4.622,4.727
2.9520281300000004e-07,4.742,4.56
2.96970494e-07,4.795,4.389
2.9875947300000006e-07,4.853,4.216
3.00570136e-07,4.877,4.086
3.02402881e-07,4.904,3.954
3.04258114e-07,4.908,3.853
3.0613625e-07,4.914,3.75
3.0803771700000003e-07,4.92,3.665
3.09962953e-07,4.927,3.579
3.11912406e-07,4.923,3.513
3.13886535e-07,4.92,3.446
3.15885812e-07,4.927,3.392
3.1791072100000004e-07,4.935,3.337
3.19961758e-07,4.947,3.288
3.22039432e-07,4.96,3.238
3.2414426500000006e-07,4.972,3.195
3.26276793e-07,4.986,3.152
3.28437566e-07,4.997,3.115
3.3062715e-07,5.009,3.077
3.32846124e-07,5.036,3.041
3.35095085e-07,5.063,3.005
3.37374643e-07,5.085,2.981
3.3968542800000003e-07,5.107,2.958
3.42028086e-07,5.137,2.938
3.4440328100000003e-07,5.168,2.918
3.4681169600000003e-07,5.201,2.903
3.49254032e-07,5.236,2.888
3.5173101100000005e-07,5.294,2.882
3.5424337500000004e-07,5.353,2.876
3.5679188900000003e-07,5.438,2.872
3.59377337e-07,5.526,2.868
3.62000529e-07,5.679,2.842
3.6466229800000006e-07,5.832,2.818
3.673635e-07,6.018,2.717
3.7010501900000006e-07,6.204,2.619
3.7288776300000004e-07,6.376,2.382
3.75712671e-07,6.554,2.15
3.7858070600000007e-07,6.567,1.836
3.8149286600000003e-07,6.593,1.517
3.8445017500000003e-07,6.473,1.269
3.87453692e-07,6.357,1.009
3.90504508e-07,6.203,0.8736
3.9360375000000003e-07,6.045,0.7297
3.9675258000000004e-07,5.913,0.6464
3.99952198e-07,5.778,0.5587
4.03203842e-07,5.679,0.5147
4.06508791e-07,5.578,0.4686
4.09868368e-07,5.49,0.4322
4.13283938e-07,5.4,0.3941
4.16756912e-07,5.326,0.3569
4.2028875000000003e-07,5.249,0.3181
4.2388096200000006e-07,5.179,0.2838
4.27535108e-07,5.107,0.2482
4.3125280400000006e-07,5.029,0.2328
4.3503572400000006e-07,4.95,0.2169
4.3888559700000005e-07,4.897,0.2121
4.42804219e-07,4.842,0.2071
4.4679344600000005e-07,4.798,0.1967
4.50855205e-07,4.753,0.1861
4.5499149100000004e-07,4.71,0.1775
4.592043750000001e-07,4.666,0.1687
4.6349600500000005e-07,4.628,0.1673
4.67868609e-07,4.59,0.1657
4.7232450000000005e-07,4.552,0.1546
4.76866082e-07,4.513,0.1432
4.8149585e-07,4.48,0.1366
4.86216397e-07,4.446,0.1299
4.910304210000001e-07,4.413,0.1282
4.95940725e-07,4.38,0.1265
5.00950227e-07,4.354,0.1222
5.06061964e-07,4.327,0.1178
5.11279098e-07,4.303,0.116
5.16604922e-07,4.279,0.1141
5.22042869e-07,4.26,0.1161
5.27596516e-07,4.242,0.1178
5.33269597e-07,4.223,0.09523
5.390660060000001e-07,4.205,0.07215
5.449898080000001e-07,4.178,0.06807
5.5104525e-07,4.15,0.06387
5.5723677e-07,4.126,0.06102
5.63569006e-07,4.101,0.05809
5.700468110000001e-07,4.079,0.0572
5.76675262e-07,4.056,0.05629
5.834596770000001e-07,4.036,0.05506
5.904056250000001e-07,4.016,0.05378
5.975189460000001e-07,3.998,0.05231
6.04805762e-07,3.979,0.05078
6.122725e-07,3.962,0.04926
6.19925906e-07,3.944,0.04768
