wavelength[m],n,k
1.8000000000000002e-07,1.20774,2.065205
1.9e-07,1.316755,2.260065
2.0000000000000002e-07,1.48,2.45
2.1e-07,1.720912,2.598338
2.2e-07,2.016951,2.66775
2.3000000000000002e-07,2.321471,2.604213
2.4000000000000003e-07,2.54161,2.400758
2.5000000000000004e-07,2.572579,2.154195
2.6e-07,2.480464,2.088274
2.7e-07,2.414541,2.052975
2.8e-07,2.372254,2.04366
2.9000000000000003e-07,2.351044,2.055692
3.0000000000000004e-07,2.348354,2.084435
3.1e-07,2.361625,2.125252
3.2e-07,2.388301,2.173506
3.3e-07,2.425822,2.224561
3.4000000000000003e-07,2.471636,2.273829
3.5000000000000004e-07,2.52297,2.313705
3.6000000000000005e-07,2.576122,2.323725
3.7e-07,2.630314,2.323869
3.8e-07,2.68343,2.31562
3.9e-07,2.733411,2.300048
4.0000000000000003e-07,2.776369,2.27817
4.1000000000000004e-07,2.805519,2.250694
4.2e-07,2.827264,2.219278
4.3e-07,2.841735,2.185115
4.4e-07,2.848885,2.149456
4.5000000000000003e-07,2.848305,2.114728
4.6000000000000004e-07,2.839252,2.084477
4.7000000000000005e-07,2.823172,2.054883
4.800000000000001e-07,2.80048,2.025856
4.900000000000001e-07,2.771415,1.997324
5.000000000000001e-07,2.737603,1.967574
5.1e-07,2.700764,1.934722
5.2e-07,2.657433,1.903712
5.3e-07,2.6069,1.875862
5.4e-07,2.548706,1.852421
5.5e-07,2.47794,1.834908
5.6e-07,2.391179,1.824749
5.7e-07,2.298247,1.822568
5.800000000000001e-07,2.201368,1.829451
5.900000000000001e-07,2.102607,1.846289
6.000000000000001e-07,2.006822,1.877807
6.100000000000001e-07,1.91713,1.926347
6.2e-07,1.830121,1.985327
6.3e-07,1.746458,2.053735
6.4e-07,1.666745,2.130431
6.5e-07,1.591944,2.215719
6.6e-07,1.522716,2.308684
6.7e-07,1.459061,2.405752
6.800000000000001e-07,1.401485,2.505086
6.900000000000001e-07,1.350147,2.605323
7.000000000000001e-07,1.308842,2.70028
7.100000000000001e-07,1.277696,2.788593
7.200000000000001e-07,1.251963,2.875185
7.3e-07,1.230646,2.96012
7.4e-07,1.212715,3.043608
7.5e-07,1.19474,3.12641
7.6e-07,1.176222,3.208536
7.7e-07,1.159275,3.289673
7.8e-07,1.143788,3.369617
7.900000000000001e-07,1.129663,3.448425
8.000000000000001e-07,1.117038,3.525918
8.100000000000001e-07,1.105745,3.602155
8.200000000000001e-07,1.095448,3.677328
8.300000000000001e-07,1.085986,3.751492
8.4e-07,1.077196,3.824705
8.5e-07,1.068523,3.896868
8.6e-07,1.06003,3.968127
8.7e-07,1.051964,4.038717
8.8e-07,1.04432,4.108688
8.900000000000001e-07,1.037069,4.178371
