wavelength[m],n,k
2.5000000000000004e-07,2.196196,0.0
2.55e-07,2.169578,0.0
2.6e-07,2.145283,0.0
2.65e-07,2.123065,0.0
2.7e-07,2.102708,0.0
2.75e-07,2.084022,0.0
2.8e-07,2.066839,0.0
2.85e-07,2.051011,0.0
2.9000000000000003e-07,2.036408,0.0
2.9500000000000003e-07,2.022913,0.0
3.0000000000000004e-07,2.010423,0.0
3.0500000000000004e-07,1.998846,0.0
3.1e-07,1.988101,0.0
3.15e-07,1.978112,0.0
3.2e-07,1.968816,0.0
3.25e-07,1.960152,0.0
3.3e-07,1.952067,0.0
3.35e-07,1.944513,0.0
3.4000000000000003e-07,1.937447,0.0
3.4500000000000003e-07,1.93083,0.0
3.5000000000000004e-07,1.924626,0.0
3.5500000000000004e-07,1.918803,0.0
3.6000000000000005e-07,1.913333,0.0
3.65e-07,1.908188,0.0
3.7e-07,1.903344,0.0
3.75e-07,1.89878,0.0
3.8e-07,1.894474,0.0
3.85e-07,1.890409,0.0
3.9e-07,1.886568,0.0
3.9500000000000003e-07,1.882935,0.0
4.0000000000000003e-07,1.879496,0.0
4.0500000000000004e-07,1.876238,0.0
4.1000000000000004e-07,1.873149,0.0
4.1500000000000005e-07,1.870218,0.0
4.2e-07,1.867435,0.0
4.25e-07,1.86479,0.0
4.3e-07,1.862274,0.0
4.35e-07,1.85988,0.0
4.4e-07,1.8576,0.0
4.4500000000000003e-07,1.855428,0.0
4.5000000000000003e-07,1.853356,0.0
4.5500000000000004e-07,1.851379,0.0
4.6000000000000004e-07,1.849491,0.0
4.6500000000000005e-07,1.847687,0.0
4.7000000000000005e-07,1.845963,0.0
4.75e-07,1.844314,0.0
4.800000000000001e-07,1.842735,0.0
4.85e-07,1.841223,0.0
4.900000000000001e-07,1.839775,0.0
4.95e-07,1.838386,0.0
5.000000000000001e-07,1.837054,0.0
5.05e-07,1.835776,0.0
5.1e-07,1.834548,0.0
5.15e-07,1.833369,0.0
5.2e-07,1.832236,0.0
5.250000000000001e-07,1.831146,0.0
5.3e-07,1.830097,0.0
5.350000000000001e-07,1.829088,0.0
5.4e-07,1.828117,0.0
5.450000000000001e-07,1.827181,0.0
5.5e-07,1.826279,0.0
5.550000000000001e-07,1.825409,0.0
5.6e-07,1.82457,0.0
5.65e-07,1.823761,0.0
5.7e-07,1.82298,0.0
5.75e-07,1.822225,0.0
5.800000000000001e-07,1.821496,0.0
5.85e-07,1.820792,0.0
5.900000000000001e-07,1.820111,0.0
5.95e-07,1.819453,0.0
6.000000000000001e-07,1.818816,0.0
6.05e-07,1.818199,0.0
6.100000000000001e-07,1.817602,0.0
6.15e-07,1.817024,0.0
6.2e-07,1.816464,0.0
6.25e-07,1.815922,0.0
6.3e-07,1.815396,0.0
6.350000000000001e-07,1.814886,0.0
6.4e-07,1.814391,0.0
6.450000000000001e-07,1.813911,0.0
6.5e-07,1.813445,0.0
6.550000000000001e-07,1.812993,0.0
6.6e-07,1.812554,0.0
6.650000000000001e-07,1.812127,0.0
6.7e-07,1.811713,0.0
6.75e-07,1.81131,0.0
6.800000000000001e-07,1.810919,0.0
6.85e-07,1.810538,0.0
6.900000000000001e-07,1.810168,0.0
6.95e-07,1.809808,0.0
7.000000000000001e-07,1.809457,0.0
7.05e-07,1.809116,0.0
7.100000000000001e-07,1.808784,0.0
7.15e-07,1.80846,0.0
7.200000000000001e-07,1.808145,0.0
7.25e-07,1.807838,0.0
7.3e-07,1.807539,0.0
7.350000000000001e-07,1.807247,0.0
7.4e-07,1.806963,0.0
7.450000000000001e-07,1.806686,0.0
7.5e-07,1.806415,0.0
7.550000000000001e-07,1.806151,0.0
7.6e-07,1.805894,0.0
7.650000000000001e-07,1.805643,0.0
7.7e-07,1.805398,0.0
7.750000000000001e-07,1.805158,0.0
7.8e-07,1.804925,0.0
7.85e-07,1.804696,0.0
7.900000000000001e-07,1.804473,0.0
7.95e-07,1.804255,0.0
8.000000000000001e-07,1.804043,0.0
8.05e-07,1.803834,0.0
8.100000000000001e-07,1.803631,0.0
8.15e-07,1.803432,0.0
8.200000000000001e-07,1.803238,0.0
8.25e-07,1.803047,0.0
8.300000000000001e-07,1.802861,0.0
8.35e-07,1.802679,0.0
8.4e-07,1.802501,0.0
8.450000000000001e-07,1.802327,0.0
8.5e-07,1.802156,0.0
