wavelength[m],n,k
1.23985181e-07,0.383,0.92
1.24608222e-07,0.388313,0.927813
1.25237557e-07,0.388,0.936
1.2587328000000001e-07,0.384438,0.944937
1.26515491e-07,0.38,0.955
1.27164289e-07,0.378125,0.967375
1.2781977500000002e-07,0.378,0.98
1.28482053e-07,0.380813,0.991
1.29151231e-07,0.384,1.001
1.29827415e-07,0.385,1.009562
1.30510717e-07,0.385,1.018
1.3120125e-07,0.384063,1.027812
1.31899129e-07,0.383,1.038
1.32604472e-07,0.383063,1.047687
1.33317399e-07,0.383,1.058
1.3403803400000002e-07,0.381,1.070562
1.3476650100000002e-07,0.38,1.083
1.3550293e-07,0.384063,1.09275
1.3624745200000001e-07,0.388,1.102
1.370002e-07,0.3865,1.112063
1.37761313e-07,0.384,1.123
1.38530929e-07,0.3835,1.135625
1.39309192e-07,0.384,1.149
1.4009625000000002e-07,0.385625,1.162875
1.40892251e-07,0.388,1.176
1.4169735e-07,0.391375,1.18625
1.42511703e-07,0.394,1.196
1.4333547e-07,0.393438,1.206813
1.4416881500000002e-07,0.392,1.219
1.45011908e-07,0.390875,1.234187
1.45864919e-07,0.391,1.25
1.46728025e-07,0.394688,1.26425
1.4760140600000002e-07,0.399,1.278
1.48485247e-07,0.401188,1.2915
1.4937973600000003e-07,0.403,1.305
1.50285068e-07,0.4055,1.318625
1.51201441e-07,0.408,1.333
1.52129057e-07,0.409563,1.349063
1.53068125e-07,0.412,1.366
1.54018859e-07,0.417813,1.384
1.54981477e-07,0.424,1.401
1.55956203e-07,0.427875,1.413687
1.56943267e-07,0.431,1.426
1.57942906e-07,0.43375,1.441375
1.5895536100000002e-07,0.437,1.458
1.59980879e-07,0.441813,1.475313
1.61019716e-07,0.448,1.493
1.6207213200000003e-07,0.456375,1.510875
1.6313839600000002e-07,0.465,1.528
1.64218783e-07,0.47175,1.542625
1.65313575e-07,0.478,1.557
1.66423062e-07,0.484375,1.573375
1.67547542e-07,0.491,1.59
1.68687321e-07,0.498563,1.605563
1.6984271400000002e-07,0.506,1.621
1.71014043e-07,0.512063,1.636625
1.7220164100000002e-07,0.518,1.653
1.7340584800000002e-07,0.525187,1.671062
1.74627016e-07,0.532,1.69
1.7586550500000003e-07,0.53575,1.709
1.7712168800000002e-07,0.541,1.729
1.78395944e-07,0.552875,1.751688
1.79688669e-07,0.567,1.774
1.8100026500000003e-07,0.580313,1.792438
1.8233114900000003e-07,0.594,1.81
1.8368175e-07,0.608563,1.829063
1.85052509e-07,0.623,1.848
1.8644388200000002e-07,0.636187,1.865812
1.87856335e-07,0.649,1.883
1.8929035300000003e-07,0.661875,1.899437
1.9074643300000002e-07,0.675,1.916
1.9222508700000001e-07,0.688938,1.933438
1.93726846e-07,0.703,1.952
1.95252254e-07,0.716,1.972875
1.9680187500000001e-07,0.73,1.994
1.9837629000000002e-07,0.747688,2.01325
1.99976099e-07,0.766,2.032
2.01601921e-07,0.781625,2.051437
2.0325439600000004e-07,0.798,2.07
2.04934184e-07,0.818687,2.085312
2.06641969e-07,0.84,2.101
2.08378456e-07,0.858375,2.121
2.1014437500000002e-07,0.877,2.142
2.1194048100000003e-07,0.898938,2.161875
2.13767554e-07,0.921,2.181
2.1562640200000003e-07,0.938938,2.198625
2.1751786200000003e-07,0.959,2.216
2.1944279900000003e-07,0.988812,2.235
2.21402109e-07,1.02,2.253
2.2339672300000003e-07,1.045,2.266812
2.25427602e-07,1.069,2.28
2.2749574500000002e-07,1.095188,2.296
2.2960218800000001e-07,1.122,2.312
2.3174800200000003e-07,1.148688,2.326125
2.33934304e-07,1.176,2.339
2.3616225000000003e-07,1.204875,2.350625
2.38433041e-07,1.234,2.361
2.40747925e-07,1.262437,2.3705
2.4310819900000004e-07,1.29,2.378
2.4551521000000003e-07,1.315375,2.3815
2.47970363e-07,1.341,2.384
2.50475114e-07,1.370438,2.388187
2.53030982e-07,1.399,2.393
2.55639549e-07,1.421625,2.398937
2.58302461e-07,1.443,2.404
2.61021434e-07,1.4685,2.404875
2.63798258e-07,1.491,2.406
2.66634798e-07,1.500937,2.41075
2.6953300300000005e-07,1.511,2.419
2.7249490400000003e-07,1.534,2.4335
2.75522625e-07,1.56,2.449
2.78618385e-07,1.581875,2.460187
2.81784503e-07,1.604,2.47
2.8502340500000006e-07,1.629813,2.479563
2.88337631e-07,1.655,2.489
2.91729838e-07,1.675188,2.498625
2.9520281300000004e-07,1.694,2.509
2.9875947300000006e-07,1.714062,2.519625
3.02402881e-07,1.734,2.534
3.0613625e-07,1.751625,2.557062
3.09962953e-07,1.772,2.584
3.13886535e-07,1.79975,2.612188
3.1791072100000004e-07,1.834,2.64
3.22039432e-07,1.876063,2.6655
3.26276793e-07,1.924,2.687
3.3062715e-07,1.978625,2.701125
3.35095085e-07,2.033,2.711
3.3968542800000003e-07,2.077312,2.719562
3.4440328100000003e-07,2.121,2.724
3.49254032e-07,2.173187,2.72125
3.5424337500000004e-07,2.225,2.715
3.59377337e-07,2.270375,2.708563
3.6466229800000006e-07,2.31,2.7
3.7010501900000006e-07,2.340375,2.686563
3.75712671e-07,2.368,2.674
3.8149286600000003e-07,2.399437,2.6685
3.87453692e-07,2.431,2.666
3.9360375000000003e-07,2.461812,2.664312
3.99952198e-07,2.49,2.664
4.06508791e-07,2.511188,2.664125
4.13283938e-07,2.532,2.667
4.2028875000000003e-07,2.558438,2.675063
4.27535108e-07,2.588,2.687
4.3503572400000006e-07,2.620375,2.7035
4.42804219e-07,2.655,2.721
4.50855205e-07,2.68975,2.733875
4.592043750000001e-07,2.729,2.749
4.67868609e-07,2.777187,2.774562
4.76866082e-07,2.832,2.801
4.86216397e-07,2.892313,2.820938
4.95940725e-07,2.959,2.836
5.06061964e-07,3.033188,2.845375
5.16604922e-07,3.113,2.849
5.27596516e-07,3.197188,2.848625
5.390660060000001e-07,3.285,2.838
5.5104525e-07,3.378125,2.810125
5.63569006e-07,3.468,2.769
5.76675262e-07,3.545937,2.714375
5.904056250000001e-07,3.614,2.652
6.04805762e-07,3.67125,2.588
6.19925906e-07,3.718,2.521
6.358214430000001e-07,3.754437,2.450375
6.52553586e-07,3.78,2.38
6.70190169e-07,3.79325,2.313
6.888065630000001e-07,3.797,2.251
7.084867500000001e-07,3.790125,2.197187
7.293245960000001e-07,3.783,2.15
7.51425341e-07,3.797125,2.106437
7.74907383e-07,3.798,2.074
7.999043950000001e-07,3.73525,2.059062
8.26567875e-07,3.678,2.062
8.55070216e-07,3.698562,2.100625
8.85608438e-07,3.737,2.129
9.184087500000002e-07,3.753125,2.091813
9.53732164e-07,3.76,2.035
9.9188145e-07,3.761375,1.989563
