wavelength[m],n,k
1.23985181e-07,0.441,0.88
1.24608222e-07,0.440813,0.88625
1.25237557e-07,0.44,0.891
1.2587328000000001e-07,0.438188,0.89525
1.26515491e-07,0.435,0.9
1.27164289e-07,0.429063,0.907063
1.2781977500000002e-07,0.423,0.915
1.28482053e-07,0.419813,0.922938
1.29151231e-07,0.417,0.931
1.29827415e-07,0.412875,0.938688
1.30510717e-07,0.408,0.947
1.3120125e-07,0.401875,0.957313
1.31899129e-07,0.396,0.968
1.32604472e-07,0.39275,0.977187
1.33317399e-07,0.389,0.987
1.3403803400000002e-07,0.381,0.99925
1.3476650100000002e-07,0.373,1.013
1.3550293e-07,0.36875,1.02825
1.3624745200000001e-07,0.366,1.044
1.370002e-07,0.364,1.058812
1.37761313e-07,0.362,1.074
1.38530929e-07,0.358188,1.0905
1.39309192e-07,0.355,1.108
1.4009625000000002e-07,0.354688,1.127125
1.40892251e-07,0.356,1.146
1.4169735e-07,0.359,1.16225
1.42511703e-07,0.362,1.178
1.4333547e-07,0.362625,1.194625
1.4416881500000002e-07,0.363,1.212
1.45011908e-07,0.364375,1.230937
1.45864919e-07,0.367,1.25
1.46728025e-07,0.372313,1.267687
1.4760140600000002e-07,0.378,1.285
1.48485247e-07,0.381562,1.30225
1.4937973600000003e-07,0.385,1.32
1.50285068e-07,0.389375,1.339375
1.51201441e-07,0.395,1.359
1.52129057e-07,0.402938,1.377313
1.53068125e-07,0.412,1.396
1.54018859e-07,0.421625,1.417438
1.54981477e-07,0.431,1.438
1.55956203e-07,0.438313,1.453375
1.56943267e-07,0.446,1.468
1.57942906e-07,0.4565,1.485813
1.5895536100000002e-07,0.468,1.504
1.59980879e-07,0.479313,1.520813
1.61019716e-07,0.491,1.537
1.6207213200000003e-07,0.503437,1.552562
1.6313839600000002e-07,0.516,1.568
1.64218783e-07,0.527875,1.58425
1.65313575e-07,0.54,1.6
1.66423062e-07,0.553375,1.613563
1.67547542e-07,0.567,1.627
1.68687321e-07,0.579813,1.642375
1.6984271400000002e-07,0.593,1.658
1.71014043e-07,0.607688,1.673125
1.7220164100000002e-07,0.623,1.687
1.7340584800000002e-07,0.6385,1.697625
1.74627016e-07,0.654,1.708
1.7586550500000003e-07,0.668875,1.72175
1.7712168800000002e-07,0.684,1.735
1.78395944e-07,0.70075,1.74425
1.79688669e-07,0.717,1.752
1.8100026500000003e-07,0.7305,1.759437
1.8233114900000003e-07,0.743,1.767
1.8368175e-07,0.755813,1.775938
1.85052509e-07,0.768,1.785
1.8644388200000002e-07,0.778812,1.793062
1.87856335e-07,0.789,1.801
1.8929035300000003e-07,0.799313,1.809125
1.9074643300000002e-07,0.809,1.818
1.9222508700000001e-07,0.817438,1.828375
1.93726846e-07,0.825,1.84
1.95252254e-07,0.831313,1.852875
1.9680187500000001e-07,0.838,1.867
1.9837629000000002e-07,0.847188,1.882375
