wavelength[m],n,k
2.21402109e-07,1.723839,0.0
2.2339672300000003e-07,1.718179,0.0
2.25427602e-07,1.712819,0.0
2.2749574500000002e-07,1.707723,0.0
2.2960218800000001e-07,1.702855,0.0
2.3174800200000003e-07,1.698177,0.0
2.33934304e-07,1.693653,0.0
2.3616225000000003e-07,1.689245,0.0
2.38433041e-07,1.684916,0.0
2.40747925e-07,1.680529,0.0
2.4310819900000004e-07,1.675978,0.0
2.4551521000000003e-07,1.671545,0.0
2.47970363e-07,1.667297,0.0
2.50475114e-07,1.66336,0.0
2.53030982e-07,1.65996,0.0
2.55639549e-07,1.65679,0.0
2.58302461e-07,1.653794,0.0
2.61021434e-07,1.650909,0.0
2.63798258e-07,1.64808,0.0
2.66634798e-07,1.645277,0.0
2.6953300300000005e-07,1.642456,0.0
2.7249490400000003e-07,1.639414,0.0
2.75522625e-07,1.636331,0.0
2.78618385e-07,1.633301,0.0
2.81784503e-07,1.630465,0.0
2.8502340500000006e-07,1.627814,0.0
2.88337631e-07,1.625255,0.0
2.91729838e-07,1.622732,0.0
2.9520281300000004e-07,1.620238,0.0
2.9875947300000006e-07,1.617809,0.0
3.02402881e-07,1.615454,0.0
3.0613625e-07,1.613182,0.0
3.09962953e-07,1.611,0.0
3.13886535e-07,1.60898,0.0
3.1791072100000004e-07,1.606996,0.0
3.22039432e-07,1.604926,0.0
3.26276793e-07,1.602785,0.0
3.3062715e-07,1.600739,0.0
3.35095085e-07,1.598927,0.0
3.3968542800000003e-07,1.597144,0.0
3.4440328100000003e-07,1.595175,0.0
3.49254032e-07,1.593256,0.0
3.5424337500000004e-07,1.591658,0.0
3.59377337e-07,1.590178,0.0
3.6466229800000006e-07,1.588603,0.0
3.7010501900000006e-07,1.586965,0.0
3.75712671e-07,1.585209,0.0
3.8149286600000003e-07,1.58369,0.0
3.87453692e-07,1.582538,0.0
3.9360375000000003e-07,1.580914,0.0
3.99952198e-07,1.579,0.0
4.06508791e-07,1.577649,0.0
4.13283938e-07,1.57629,0.0
4.2028875000000003e-07,1.574969,0.0
4.27535108e-07,1.574278,0.0
4.3503572400000006e-07,1.572983,0.0
4.42804219e-07,1.571712,0.0
4.50855205e-07,1.570844,0.0
4.592043750000001e-07,1.569156,0.0
4.67868609e-07,1.568184,0.0
4.76866082e-07,1.567313,0.0
4.86216397e-07,1.566383,0.0
4.95940725e-07,1.565404,0.0
5.06061964e-07,1.564392,0.0
5.16604922e-07,1.563345,0.0
5.27596516e-07,1.562197,0.0
5.390660060000001e-07,1.56108,0.0
5.5104525e-07,1.560398,0.0
5.63569006e-07,1.559821,0.0
5.76675262e-07,1.559162,0.0
5.904056250000001e-07,1.558481,0.0
6.04805762e-07,1.557764,0.0
6.19925906e-07,1.557,0.0
6.358214430000001e-07,1.556212,0.0
6.52553586e-07,1.555351,0.0
6.70190169e-07,1.554663,0.0
6.888065630000001e-07,1.554224,0.0
7.084867500000001e-07,1.553789,0.0
7.293245960000001e-07,1.553263,0.0
7.51425341e-07,1.552793,0.0
7.74907383e-07,1.55218,0.0
7.999043950000001e-07,1.551,0.0
8.26567875e-07,1.550343,0.0
8.55070216e-07,1.550108,0.0
8.85608438e-07,1.550041,0.0
9.184087500000002e-07,1.549522,0.0
9.53732164e-07,1.5487,0.0
9.9188145e-07,1.548082,0.0
1.03320984e-06,1.547981,0.0
1.0781320100000002e-06,1.547915,0.0
1.12713801e-06,1.547587,0.0
1.1808112500000001e-06,1.547156,0.0
1.2398518099999999e-06,1.546833,0.0
1.3051071700000002e-06,1.546602,0.0
1.3776131300000001e-06,1.546376,0.0
1.4586491900000002e-06,1.54613,0.0
1.54981477e-06,1.545837,0.0
1.65313575e-06,1.545472,0.0
1.7712168800000001e-06,1.545009,0.0
1.90746433e-06,1.544423,0.0
