wavelength[m],n,k
2.06641969e-07,1.16,1.21
2.08378456e-07,1.1675,1.21625
2.1014437500000002e-07,1.18,1.22
2.1194048100000003e-07,1.195,1.22125
2.13767554e-07,1.21,1.22
2.1562640200000003e-07,1.22125,1.215
2.1751786200000003e-07,1.23,1.21
2.1944279900000003e-07,1.23625,1.210625
2.21402109e-07,1.24,1.21
2.2339672300000003e-07,1.244375,1.2025
2.25427602e-07,1.24,1.19
2.2749574500000002e-07,1.199375,1.165
2.2960218800000001e-07,1.18,1.15
2.3174800200000003e-07,1.266875,1.178125
2.33934304e-07,1.35,1.21
2.3616225000000003e-07,1.31625,1.20875
2.38433041e-07,1.26,1.2
2.40747925e-07,1.25,1.19875
2.4310819900000004e-07,1.25,1.2
2.4551521000000003e-07,1.245625,1.204375
2.47970363e-07,1.24,1.21
2.50475114e-07,1.23,1.215
2.53030982e-07,1.22,1.22
2.55639549e-07,1.215625,1.224375
2.58302461e-07,1.21,1.23
2.61021434e-07,1.195,1.23875
2.63798258e-07,1.18,1.25
2.66634798e-07,1.174375,1.264375
2.6953300300000005e-07,1.17,1.28
2.7249490400000003e-07,1.160625,1.295625
2.75522625e-07,1.15,1.31
2.78618385e-07,1.140625,1.319375
2.81784503e-07,1.13,1.33
2.8502340500000006e-07,1.116875,1.346875
2.88337631e-07,1.1,1.37
2.91729838e-07,1.07375,1.401875
2.9520281300000004e-07,1.05,1.44
2.9875947300000006e-07,1.041875,1.484375
3.02402881e-07,1.04,1.53
3.0613625e-07,1.038125,1.568125
3.09962953e-07,1.04,1.61
3.13886535e-07,1.046875,1.66875
3.1791072100000004e-07,1.06,1.73
3.22039432e-07,1.0825,1.783125
3.26276793e-07,1.11,1.83
3.3062715e-07,1.13875,1.8675
3.35095085e-07,1.17,1.9
3.3968542800000003e-07,1.205,1.93125
3.4440328100000003e-07,1.24,1.96
3.49254032e-07,1.27,1.985625
3.5424337500000004e-07,1.3,2.01
3.59377337e-07,1.334375,2.03625
3.6466229800000006e-07,1.37,2.06
3.7010501900000006e-07,1.405625,2.07625
3.75712671e-07,1.44,2.09
3.8149286600000003e-07,1.47125,2.105
3.87453692e-07,1.5,2.12
3.9360375000000003e-07,1.52625,2.135625
3.99952198e-07,1.55,2.15
4.06508791e-07,1.570625,2.159375
4.13283938e-07,1.59,2.17
4.2028875000000003e-07,1.609375,2.18875
4.27535108e-07,1.63,2.21
4.3503572400000006e-07,1.655625,2.23
4.42804219e-07,1.68,2.25
4.50855205e-07,1.695625,2.269375
4.592043750000001e-07,1.71,2.29
4.67868609e-07,1.73,2.314375
4.76866082e-07,1.75,2.34
4.86216397e-07,1.765625,2.363125
4.95940725e-07,1.78,2.39
5.06061964e-07,1.79375,2.4275
5.16604922e-07,1.81,2.47
5.27596516e-07,1.833125,2.513125
5.390660060000001e-07,1.86,2.56
5.5104525e-07,1.8875,2.614375
5.63569006e-07,1.92,2.67
5.76675262e-07,1.9625,2.72
5.904056250000001e-07,2.01,2.77
6.04805762e-07,2.05875,2.824375
6.19925906e-07,2.11,2.88
6.358214430000001e-07,2.1625,2.934375
6.52553586e-07,2.22,2.99
6.70190169e-07,2.285625,3.049375
6.888065630000001e-07,2.36,3.11
7.084867500000001e-07,2.44625,3.173125
7.293245960000001e-07,2.54,3.23
7.51425341e-07,2.63625,3.27125
7.74907383e-07,2.74,3.3
7.999043950000001e-07,2.860625,3.316875
8.26567875e-07,2.98,3.32
8.55070216e-07,3.083125,3.303125
8.85608438e-07,3.17,3.28
9.184087500000002e-07,3.2325,3.259375
9.53732164e-07,3.28,3.25
9.9188145e-07,3.314375,3.266875
1.03320984e-06,3.35,3.3
1.0781320100000002e-06,3.405,3.345625
1.12713801e-06,3.47,3.4
1.1808112500000001e-06,3.5425,3.459375
1.2398518099999999e-06,3.62,3.52
