wavelength[m],n,k
2.5000000000000004e-07,2.42976,1.507884
2.6e-07,2.48595,1.406543
2.7e-07,2.467352,1.316254
2.8e-07,2.444448,1.25898
2.9000000000000003e-07,2.41597,1.217836
3.0000000000000004e-07,2.392201,1.177332
3.1e-07,2.363621,1.153906
3.2e-07,2.331983,1.132747
3.3e-07,2.308679,1.112451
3.4000000000000003e-07,2.279104,1.089293
3.5000000000000004e-07,2.250201,1.062545
3.6000000000000005e-07,2.212856,1.035967
3.7e-07,2.16345,1.015729
3.8e-07,2.115588,0.9991356
3.9e-07,2.066675,0.9798402
4.0000000000000003e-07,2.006784,0.955547
4.1000000000000004e-07,1.92486,0.9298339
4.2e-07,1.822938,0.9151643
4.3e-07,1.70969,0.9260566
4.4e-07,1.597801,0.9630913
4.5000000000000003e-07,1.488445,1.013111
4.6000000000000004e-07,1.39151,1.092929
4.7000000000000005e-07,1.308694,1.169469
4.800000000000001e-07,1.235894,1.260144
4.900000000000001e-07,1.177942,1.349713
5.000000000000001e-07,1.133082,1.440328
5.1e-07,1.088692,1.530122
5.2e-07,1.052595,1.61716
5.3e-07,1.023917,1.711449
5.4e-07,0.9975038,1.798456
5.5e-07,0.9719287,1.885273
5.6e-07,0.9535893,1.973033
5.7e-07,0.9284891,2.051905
5.800000000000001e-07,0.9141084,2.13518
5.900000000000001e-07,0.9037507,2.215129
6.000000000000001e-07,0.8799542,2.300556
6.100000000000001e-07,0.870392,2.378179
6.2e-07,0.8626603,2.45375
6.3e-07,0.8579503,2.538816
6.4e-07,0.8481827,2.61162
6.5e-07,0.8453302,2.688656
6.6e-07,0.8380501,2.772016
6.7e-07,0.8279878,2.848136
6.800000000000001e-07,0.8333197,2.918583
6.900000000000001e-07,0.836538,2.998694
7.000000000000001e-07,0.8309922,3.076175
7.100000000000001e-07,0.8396079,3.146391
7.200000000000001e-07,0.8367392,3.21804
7.3e-07,0.8423401,3.287368
7.4e-07,0.8417196,3.350506
7.5e-07,0.8481517,3.42523
7.6e-07,0.855084,3.493409
7.7e-07,0.8626277,3.571553
7.8e-07,0.8550511,3.636459
7.900000000000001e-07,0.8692209,3.693867
8.000000000000001e-07,0.8723872,3.762862
8.100000000000001e-07,0.8895615,3.837438
8.200000000000001e-07,0.882475,3.90615
8.300000000000001e-07,0.900889,3.974903
8.4e-07,0.9098627,4.031501
8.5e-07,0.9113531,4.07859
8.6e-07,0.9124821,4.129285
8.7e-07,0.9269625,4.19353
8.8e-07,0.9386045,4.254533
8.900000000000001e-07,0.9379632,4.25381
9.000000000000001e-07,0.9216938,4.180828
