wavelength[m],n,k
1.8000000000000002e-07,1.37019,1.997964
1.9e-07,1.534815,1.831156
2.0000000000000002e-07,1.535841,1.695833
2.1e-07,1.46,1.65
2.2e-07,1.432837,1.806336
2.3000000000000002e-07,1.442563,2.084044
2.4000000000000003e-07,1.36258,2.453466
2.5000000000000004e-07,1.365019,2.84727
2.6e-07,1.627345,3.197447
2.7e-07,1.951944,3.43182
2.8e-07,3.355264,3.560599
2.9000000000000003e-07,3.834933,3.534669
3.0000000000000004e-07,4.731623,3.280252
3.1e-07,5.235255,2.734377
3.2e-07,5.391313,2.07589
3.3e-07,5.291131,1.569794
3.4000000000000003e-07,4.968719,1.092588
3.5000000000000004e-07,4.477277,0.650811
3.6000000000000005e-07,3.87,0.251
3.7e-07,3.661326,0.033002
3.8e-07,3.498406,0.0
3.9e-07,3.375304,0.0
4.0000000000000003e-07,3.286087,0.0
4.1000000000000004e-07,3.224818,0.0
4.2e-07,3.185565,0.0
4.3e-07,3.162391,0.0
4.4e-07,3.149362,0.0
4.5000000000000003e-07,3.140544,0.0
4.6000000000000004e-07,3.13,0.0
4.7000000000000005e-07,3.104125,0.0
4.800000000000001e-07,3.08,0.0
4.900000000000001e-07,3.05375,0.0
5.000000000000001e-07,3.03,0.0
5.1e-07,3.01375,0.0
5.2e-07,3.0,0.0
5.3e-07,2.985,0.0
5.4e-07,2.97,0.0
5.5e-07,2.954375,0.0
5.6e-07,2.94,0.0
5.7e-07,2.929375,0.0
5.800000000000001e-07,2.92,0.0
5.900000000000001e-07,2.91,0.0
6.000000000000001e-07,2.9,0.0
6.100000000000001e-07,2.889375,0.0
6.2e-07,2.88,0.0
6.3e-07,2.875,0.0
6.4e-07,2.87,0.0
6.5e-07,2.86,0.0
6.6e-07,2.85,0.0
6.7e-07,2.844375,0.0
6.800000000000001e-07,2.84,0.0
6.900000000000001e-07,2.835,0.0
7.000000000000001e-07,2.83,0.0
7.100000000000001e-07,2.825,0.0
7.200000000000001e-07,2.82,0.0
7.3e-07,2.814375,0.0
7.4e-07,2.81,0.0
7.5e-07,2.81,0.0
7.6e-07,2.81,0.0
7.7e-07,2.805625,0.0
7.8e-07,2.8,0.0
7.900000000000001e-07,2.794375,0.0
8.000000000000001e-07,2.79,0.0
8.100000000000001e-07,2.79,0.0
8.200000000000001e-07,2.79,0.0
8.300000000000001e-07,2.785,0.0
8.4e-07,2.78,0.0
8.5e-07,2.78,0.0
8.6e-07,2.78,0.0
8.7e-07,2.775,0.0
8.8e-07,2.77,0.0
8.900000000000001e-07,2.77,0.0
9.000000000000001e-07,2.77,0.0
9.100000000000001e-07,2.765,0.0
9.200000000000001e-07,2.76,0.0
9.300000000000001e-07,2.759375,0.0
9.400000000000001e-07,2.76,0.0
9.5e-07,2.760625,0.0
9.600000000000001e-07,2.76,0.0
9.7e-07,2.755,0.0
9.800000000000001e-07,2.75,0.0
9.9e-07,2.748996,0.0
1.0000000000000002e-06,2.75,0.0
1.01e-06,2.74975,0.0
1.02e-06,2.749351,0.0
1.03e-06,2.748815,0.0
1.04e-06,2.748156,0.0
1.0500000000000001e-06,2.747386,0.0
1.06e-06,2.74652,0.0
1.0700000000000001e-06,2.745568,0.0
1.08e-06,2.744545,0.0
1.0900000000000002e-06,2.743464,0.0
1.1e-06,2.742338,0.0
1.1100000000000002e-06,2.741179,0.0
1.12e-06,2.74,0.0
1.13e-06,2.739,0.0
1.14e-06,2.73799,0.0
1.15e-06,2.736974,0.0
1.1600000000000001e-06,2.735957,0.0
1.17e-06,2.73494,0.0
1.1800000000000001e-06,2.733929,0.0
1.19e-06,2.732925,0.0
1.2000000000000002e-06,2.731934,0.0
1.21e-06,2.730958,0.0
1.2200000000000002e-06,2.73,0.0
1.23e-06,2.729331,0.0
1.24e-06,2.728702,0.0
1.25e-06,2.728108,0.0
1.26e-06,2.727544,0.0
1.2700000000000001e-06,2.727005,0.0
1.28e-06,2.726486,0.0
1.2900000000000001e-06,2.725982,0.0
1.3e-06,2.725489,0.0
1.3100000000000002e-06,2.725,0.0
1.32e-06,2.724511,0.0
1.3300000000000002e-06,2.724018,0.0
1.34e-06,2.723514,0.0
1.35e-06,2.722995,0.0
1.3600000000000001e-06,2.722456,0.0
1.37e-06,2.721892,0.0
1.3800000000000001e-06,2.721298,0.0
1.39e-06,2.720669,0.0
1.4000000000000001e-06,2.72,0.0
1.41e-06,2.719286,0.0
1.4200000000000002e-06,2.718521,0.0
1.43e-06,2.717702,0.0
1.4400000000000002e-06,2.716822,0.0
1.45e-06,2.715877,0.0
1.46e-06,2.714862,0.0
1.4700000000000001e-06,2.713772,0.0
1.48e-06,2.712601,0.0
1.4900000000000001e-06,2.711346,0.0
1.5e-06,2.71,0.0
