wavelength[m],n,k
2.2e-07,1.630878,1.471907
2.3000000000000002e-07,1.789397,1.452089
2.4000000000000003e-07,1.946086,1.430497
2.5000000000000004e-07,2.099441,1.406145
2.6e-07,2.247953,1.378046
2.7e-07,2.389973,1.344965
2.8e-07,2.524209,1.306285
2.9000000000000003e-07,2.649512,1.261627
3.0000000000000004e-07,2.764758,1.210657
3.1e-07,2.86932,1.153934
3.2e-07,2.96221,1.091504
3.3e-07,3.043489,1.024528
3.4000000000000003e-07,3.112588,0.953634
3.5000000000000004e-07,3.169961,0.8801
3.6000000000000005e-07,3.215683,0.805094
3.7e-07,3.250392,0.729769
3.8e-07,3.274793,0.655348
3.9e-07,3.289671,0.58291
4.0000000000000003e-07,3.296084,0.513395
4.1000000000000004e-07,3.294974,0.44782
4.2e-07,3.287477,0.386564
4.3e-07,3.274705,0.330474
4.4e-07,3.257636,0.279487
4.5000000000000003e-07,3.237384,0.233983
4.6000000000000004e-07,3.214759,0.193778
4.7000000000000005e-07,3.190674,0.158778
4.800000000000001e-07,3.165808,0.12871
4.900000000000001e-07,3.14073,0.103166
5.000000000000001e-07,3.116008,0.081786
5.1e-07,3.091903,0.064094
5.2e-07,3.068858,0.049652
5.3e-07,3.046911,0.038034
5.4e-07,3.026308,0.028767
5.5e-07,3.00702,0.021518
5.6e-07,2.9891,0.015886
5.7e-07,2.972505,0.01159
5.800000000000001e-07,2.957167,0.008352
5.900000000000001e-07,2.943022,0.005932
6.000000000000001e-07,2.929979,0.004172
6.100000000000001e-07,2.917956,0.002879
6.2e-07,2.906865,0.001978
6.3e-07,2.896612,0.001323
6.4e-07,2.88713,0.000883
6.5e-07,2.878332,0.000575
6.6e-07,2.870163,0.000371
6.7e-07,2.862559,0.000236
6.800000000000001e-07,2.855468,0.000146
6.900000000000001e-07,2.848844,9.1e-05
7.000000000000001e-07,2.84264,5.4e-05
7.100000000000001e-07,2.836828,3.3e-05
7.200000000000001e-07,2.831368,1.9e-05
7.3e-07,2.826241,1.2e-05
7.4e-07,2.821414,6e-06
7.5e-07,2.816868,4e-06
7.6e-07,2.812582,2e-06
7.7e-07,2.808537,1e-06
7.8e-07,2.804714,1e-06
7.900000000000001e-07,2.801096,0.0
8.000000000000001e-07,2.797669,0.0
8.100000000000001e-07,2.794419,0.0
8.200000000000001e-07,2.791334,0.0
8.300000000000001e-07,2.788399,0.0
8.4e-07,2.785603,0.0
8.5e-07,2.782935,0.0
8.6e-07,2.780385,0.0
8.7e-07,2.777945,0.0
8.8e-07,2.775605,0.0
8.900000000000001e-07,2.773357,0.0
9.000000000000001e-07,2.771193,0.0
9.100000000000001e-07,2.769108,0.0
9.200000000000001e-07,2.767097,0.0
9.300000000000001e-07,2.765156,0.0
9.400000000000001e-07,2.763281,0.0
9.5e-07,2.76147,0.0
9.600000000000001e-07,2.759719,0.0
9.7e-07,2.758027,0.0
9.800000000000001e-07,2.75639,0.0
9.9e-07,2.754807,0.0
1.0000000000000002e-06,2.753277,0.0
1.01e-06,2.751797,0.0
1.02e-06,2.750367,0.0
1.03e-06,2.748984,0.0
1.04e-06,2.747645,0.0
1.0500000000000001e-06,2.746349,0.0
1.06e-06,2.745093,0.0
1.0700000000000001e-06,2.743873,0.0
1.08e-06,2.742687,0.0
1.0900000000000002e-06,2.741531,0.0
1.1e-06,2.740401,0.0
1.1100000000000002e-06,2.739295,0.0
1.12e-06,2.73821,0.0
1.13e-06,2.737143,0.0
1.14e-06,2.73609,0.0
1.15e-06,2.73505,0.0
1.1600000000000001e-06,2.73402,0.0
1.17e-06,2.732999,0.0
1.1800000000000001e-06,2.731984,0.0
1.19e-06,2.730976,0.0
1.2000000000000002e-06,2.729973,0.0
1.21e-06,2.728975,0.0
1.2200000000000002e-06,2.727982,0.0
1.23e-06,2.726995,0.0
1.24e-06,2.726016,0.0
1.25e-06,2.725044,0.0
1.26e-06,2.724083,0.0
1.2700000000000001e-06,2.723136,0.0
1.28e-06,2.722205,0.0
1.2900000000000001e-06,2.721292,0.0
1.3e-06,2.720401,0.0
