wavelength[m],n,k
6.358214430000001e-08,0.64,0.04
6.390988730000001e-08,0.624,0.039
6.42410266e-08,0.611,0.041
6.45756153e-08,0.597,0.045
6.49137075e-08,0.583,0.051
6.52553586e-08,0.571,0.058
6.5600625e-08,0.558,0.068
6.59495645e-08,0.55,0.078
6.6302236e-08,0.538,0.088
6.66586996e-08,0.531,0.1
6.70190169e-08,0.524,0.111
6.738325070000001e-08,0.517,0.122
6.77514652e-08,0.512,0.134
6.812372600000001e-08,0.507,0.146
6.850010020000001e-08,0.504,0.157
6.88806563e-08,0.5,0.167
6.92654644e-08,0.497,0.178
6.96545962e-08,0.495,0.189
7.004812500000001e-08,0.493,0.199
7.04461257e-08,0.491,0.209
7.0848675e-08,0.489,0.219
7.125585130000001e-08,0.488,0.229
7.16677349e-08,0.487,0.238
7.20844077e-08,0.486,0.246
7.2505954e-08,0.485,0.255
7.29324596e-08,0.484,0.264
7.33640126e-08,0.483,0.272
7.380070310000002e-08,0.482,0.281
7.42426235e-08,0.481,0.29
7.468986820000002e-08,0.48,0.298
7.514253410000001e-08,0.478,0.306
7.56007203e-08,0.477,0.315
7.60645284e-08,0.476,0.324
7.65340625e-08,0.475,0.332
7.700942940000001e-08,0.473,0.342
7.74907383e-08,0.474,0.351
7.79781014e-08,0.473,0.36
7.84716337e-08,0.473,0.37
7.897145310000001e-08,0.473,0.378
7.947768030000001e-08,0.472,0.388
7.99904395e-08,0.472,0.397
8.0509858e-08,0.472,0.406
8.10360662e-08,0.472,0.416
8.15691982e-08,0.473,0.426
8.21093916e-08,0.474,0.435
8.26567875e-08,0.475,0.445
8.32115311e-08,0.476,0.455
8.37737711e-08,0.478,0.464
8.434366070000001e-08,0.48,0.474
8.492135700000001e-08,0.482,0.481
8.55070216e-08,0.484,0.491
8.61008203e-08,0.487,0.501
8.670292400000001e-08,0.49,0.509
8.7313508e-08,0.492,0.517
8.79327527e-08,0.495,0.525
8.856084380000001e-08,0.498,0.532
8.91979722e-08,0.5,0.539
8.98443343e-08,0.501,0.547
9.050013230000001e-08,0.504,0.555
9.116557450000002e-08,0.507,0.561
9.1840875e-08,0.507,0.568
9.25262547e-08,0.509,0.576
9.322194080000001e-08,0.509,0.584
9.39281676e-08,0.511,0.592
9.464517660000001e-08,0.513,0.6
9.537321640000001e-08,0.515,0.608
9.61125436e-08,0.516,0.617
9.686342290000002e-08,0.52,0.626
9.7626127e-08,0.524,0.633
9.840093750000001e-08,0.516,0.639
9.918814500000001e-08,0.519,0.647
9.99880494e-08,0.533,0.653
1.0080096e-07,0.536,0.658
1.0162719800000002e-07,0.539,0.663
1.02467092e-07,0.54,0.666
1.03320984e-07,0.54,0.669
1.04189228e-07,0.539,0.673
1.0507218800000001e-07,0.538,0.676
1.0597024000000001e-07,0.534,0.679
1.06883777e-07,0.527,0.684
1.0781320100000002e-07,0.51,0.693
1.0875893100000002e-07,0.516,0.703
1.0972139900000001e-07,0.51,0.712
1.1070105500000001e-07,0.501,0.724
1.1169836200000001e-07,0.496,0.739
1.12713801e-07,0.492,0.756
1.1374787300000001e-07,0.491,0.172
1.1480109400000001e-07,0.491,0.789
1.1587400100000001e-07,0.494,0.805
1.16967152e-07,0.498,0.812
1.1808112500000001e-07,0.506,0.834
1.1921652e-07,0.511,0.843
1.20373962e-07,0.516,0.851
1.21554099e-07,0.52,0.854
1.2275760500000002e-07,0.516,0.859
1.23985181e-07,0.513,0.865
1.25237557e-07,0.506,0.869
1.26515491e-07,0.493,0.819
1.2781977500000002e-07,0.483,0.893
1.29151231e-07,0.412,0.91
1.30510717e-07,0.462,0.929
1.31899129e-07,0.454,0.95
1.33317399e-07,0.446,0.912
1.3476650100000002e-07,0.44,0.995
1.3624745200000001e-07,0.434,1.021
1.37761313e-07,0.429,1.041
1.39309192e-07,0.424,1.016
1.40892251e-07,0.424,1.106
1.42511703e-07,0.425,1.135
1.4416881500000002e-07,0.426,1.164
1.45864919e-07,0.421,1.195
1.4760140600000002e-07,0.431,1.228
1.4937973600000003e-07,0.437,1.26
1.51201441e-07,0.444,1.191
1.53068125e-07,0.451,1.314
1.54981477e-07,0.462,1.362
1.56943267e-07,0.47,1.388
1.5895536100000002e-07,0.48,1.421
1.61019716e-07,0.491,1.456
1.6313839600000002e-07,0.503,1.49
1.65313575e-07,0.52,1.517
1.67547542e-07,0.537,1.56
1.6984271400000002e-07,0.554,1.595
1.7220164100000002e-07,0.573,1.626
1.74627016e-07,0.592,1.662
1.7712168800000002e-07,0.609,1.695
1.79688669e-07,0.629,1.731
1.8233114900000003e-07,0.65,1.771
1.85052509e-07,0.673,1.81
1.87856335e-07,0.699,1.853
1.9074643300000002e-07,0.73,1.894
1.93726846e-07,0.768,1.931
1.9680187500000001e-07,0.807,1.977
1.99976099e-07,0.851,2.013
2.0325439600000004e-07,0.895,2.048
2.06641969e-07,0.946,2.081
2.1014437500000002e-07,0.998,2.108
2.13767554e-07,1.045,2.128
2.1751786200000003e-07,1.093,2.152
2.21402109e-07,1.143,2.174
2.25427602e-07,1.193,2.196
2.2960218800000001e-07,1.251,2.216
2.33934304e-07,1.306,2.229
2.38433041e-07,1.363,2.239
2.4310819900000004e-07,1.42,2.243
2.47970363e-07,1.471,2.242
2.53030982e-07,1.523,2.242
2.58302461e-07,1.57,2.237
2.63798258e-07,1.614,2.236
2.6953300300000005e-07,1.659,2.131
2.75522625e-07,1.701,2.224
2.81784503e-07,1.738,2.118
2.88337631e-07,1.775,2.209
2.9520281300000004e-07,1.805,2.202
3.02402881e-07,1.834,2.198
3.09962953e-07,1.862,2.194
3.1791072100000004e-07,1.885,2.194
3.26276793e-07,1.907,2.203
3.35095085e-07,1.94,2.204
3.4440328100000003e-07,1.966,2.202
3.5424337500000004e-07,1.978,2.202
3.6466229800000006e-07,1.986,2.216
3.75712671e-07,1.998,2.243
3.87453692e-07,2.024,2.274
3.99952198e-07,2.054,2.302
4.13283938e-07,2.089,2.311
4.27535108e-07,2.105,2.338
4.42804219e-07,2.114,2.371
4.592043750000001e-07,2.125,2.423
4.76866082e-07,2.148,2.486
4.95940725e-07,2.179,2.56
5.16604922e-07,2.226,2.644
5.390660060000001e-07,2.294,2.734
5.63569006e-07,2.384,2.824
5.904056250000001e-07,2.504,2.901
6.19925906e-07,2.648,2.943
6.52553586e-07,2.78,2.934
6.888065630000001e-07,2.862,2.889
