wavelength[m],n,k
2.06641969e-07,1.14,2.18
2.08378456e-07,1.141875,2.191875
2.1014437500000002e-07,1.14,2.2
2.1194048100000003e-07,1.135625,2.205625
2.13767554e-07,1.13,2.21
2.1562640200000003e-07,1.124375,2.215625
2.1751786200000003e-07,1.12,2.22
2.1944279900000003e-07,1.11875,2.22125
2.21402109e-07,1.12,2.22
2.2339672300000003e-07,1.124375,2.215
2.25427602e-07,1.13,2.21
2.2749574500000002e-07,1.134375,2.209375
2.2960218800000001e-07,1.14,2.21
2.3174800200000003e-07,1.15,2.21
2.33934304e-07,1.16,2.21
2.3616225000000003e-07,1.164375,2.211875
2.38433041e-07,1.17,2.21
2.40747925e-07,1.18375,2.194375
2.4310819900000004e-07,1.2,2.18
2.4551521000000003e-07,1.215,2.1825
2.47970363e-07,1.23,2.19
2.50475114e-07,1.244375,2.195625
2.53030982e-07,1.26,2.2
2.55639549e-07,1.281875,2.195
2.58302461e-07,1.3,2.2
2.61021434e-07,1.30125,2.24125
2.63798258e-07,1.3,2.29
2.66634798e-07,1.30875,2.32125
2.6953300300000005e-07,1.32,2.35
2.7249490400000003e-07,1.328125,2.38375
2.75522625e-07,1.34,2.42
2.78618385e-07,1.365,2.46
2.81784503e-07,1.39,2.5
2.8502340500000006e-07,1.4,2.535
2.88337631e-07,1.41,2.57
2.91729838e-07,1.433125,2.609375
2.9520281300000004e-07,1.46,2.65
2.9875947300000006e-07,1.485,2.69
3.02402881e-07,1.51,2.73
3.0613625e-07,1.533125,2.77
3.09962953e-07,1.56,2.81
3.13886535e-07,1.5975,2.85
3.1791072100000004e-07,1.64,2.89
3.22039432e-07,1.683125,2.929375
3.26276793e-07,1.73,2.97
3.3062715e-07,1.783125,3.015
3.35095085e-07,1.84,3.06
3.3968542800000003e-07,1.9,3.100625
3.4440328100000003e-07,1.96,3.14
3.49254032e-07,2.015625,3.1825
3.5424337500000004e-07,2.07,3.22
3.59377337e-07,2.124375,3.241875
3.6466229800000006e-07,2.18,3.26
3.7010501900000006e-07,2.239375,3.28625
3.75712671e-07,2.3,3.31
3.8149286600000003e-07,2.359375,3.32
3.87453692e-07,2.42,3.33
3.9360375000000003e-07,2.4825,3.35625
3.99952198e-07,2.55,3.38
4.06508791e-07,2.63,3.380625
4.13283938e-07,2.71,3.38
4.2028875000000003e-07,2.773125,3.40125
4.27535108e-07,2.84,3.42
4.3503572400000006e-07,2.933125,3.41375
4.42804219e-07,3.03,3.4
4.50855205e-07,3.11125,3.391875
4.592043750000001e-07,3.19,3.38
4.67868609e-07,3.274375,3.358125
4.76866082e-07,3.36,3.33
4.86216397e-07,3.449375,3.29875
4.95940725e-07,3.53,3.26
5.06061964e-07,3.5875,3.206875
5.16604922e-07,3.63,3.15
5.27596516e-07,3.66125,3.0975
5.390660060000001e-07,3.68,3.05
5.5104525e-07,3.685,3.01125
5.63569006e-07,3.68,2.98
5.76675262e-07,3.67125,2.95625
5.904056250000001e-07,3.65,2.94
6.04805762e-07,3.60125,2.92875
6.19925906e-07,3.55,2.93
6.358214430000001e-07,3.523125,2.955625
6.52553586e-07,3.5,2.99
6.70190169e-07,3.463125,3.021875
6.888065630000001e-07,3.43,3.05
7.084867500000001e-07,3.415,3.065
7.293245960000001e-07,3.41,3.08
7.51425341e-07,3.410625,3.109375
7.74907383e-07,3.42,3.14
7.999043950000001e-07,3.448125,3.16125
8.26567875e-07,3.47,3.18
8.55070216e-07,3.45625,3.196875
8.85608438e-07,3.43,3.22
9.184087500000002e-07,3.414375,3.253125
9.53732164e-07,3.38,3.31
9.9188145e-07,3.296875,3.41
1.03320984e-06,3.19,3.54
1.0781320100000002e-06,3.074375,3.684375
1.12713801e-06,2.95,3.87
1.1808112500000001e-06,2.813125,4.13375
1.2398518099999999e-06,2.69,4.43
1.3051071700000002e-06,2.61125,4.713125
1.3776131300000001e-06,2.56,5.02
1.4586491900000002e-06,2.529375,5.365625
1.54981477e-06,2.52,5.77
1.65313575e-06,2.53375,6.261875
1.7712168800000001e-06,2.56,6.83
1.90746433e-06,2.58625,7.48
2.0664196900000003e-06,2.62,8.19
2.25427602e-06,2.66375,8.945
2.47970363e-06,2.72,9.73
