wavelength[m],n,k
6.19925906e-09,1.0,0.0
6.28909884e-09,1.0,0.0
6.38158083e-09,1.0,0.0
6.476823330000001e-09,1.0,0.0
6.57495181e-09,1.0,0.0
6.67609947e-09,1.0,0.0
6.78040782e-09,1.0,0.0
6.8880273600000005e-09,1.0,0.0
6.999118300000001e-09,1.0,0.0
7.11385137e-09,1.0,0.0
7.23240864e-09,1.0,0.0
7.35498456e-09,1.0,0.0
7.48178699e-09,1.0,0.0
7.61303835e-09,1.0,0.0
7.74897697e-09,1.0,0.0
7.889858490000001e-09,1.0,0.0
8.03595751e-09,1.0,0.0
8.18756934e-09,1.0,0.0
8.345012000000002e-09,1.0,0.0
8.508628460000002e-09,1.0,0.0
8.678789110000002e-09,1.0,0.0
8.855894610000001e-09,1.0,0.0
9.040378960000001e-09,1.0,0.0
9.232713130000001e-09,1.0,0.0
9.43340901e-09,1.0,0.0
9.643024020000001e-09,1.0,0.0
9.86216622e-09,1.0,0.0
1.00915003e-08,1.0,0.0
1.0331754e-08,1.0,0.0
1.05837265e-08,1.0,0.0
1.0848296600000001e-08,1.0,0.0
1.1126433e-08,1.0,0.0
1.1419206900000001e-08,1.0,0.0
1.1727805000000002e-08,1.0,0.0
1.2053545700000002e-08,1.0,0.0
1.23978982e-08,1.0,0.0
1.2762504800000001e-08,1.0,0.0
1.31492063e-08,1.0,0.0
1.35600741e-08,1.0,0.0
1.39974464e-08,1.0,0.0
1.44639736e-08,1.0,0.0
1.49626711e-08,1.0,0.0
1.5496985400000002e-08,1.0,0.0
1.60708734e-08,1.0,0.0
1.66889007e-08,1.0,0.0
1.7356363300000002e-08,1.0,0.0
1.80794397e-08,1.0,0.0
1.88653826e-08,1.0,0.0
1.97227636e-08,1.0,0.0
2.06617863e-08,1.0,0.0
2.16946949e-08,1.0,0.0
2.2836310600000003e-08,1.0,0.0
2.41047479e-08,1.0,0.0
2.5522382400000005e-08,1.0,0.0
2.7117182400000002e-08,1.0,0.0
2.8924572800000002e-08,1.0,0.0
3.09900973e-08,1.0,0.0
3.3373309300000005e-08,1.0,0.0
3.61536074e-08,1.0,0.0
3.94392535e-08,1.0,0.0
4.33817989e-08,1.0,0.0
4.82001249e-08,1.0,0.0
5.42225056e-08,1.0,0.0
6.196470650000001e-08,1.0,0.0
7.228613650000001e-08,1.0,0.0
8.67332503e-08,1.0,0.0
1.08397606e-07,1.0,0.0
1.44488033e-07,1.0,0.0
2.1660583700000002e-07,1.0,0.0
4.3245616100000005e-07,1.0,0.0
0.000123985181,1.0,0.0
