wavelength[m],n,k
2.53030982e-07,2.502,3.265
2.55639549e-07,2.488438,3.267938
2.58302461e-07,2.49,3.282
2.61021434e-07,2.503313,3.300313
2.63798258e-07,2.525,3.316
2.66634798e-07,2.551375,3.314
2.6953300300000005e-07,2.58,3.312
2.7249490400000003e-07,2.603687,3.32875
2.75522625e-07,2.633,3.346
2.78618385e-07,2.67875,3.34925
2.81784503e-07,2.733,3.346
2.8502340500000006e-07,2.795875,3.336562
2.88337631e-07,2.854,3.328
2.91729838e-07,2.885313,3.332438
2.9520281300000004e-07,2.916,3.335
2.9875947300000006e-07,2.971062,3.322375
3.02402881e-07,3.032,3.302
3.0613625e-07,3.08875,3.275625
3.09962953e-07,3.141,3.247
3.13886535e-07,3.181438,3.222938
3.1791072100000004e-07,3.221,3.196
3.22039432e-07,3.273438,3.157937
3.26276793e-07,3.323,3.118
3.3062715e-07,3.354687,3.08325
3.35095085e-07,3.38,3.052
3.3968542800000003e-07,3.405625,3.027375
3.4440328100000003e-07,3.431,3.002
3.49254032e-07,3.457688,2.968188
3.5424337500000004e-07,3.486,2.93
3.59377337e-07,3.51875,2.888938
3.6466229800000006e-07,3.55,2.845
3.7010501900000006e-07,3.575,2.796375
3.75712671e-07,3.593,2.75
3.8149286600000003e-07,3.600187,2.714937
3.87453692e-07,3.601,2.683
3.9360375000000003e-07,3.599437,2.646188
3.99952198e-07,3.593,2.613
4.06508791e-07,3.577875,2.589813
4.13283938e-07,3.562,2.575
4.2028875000000003e-07,3.553188,2.570563
4.27535108e-07,3.548,2.572
4.3503572400000006e-07,3.545625,2.575
4.42804219e-07,3.546,2.581
4.50855205e-07,3.54775,2.590062
4.592043750000001e-07,3.554,2.602
4.67868609e-07,3.56875,2.618062
4.76866082e-07,3.588,2.634
4.86216397e-07,3.60975,2.64475
4.95940725e-07,3.632,2.654
5.06061964e-07,3.651188,2.662938
5.16604922e-07,3.67,2.674
5.27596516e-07,3.688937,2.6905
5.390660060000001e-07,3.711,2.711
5.5104525e-07,3.740062,2.735625
5.63569006e-07,3.774,2.763
5.76675262e-07,3.809,2.79225
5.904056250000001e-07,3.854,2.822
6.04805762e-07,3.918625,2.854625
6.19925906e-07,3.997,2.878
6.358214430000001e-07,4.093375,2.879062
6.52553586e-07,4.187,2.863
6.70190169e-07,4.2555,2.82525
6.888065630000001e-07,4.308,2.782
7.084867500000001e-07,4.342625,2.74975
7.293245960000001e-07,4.37,2.723
7.51425341e-07,4.402812,2.700688
7.74907383e-07,4.433,2.686
7.999043950000001e-07,4.454438,2.681437
8.26567875e-07,4.474,2.688
8.55070216e-07,4.483375,2.712125
8.85608438e-07,4.522,2.74
9.184087500000002e-07,4.646687,2.76875
9.53732164e-07,4.797,2.772
9.9188145e-07,4.94225,2.719687
1.03320984e-06,5.05,2.62
1.0781320100000002e-06,5.06675,2.45225
1.12713801e-06,5.025,2.273
1.1808112500000001e-06,4.93075,2.131625
1.2398518099999999e-06,4.81,2.029
1.3051071700000002e-06,4.704875,1.985687
1.3776131300000001e-06,4.573,1.992
1.4586491900000002e-06,4.378,2.046813
1.54981477e-06,4.144,2.145
1.65313575e-06,3.881813,2.254
1.7712168800000001e-06,3.595,2.455
1.90746433e-06,3.27,2.838938
2.0664196900000003e-06,2.969,3.344
2.25427602e-06,2.7495,3.908813
2.47970363e-06,2.612,4.623
2.7552262500000005e-06,2.561062,5.566375
3.0996295300000005e-06,2.642,6.707
3.5424337500000004e-06,2.884,7.947875
4.132839380000001e-06,3.34,9.564
4.95940725e-06,4.00125,11.84031
6.199259060000001e-06,5.082,14.65
8.26567875e-06,6.740749,17.96919
1.23985181e-05,9.136001,21.774
2.47970363e-05,20.772,37.831
