wavelength[m],n,k
2.53030982e-07,2.688,3.368
2.55639549e-07,2.663562,3.359688
2.58302461e-07,2.659,3.397
2.61021434e-07,2.67542,3.455098
2.63798258e-07,2.7147,3.507622
2.66634798e-07,2.784151,3.517579
2.6953300300000005e-07,2.860976,3.505273
2.7249490400000003e-07,2.923276,3.482647
2.75522625e-07,2.976596,3.451813
2.78618385e-07,3.022354,3.415591
2.81784503e-07,3.069367,3.381987
2.8502340500000006e-07,3.127212,3.359376
2.88337631e-07,3.183326,3.34222
2.91729838e-07,3.225458,3.325285
2.9520281300000004e-07,3.26447,3.300515
2.9875947300000006e-07,3.311031,3.260438
3.02402881e-07,3.358201,3.212516
3.0613625e-07,3.398689,3.164992
3.09962953e-07,3.433982,3.121062
3.13886535e-07,3.466317,3.082361
3.1791072100000004e-07,3.497517,3.041228
3.22039432e-07,3.528834,2.990766
3.26276793e-07,3.557735,2.939419
3.3062715e-07,3.581345,2.896071
3.35095085e-07,3.598562,2.857867
3.3968542800000003e-07,3.609305,2.820162
3.4440328100000003e-07,3.616473,2.780414
3.49254032e-07,3.622959,2.737071
3.5424337500000004e-07,3.62787,2.692018
3.59377337e-07,3.629852,2.648049
3.6466229800000006e-07,3.62884,2.607071
3.7010501900000006e-07,3.625135,2.570821
3.75712671e-07,3.62005,2.541699
3.8149286600000003e-07,3.614989,2.521174
3.87453692e-07,3.611429,2.504648
3.9360375000000003e-07,3.610451,2.487264
3.99952198e-07,3.608685,2.467355
4.06508791e-07,3.602697,2.443612
4.13283938e-07,3.592726,2.422737
4.2028875000000003e-07,3.578874,2.411695
4.27535108e-07,3.565462,2.405675
4.3503572400000006e-07,3.55728,2.399995
4.42804219e-07,3.549705,2.397121
4.50855205e-07,3.538039,2.399261
4.592043750000001e-07,3.526176,2.404922
4.67868609e-07,3.518082,2.412559
4.76866082e-07,3.509899,2.424024
4.86216397e-07,3.497309,2.441002
4.95940725e-07,3.485,2.463
5.06061964e-07,3.477058,2.489439
5.16604922e-07,3.471952,2.522023
5.27596516e-07,3.468573,2.562367
5.390660060000001e-07,3.470031,2.610093
5.5104525e-07,3.478808,2.665984
5.63569006e-07,3.495947,2.726916
5.76675262e-07,3.522498,2.790074
5.904056250000001e-07,3.561207,2.855079
6.04805762e-07,3.614996,2.921413
6.19925906e-07,3.68344,2.987154
6.358214430000001e-07,3.766761,3.050628
6.52553586e-07,3.857915,3.107629
6.70190169e-07,3.949909,3.153955
6.888065630000001e-07,4.049919,3.19049
7.084867500000001e-07,4.164872,3.218067
7.293245960000001e-07,4.293682,3.231168
7.51425341e-07,4.433327,3.2246
7.74907383e-07,4.562752,3.20185
7.999043950000001e-07,4.66353,3.166589
8.26567875e-07,4.756118,3.111618
8.55070216e-07,4.861197,3.031711
8.85608438e-07,4.963165,2.943066
9.184087500000002e-07,5.043208,2.861046
9.53732164e-07,5.102297,2.774387
9.9188145e-07,5.142005,2.67167
1.03320984e-06,5.149824,2.559108
1.0781320100000002e-06,5.115746,2.449166
1.12713801e-06,5.036553,2.370244
1.1808112500000001e-06,4.918892,2.345828
1.2398518099999999e-06,4.824125,2.361133
1.3051071700000002e-06,4.802794,2.396051
1.3776131300000001e-06,4.778214,2.435656
1.4586491900000002e-06,4.67098,2.471298
1.54981477e-06,4.520787,2.546523
1.65313575e-06,4.374341,2.705033
1.7712168800000001e-06,4.241212,2.911618
1.90746433e-06,4.130041,3.131266
2.0664196900000003e-06,4.004439,3.405765
2.25427602e-06,3.826333,3.775403
2.47970363e-06,3.667606,4.314311
2.7552262500000005e-06,3.594223,5.10382
3.0996295300000005e-06,3.670258,6.10177
3.5424337500000004e-06,3.958409,7.271719
4.132839380000001e-06,4.531684,8.636275
4.95940725e-06,5.530188,10.18378
6.199259060000001e-06,6.694,12.054
8.26567875e-06,7.837812,14.35806
1.23985181e-05,8.787001,17.203
2.47970363e-05,19.539,30.673
