wavelength[m],n,k
1.9074643300000002e-07,1.26,2.95
1.91482905e-07,1.270625,2.971016
1.9222508700000001e-07,1.2825,2.993125
1.9297304500000002e-07,1.295625,3.016172
1.93726846e-07,1.31,3.04
1.94486559e-07,1.325625,3.064453
1.95252254e-07,1.3425,3.089375
1.9602400200000002e-07,1.360625,3.11461
1.9680187500000001e-07,1.38,3.14
1.9758594600000002e-07,1.400625,3.165391
1.9837629000000002e-07,1.4225,3.190625
1.99172982e-07,1.445625,3.215547
1.99976099e-07,1.47,3.24
2.0078571900000002e-07,1.496015,3.263047
2.01601921e-07,1.523125,3.285625
2.0242478600000003e-07,1.551172,3.307891
2.0325439600000004e-07,1.58,3.33
2.0409083300000003e-07,1.609104,3.352
2.04934184e-07,1.638815,3.3742
2.05784533e-07,1.66912,3.3968
2.06641969e-07,1.7,3.42
2.0750658000000002e-07,1.73144,3.444
2.08378456e-07,1.76352,3.468
2.0925769000000002e-07,1.79688,3.492
2.1014437500000002e-07,1.83216,3.516
2.11038606e-07,1.87,3.54
2.1194048100000003e-07,1.91216,3.56512
2.12850097e-07,1.95688,3.58896
2.13767554e-07,2.0032,3.60896
2.1469295500000002e-07,2.0508,3.62512
2.1562640200000003e-07,2.1,3.64
2.1656800200000002e-07,2.1508,3.65712
2.1751786200000003e-07,2.2032,3.67296
2.1847609e-07,2.2572,3.6856
2.1944279900000003e-07,2.3128,3.6944
2.2041810000000003e-07,2.37,3.7
2.21402109e-07,2.4288,3.7024
2.2239494400000004e-07,2.489201,3.7016
2.2339672300000003e-07,2.55184,3.69824
2.24407568e-07,2.61608,3.69168
2.25427602e-07,2.68,3.68
2.26456952e-07,2.7412,3.65912
2.2749574500000002e-07,2.800801,3.63376
2.2854411300000002e-07,2.85912,3.60744
2.2960218800000001e-07,2.91584,3.58048
2.3067010500000002e-07,2.97,3.55
2.3174800200000003e-07,3.01984,3.51192
2.32836021e-07,3.06712,3.47096
2.33934304e-07,3.11312,3.430321
2.3504299800000001e-07,3.15784,3.39064
2.3616225000000003e-07,3.2,3.35
2.37292213e-07,3.2384,3.30776
2.38433041e-07,3.2736,3.26328
2.3958489100000004e-07,3.30592,3.215281
2.40747925e-07,3.33504,3.16376
2.4192230500000004e-07,3.36,3.11
2.4310819900000004e-07,3.38016,3.05352
2.44305776e-07,3.39488,2.99736
2.4551521000000003e-07,3.40256,2.944721
2.46736679e-07,3.40352,2.89624
2.47970363e-07,3.4,2.85
2.49216445e-07,3.39328,2.80424
2.50475114e-07,3.38464,2.76072
2.5174656100000003e-07,3.376,2.7204
2.53030982e-07,3.368,2.6836
2.54328577e-07,3.36,2.65
2.55639549e-07,3.35256,2.62016
2.56964106e-07,3.34448,2.59288
2.58302461e-07,3.33448,2.5672
2.5965483e-07,3.32256,2.5428
2.61021434e-07,3.31,2.52
2.624025e-07,3.298,2.4988
2.63798258e-07,3.286,2.4792
2.65208944e-07,3.274,2.46152
2.66634798e-07,3.262,2.44544
2.6807606800000003e-07,3.25,2.43
2.6953300300000005e-07,3.238,2.414
2.71005861e-07,3.226,2.398
2.7249490400000003e-07,3.21432,2.38136
2.74000401e-07,3.20264,2.36472
2.75522625e-07,3.19,2.35
2.77061858e-07,3.17464,2.34016
