wavelength[m],n,k
1.65313575e-07,0.619,2.191
1.67547542e-07,0.656,2.247
1.6984271400000002e-07,0.706,2.304
1.7220164100000002e-07,0.747,2.354
1.74627016e-07,0.792,2.406
1.7712168800000002e-07,0.838,2.455
1.79688669e-07,0.895,2.513
1.8233114900000003e-07,0.952,2.533
1.85052509e-07,0.987,2.587
1.87856335e-07,1.046,2.625
1.9074643300000002e-07,1.09,2.66
1.93726846e-07,1.159,2.702
1.9680187500000001e-07,1.21,2.719
1.99976099e-07,1.234,2.758
2.0325439600000004e-07,1.295,2.822
2.06641969e-07,1.36,2.842
2.1014437500000002e-07,1.393,2.873
2.13767554e-07,1.443,2.936
2.1751786200000003e-07,1.493,2.972
2.21402109e-07,1.537,3.057
2.25427602e-07,1.66,3.128
2.2960218800000001e-07,1.722,3.127
2.33934304e-07,1.794,3.22
2.38433041e-07,1.893,3.257
2.4310819900000004e-07,1.995,3.339
2.47970363e-07,2.156,3.382
2.53030982e-07,2.259,3.378
2.58302461e-07,2.438,3.448
2.63798258e-07,2.614,3.439
2.6953300300000005e-07,2.808,3.299
2.75522625e-07,2.847,3.18
2.81784503e-07,2.882,3.174
2.88337631e-07,2.967,3.163
2.9520281300000004e-07,3.064,3.137
3.02402881e-07,3.161,3.094
3.09962953e-07,3.248,3.036
3.1791072100000004e-07,3.313,2.968
3.26276793e-07,3.359,2.925
3.35095085e-07,3.411,2.887
3.4440328100000003e-07,3.457,2.858
3.5424337500000004e-07,3.508,2.837
3.6466229800000006e-07,3.559,2.831
3.75712671e-07,3.633,2.828
3.87453692e-07,3.71,2.81
3.99952198e-07,3.793,2.817
4.13283938e-07,3.903,2.817
4.27535108e-07,4.021,2.794
4.42804219e-07,7.907,2.367
4.592043750000001e-07,22.9,0.737
4.76866082e-07,22.8,0.724
4.95940725e-07,22.7,0.71
5.16604922e-07,22.6,0.693
5.390660060000001e-07,22.5,0.681
5.63569006e-07,22.4,0.671
5.904056250000001e-07,22.3,0.664
6.19925906e-07,22.2,0.652
6.52553586e-07,22.1,0.633
6.888065630000001e-07,22.0,0.613
7.293245960000001e-07,21.9,0.6
7.74907383e-07,21.8,0.591
8.26567875e-07,21.7,0.587
8.85608438e-07,21.6,0.576
9.53732164e-07,21.5,0.559
1.03320984e-06,21.4,0.543
1.12713801e-06,21.3,0.533
1.2398518099999999e-06,21.1,0.528
1.3776131300000001e-06,21.1,0.523
1.54981477e-06,21.0,0.517
1.7712168800000001e-06,20.9,0.511
2.0664196900000003e-06,20.8,0.506
2.47970363e-06,20.7,0.503
3.0996295300000005e-06,20.6,0.5
4.132839380000001e-06,20.5,0.495
6.199259060000001e-06,20.4,0.489
1.23985181e-05,20.32,0.485
