wavelength[m],n,k
1.65313575e-07,0.697,1.834
1.67547542e-07,0.722,1.891
1.6984271400000002e-07,0.735,1.955
1.7220164100000002e-07,0.768,2.021
1.74627016e-07,0.788,2.083
1.7712168800000002e-07,0.831,2.145
1.79688669e-07,0.876,2.194
1.8233114900000003e-07,0.902,2.238
1.85052509e-07,0.925,2.296
1.87856335e-07,0.978,2.385
1.9074643300000002e-07,1.036,2.408
1.93726846e-07,1.073,2.461
1.9680187500000001e-07,1.122,2.525
1.99976099e-07,1.186,2.547
2.0325439600000004e-07,1.229,2.594
2.06641969e-07,1.266,2.634
2.1014437500000002e-07,1.286,2.693
2.13767554e-07,1.346,2.783
2.1751786200000003e-07,1.414,2.882
2.21402109e-07,1.549,2.923
2.25427602e-07,1.645,2.979
2.2960218800000001e-07,1.783,3.004
2.33934304e-07,1.905,2.954
2.38433041e-07,1.989,2.944
2.4310819900000004e-07,2.087,2.946
2.47970363e-07,2.044,2.835
2.53030982e-07,2.11,2.901
2.58302461e-07,2.18,2.915
2.63798258e-07,2.256,2.903
2.6953300300000005e-07,2.301,2.878
2.75522625e-07,2.331,2.869
2.81784503e-07,2.358,2.871
2.88337631e-07,2.381,2.881
2.9520281300000004e-07,2.402,2.901
3.02402881e-07,2.418,2.934
3.09962953e-07,2.439,2.986
3.1791072100000004e-07,2.468,3.052
3.26276793e-07,2.514,3.133
3.35095085e-07,2.577,3.222
3.4440328100000003e-07,2.66,3.317
3.5424337500000004e-07,2.77,3.409
3.6466229800000006e-07,2.894,3.492
3.75712671e-07,3.037,3.569
3.87453692e-07,3.19,3.642
3.99952198e-07,3.369,3.714
4.13283938e-07,3.581,3.768
4.27535108e-07,3.812,4.0
4.42804219e-07,7.831,3.254
4.592043750000001e-07,22.9,1.09
4.76866082e-07,22.8,1.101
4.95940725e-07,22.7,1.093
5.16604922e-07,22.6,1.073
5.390660060000001e-07,22.5,1.049
5.63569006e-07,22.4,1.022
5.904056250000001e-07,22.3,0.995
6.19925906e-07,22.2,0.97
6.52553586e-07,22.1,0.946
6.888065630000001e-07,22.0,0.924
7.293245960000001e-07,21.9,0.908
7.74907383e-07,21.8,0.895
8.26567875e-07,21.7,0.883
8.85608438e-07,21.6,0.873
9.53732164e-07,21.5,0.861
1.03320984e-06,21.4,0.85
1.12713801e-06,21.3,0.839
1.2398518099999999e-06,21.2,0.827
1.3776131300000001e-06,21.1,0.823
1.54981477e-06,21.0,0.823
1.7712168800000001e-06,20.9,0.825
2.0664196900000003e-06,20.8,0.824
2.47970363e-06,20.7,0.822
3.0996295300000005e-06,20.6,0.81
4.132839380000001e-06,20.5,0.818
6.199259060000001e-06,20.4,0.812
1.23985181e-05,20.32,0.808
